z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
7,3,N,,,,,,0,,,(1-),2.5,,+20-15,MeV,1.8249508602855427e-22,1.2774656021998798e-22,P,100,,,,,,,,2,,,,,,,,,-10945,2042,23101.354,400.0,,,-2600.0851,400.0057,3643.6724,40.0000,10041653.54,429.417,38800.027,400.000,N,2002,20-July-2017,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,4,N,,,,,,0,,,1/2+,830,,30,keV,5.496839940619106e-22,1.986809617091243e-23,P,100,,,,,,,,3/2,,,,,-23373.2693,60.2459,,,-5735.8247,25.6426,13716.247,5.0,22505.7016,400.0313,-1377.9999,5.0000,5358.4023,0.4546,11026157.593,5.368,24365.644,5.000,N,1974,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,5,N,,,,,,0,,,1+,11.000,,16,ms,0.011,0.000016,EC+B+,100,,B+A,1.93,0.04,,,,1,0.4571,0.0001,0.01,0.0009,-14675.2668,12.0418,-38472.1632,60.0464,-8008.4167,1.4140,17338.068,1.0,15098.8939,5.0995,600.3000,1.0017,6170.11,0.0833,12018613.18,1.073,17338.068,1.000,N,1949,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,6,N,,,,,,0,,,1/2-,9.965,,4,m,597.9,0.24,EC+B+,100,,,,,,,,1/2,0.3219,0.0004,,,-17769.9506,9.5301,-34739.1719,12.0032,-9495.9206,0.9420,2220.472,0.27,20063.9051,1.0356,1943.4900,0.2695,7238.8634,0.0207,13005738.609,0.289,5345.481,0.270,N,1934,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,7,N,2.5582,0.0070,99.6205,0.0247,,0,,,1+,STABLE,,,,,,,,,,,,,,,0,0.403573,0.000002,0.02044,0.00003,-5144.3643,0.0252,-28323.3329,9.5263,-11612.1097,0.0149,-156.476,0.004,10553.3823,0.2695,7550.5636,0.0001,7475.6148,0.0002,14003074.00425,0.00024,2863.41683,0.00022,N,1920,1-JUL-1990,F. AJZENBERG-SELOVE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,8,N,2.6058,0.0080,0.3795,0.0247,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,1/2,-0.2830569,0.0000014,,,-2754.1841,0.4902,-15977.6611,0.0252,-10991.1859,0.0121,-9771.707,0.8,10833.2968,0.0008,10207.4263,0.0038,7699.4603,0.0002,15000108.89827,0.00062,101.43809,0.00058,N,1929,1-Jul-1990,F. AJZENBERG-SELOVE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,9,N,,,,,,0,,,2-,7.13,,2,s,7.13,0.02,B-,100,,B-A,0.0012,0.0005,,,,1,1.9856,0.0011,-0.018,0.002,10420.9094,2.3014,-5243.0331,2.3530,-10110.4066,2.6538,-8010.226,4.254,2488.8490,2.3014,11478.2090,2.4365,7373.7971,0.1438,16006101.925,2.470,5683.907,2.301,N,1933,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,10,N,,,,,,0,,,1/2-,4.173,,4,s,4.173,0.004,B-,100,,B-N,95.1,0.7,B-A,0.0025,,3/2,0.3552,0.0004,,,8678.843,15.0000,4535.7629,15.0000,-11116.7852,15.0333,-13161.801,22.947,5885.1465,15.1755,13113.0255,15.4208,7286.2294,0.8824,17008448.876,16.103,7870.079,15.000,N,1949,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,11,N,,,,,,0,,,1-,619,,2,ms,0.619,0.002,B-,100,,B-A,12.2,0.6,B-N,12,1.3,2,0.3274,0.0004,0.0123,0.0012,13895.9838,18.5695,5850.6136,18.5695,-12975.4343,28.1928,-11806.099,35.282,2828.2294,23.8711,15207.6831,25.4237,7038.5627,1.0316,18014077.563,19.935,13113.167,18.570,N,1964,30-Jun-2021,R. Spitzer and  J.H. Kelley,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
7,12,N,,,,,,0,,,1/2-,336,,3,ms,0.336,0.003,B-,100,,B-N,41.8,0.9,,,,,0.305,0.015,,,12523.3972,16.6143,8567.7533,16.4037,-15526.0403,26.6702,-16557.499,99.747,5328.2305,24.7772,16351.9817,34.1919,6948.5452,0.8634,19017022.389,17.610,15856.255,16.404,N,1968,06-Nov-2018,G.C. Sheu and  J.H. Kelley,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
