obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""64.750""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""69.270""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""""","=""86.5227""","=""""","=""3.74e+06""","=""6.30e-04""","=""7.17e-03""","=""-2.599""",D,"=""0.0000000""","=""14.32967""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""86.5835""","=""""","=""3.74e+06""","=""4.20e-04""","=""4.79e-03""","=""-2.774""",D,"=""0.0000000""","=""14.31962""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""86.6180""","=""""","=""3.73e+06""","=""2.10e-04""","=""2.39e-03""","=""-3.076""",E,"=""0.0000000""","=""14.31391""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""""","=""86.9404""","=""""","=""5.56e+06""","=""9.45e-04""","=""1.08e-02""","=""-2.422""",D+,"=""0.0000000""","=""14.26082""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""87.0026""","=""""","=""5.55e+06""","=""6.30e-04""","=""7.22e-03""","=""-2.599""",D,"=""0.0000000""","=""14.25063""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""87.0367""","=""""","=""5.54e+06""","=""3.15e-04""","=""3.61e-03""","=""-2.900""",D,"=""0.0000000""","=""14.24504""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""""","=""87.5277""","=""""","=""3.40e+07""","=""1.95e-03""","=""2.25e-02""","=""-2.107""",D+,"=""0.0000000""","=""14.16513""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""""","=""87.5657""","=""""","=""3.39e+07""","=""3.90e-03""","=""4.49e-02""","=""-1.807""",D+,"=""0.0000000""","=""14.15900""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""87.5721""","=""""","=""3.39e+07""","=""5.85e-03""","=""6.74e-02""","=""-1.631""",D+,"=""0.0000000""","=""14.15795""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""87.606697""","=""""","=""8.81e+06""","=""1.52e-03""","=""1.75e-02""","=""-2.216""",D+,"=""0.0000000""","=""14.1523654""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""87.664582""","=""""","=""8.79e+06""","=""1.01e-03""","=""1.17e-02""","=""-2.392""",D+,"=""0.0000000""","=""14.1430205""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""87.698794""","=""""","=""8.78e+06""","=""5.06e-04""","=""5.85e-03""","=""-2.694""",D,"=""0.0000000""","=""14.1375033""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""88.567""","=""""","=""90""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
