z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
9,4,F,,,,,X,,,,(5/2+),1.01,,27,MeV,4.5172050997166895e-22,1.2075696801222834e-22,,,,,,,,,,,,,,,,,,,,,,,,,-2728,500,4297,38,13045121,537,42030,500,Y,,14-March-2021,J. Kelley and  C.G. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,5,F,,,,,,0,,,2-,910,,100,keV,5.013601264520723e-22,5.50945193903376e-23,,,,,,,,,,,,,,,,,,,-9260.5406,402.1079,23956.622,41.119,18137,502,-1559.9999,40.0000,5285.2091,2.9371,14034315.196,44.142,31964.403,41.119,N,2010,01-MARCH-2014,J. Kelley and  C.G. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,6,F,,,,,,0,,,1/2+,660,,20,keV,6.912692652596753e-22,2.0947553492717434e-23,P,100,,,,,,,,,,,,,-23648.6215,68.1377,,,-10223.8076,14.8663,13711.13,14.00,23468.9686,43.4368,-1269.9999,14.0000,6497.4597,0.9333,15017785.139,15.029,16566.752,14.000,N,1978,17-JULY-2016,J. Kelley and  T. Truong and  C.G. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,7,F,,,,,,0,,,0-,40,,20,keV,1.1405942876784644e-20,5.702971438392322e-21,P,100,,,,,,,,1,,,,,-13311.5932,21.1709,-37611.5100,66.8994,-9087.8022,5.4566,15412.184,5.364,13962.8884,14.9925,-530.5885,5.3604,6964.049,0.3353,16011460.278,5.758,10675.182,5.364,N,1964,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,8,F,,,,,,0,,,5/2+,64.49,,16,s,64.49,0.16,EC+B+,100,,,,,,,,1/2,4.7213,0.0003,0.076,0.004,-14548.7507,0.4323,-30106.3918,20.4815,-5818.6957,0.3662,2760.465,0.248,16794.7986,5.3699,600.2676,0.2479,7542.3284,0.0146,17002095.237,0.266,1951.701,0.248,N,1934,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,9,F,,,,,,0,,,1+,109.77,,5,m,6586.2,3,EC+B+,100,,,,,,,,0,2.68,0.03,0.071,0.006,-4444.5049,0.5888,-23698.6576,0.5832,-4415.2202,0.4633,1655.928,0.463,9149.9069,0.5254,5607.0944,0.4633,7631.6383,0.0257,18000937.324,0.497,873.112,0.463,N,1937,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,10,F,2.8976,0.0025,100,,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,1/2,2.628321,0.000004,-0.0942,0.0009,-3239.4986,0.1601,-14876.3806,0.3634,-4013.7991,0.0010,-4820.303,2.637,10431.8757,0.4633,7993.5998,0.0010,7779.0192,0.0002,18998403.16207,0.00088,-1487.44512,0.00082,N,1920,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,11,F,,,,,,0,,,2+,11.07,,6,s,11.07,0.06,B-,100,,,,,,,,1,2.09335,0.00009,0.056,0.004,7024.4689,0.0297,-9840.8348,0.1628,-8126.2863,2.3016,-3813.635,0.886,6601.3362,0.0297,10639.2921,2.6371,7720.1351,0.0015,19999981.252,0.031,-17.463,0.030,N,1935,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,12,F,,,,,,0,,,5/2+,4.158,,20,s,4.158,0.02,B-,100,,,,,,,,,3.9194,0.0012,0.011,0.002,5684.1712,1.8004,-1076.9911,1.8000,-10342.5998,15.1076,-8109.639,12.134,8101.4601,1.8002,11132.7480,2.0058,7738.2934,0.0857,20999948.893,1.932,-47.605,1.800,N,1955,15-Jan-2015,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
9,13,F,,,,,,0,,,(4+),4.23,,4,s,4.23,0.04,B-,100,,B-N,11,,,,,,2.6944,0.0004,0.003,0.002,10818.0916,12.3990,453.8342,12.3991,-12744.7075,22.3285,-6489.656,58.256,5230.3370,12.5290,12557.6290,17.2550,7624.2954,0.5636,22002998.812,13.310,2793.376,12.399,N,1965,1-Apr-2015,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
