z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
11,6,Na,,,,,,0,,,(1/2+),,,,,,,,,,,,,,,,3/2,,,,,,,,,-9735,504,18219.128,59.617,,,-3443.8336,63.0353,5522.7653,3.5068,17037273,64.000,34719.580,59.616,N,2017,1-Sept-2017,J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,7,Na,,,,,,0,,,(1)-,0.2,LT,,MeV,2.2811885753569284e-21,0,P,100,,,,,,,,,,,,,,,,,-9351.3267,102.4911,19720.375,93.882,17752.9059,111.2102,-1248.5688,93.8810,6202.2176,5.2156,18026879.388,100.785,25037.992,93.881,N,2004,29-July-2015,J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,8,Na,,,,,,0,,,(5/2+),40,LT,,keV,1.1405942876784644e-20,0,P,100,,,,,,,,,,,,,-18909.0095,60.9189,,,-6062.2835,17.5211,11177.33,10.53,20179.9254,94.4705,-322.7961,10.5385,6937.8864,0.5545,19013880.264,11.309,12929.384,10.535,N,1969,29-July-2015,J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,9,Na,2.9718,0.0420,,,,0,,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,ECA,20.05,0.2,,,,1,0.3694,0.0002,0.101,0.008,-10627.2054,2.1681,-33059.2235,60.0113,-6249.6092,5.4776,13892.421,1.109,14150.2140,10.5934,2190.5361,1.1205,7298.5028,0.0554,20007354.301,1.190,6850.489,1.109,N,1950,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,10,Na,3.0136,0.0284,,,,0,,,3/2+,22.49,,4,s,22.49,0.04,EC+B+,100,,,,,,,,,2.3861,0.00004,0.138,0.011,-13088.708,0.7557,-27733.8694,1.8635,-6561.4745,0.2515,3546.919,0.057,17106.6639,1.1098,2431.8963,0.0423,7765.5581,0.0020,20997654.459,0.045,-2184.857,0.042,N,1940,15-Jan-2015,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,11,Na,2.9852,0.0169,,,,0,,,3+,2.6018,,22,Y,82104810.00069347,69425.2371441024,EC+B+,100,,,,,,,,,1.746,0.003,0.18,0.011,-4781.4051,0.1631,-24156.5602,0.7659,-8479.4198,0.4817,2843.325,0.133,11067.8522,0.1384,6738.5862,0.1373,7915.6624,0.0060,21994437.547,0.141,-5181.391,0.132,N,1935,1-Apr-2015,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,12,Na,2.9936,0.0021,100,,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,2.2175,0.00003,0.104,0.001,-4056.179,0.0317,-17201.1852,0.1593,-10467.3243,0.0020,-4375.809,0.104,12419.7801,0.1318,8794.1088,0.0178,8111.4936,0.0002,22989769.28195,0.00194,-9529.85352,0.00181,N,1921,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,13,Na,2.9735,0.0169,,,,0,,,4+,14.956,,3,h,53841.6,10.8,B-,100,,,,,,,,,1.6903,0.0008,,,5515.6774,0.0210,-11015.5442,0.0357,-10825.3534,0.0340,-2466.259,0.513,6959.3653,0.0165,10552.8268,0.1057,8063.4882,0.0007,23990963.012,0.017,-8417.901,0.017,N,1934,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,14,Na,2.9769,0.0252,,,,0,,,5/2+,59.1,,6,s,59.1,0.6,B-,100,,,,,,,,,3.683,0.004,0.0015,0.0003,3834.9684,1.2009,-3495.5535,1.2001,-11735.1243,2.1633,-7322.311,29.07,9011.2310,1.2001,10695.1423,1.3049,8101.3979,0.0480,24989953.974,1.288,-9357.814,1.200,N,1943,1-Feb-2008,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,15,Na,2.9928,0.0331,,,,0,,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,,,,,,,,2.851,0.002,-0.0053,0.0002,9353.7631,3.5018,-1739.3165,3.5020,-12079.0722,12.8840,-7341.894,18.759,5574.2849,3.7016,12114.2485,29.2556,8004.2013,0.1347,25992634.649,3.759,-6860.780,3.502,N,1958,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
11,16,Na,3.0136,0.0467,,,,0,,,5/2+,301,,6,ms,0.301,0.006,B-,100,,B-N,0.13,0.04,,,,,3.895,0.005,-0.0071,0.0003,9068.8037,3.7266,2625.4350,3.7264,-11227.9698,33.5281,-12568.701,90.846,6728.3282,5.1134,13287.8752,18.8017,7956.9467,0.1380,26994076.408,4.000,-5517.791,3.726,N,1968,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
