z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
12,6,Mg,,,,,,0,,,0+,0.12,,10,MeV,3.8019809589282144e-21,3.1683174657735123e-21,2P,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Feb-2022,J.E. Purcell and  J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,7,Mg,,,,,,0,,,1/2-,1.14E-4,,,eV,0.000000000004002085219924436,0,2P,100,,,,,,,,,,,,,,,,,-10801.8956,89.7044,18909.01,60.91,,,488.5689,111.4165,5901.4992,3.1579,19034179.92,64.413,31838.394,60.001,N,2007,1-Jan-2014,J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,8,Mg,,,,,,0,,,0+,90.4,,7,ms,0.0904,0.0007,B+,100,,B+P,30.3,1.2,,,,,,,,,,,,,-8933.997,20.5646,10627.205,2.168,22432.0181,60.0300,2740.6616,10.6986,6728.0252,0.0931,20018763.075,2.000,17477.694,1.863,N,1974,20-June-2019,J.H. Kelley and  G.C. Sheu,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,9,Mg,,,,,,0,,,5/2+,122,,3,ms,0.122,0.003,EC+B+,100,,B+P,32.6,1,B+A,0.5,,,-0.983,0.007,,,-16186,600,,,-8021.5172,0.8335,13088.708,0.756,14645.1614,2.0100,3235.6089,1.3413,7105.0317,0.0359,21011705.764,0.810,10903.851,0.755,N,1963,15-Jan-2015,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,10,Mg,,,,,,0,,,0+,3.8755,,12,s,3.8755,0.0012,EC+B+,100,,,,,,,,,,,,,-18601,401,-35561,600,-8142.5196,0.3967,4781.405,0.207,19375.1551,0.7711,5504.1000,0.1648,7662.7645,0.0072,21999570.597,0.170,-399.986,0.159,N,1961,1-Apr-2015,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,11,Mg,,,,,,0,,,3/2+,11.3046,,45,s,11.3046,0.0045,EC+B+,100,,,,,,,,,-0.5363,0.0003,0.114,0.003,-12221.7457,0.3461,-31746,401,-9650.644,0.1632,4056.179,0.032,13145.0063,0.1624,7581.2541,0.1355,7901.1229,0.0014,22994123.768,0.034,-5473.675,0.032,N,1939,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,12,Mg,3.0570,0.0016,78.965,0.049,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.08,0.03,-0.29,0.03,-13884.766,0.2282,-28752.9673,0.3449,-9316.5618,0.0130,-5515.677,0.021,16531.2216,0.0343,11692.6957,0.0130,8260.7103,0.0006,23985041.689,0.013,-13933.578,0.013,N,1920,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,13,Mg,3.0284,0.0022,10.011,0.013,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.85533,0.00003,0.199,0.002,-4276.808,0.0447,-21215.2879,0.2326,-9885.9215,0.0607,-3834.968,1.201,7330.5219,0.0471,12063.8523,0.0497,8223.5028,0.0019,24985836.966,0.050,-13192.782,0.047,N,1920,1-Feb-2008,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,14,Mg,3.0337,0.0018,11.025,0.038,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.1,0.3,-0.21,0.02,-4004.4042,0.0629,-15369.8877,0.0629,-10614.7437,0.0342,-9353.764,3.502,11093.0797,0.0443,14145.7010,1.2004,8333.8711,0.0011,25982592.972,0.031,-16214.544,0.029,N,1920,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,15,Mg,,,,,,0,,,1/2+,9.458,,12,m,567.48,0.72,B-,100,,,,,,,,,-0.4106,0.0015,,,2610.2694,0.0669,-10447.7728,0.0737,-11857.4651,0.1146,-9068.803,3.726,6443.3687,0.0388,15014.7848,3.5020,8263.8525,0.0018,26984340.647,0.050,-14586.594,0.047,N,1934,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,16,Mg,,,,,,0,,,0+,20.915,,9,h,75294,32.4,B-,100,,,,,,,,,,,,,1830.774,0.2653,-5894.4000,0.2651,-11493.219,0.5752,-14031.631,10.249,8504.6694,0.2651,16791.1261,3.7354,8272.4531,0.0093,27983875.426,0.280,-15019.946,0.261,N,1953,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,17,Mg,,,,,,0,,,3/2+,1.30,,12,s,1.3,0.12,B-,100,,,,,,,,,0.9779,0.0006,-0.16,0.04,7595.4023,0.4873,-1832.9586,0.3479,-11001.7729,29.0474,-13292.354,7.345,3663.7325,0.4321,16913.0158,10.2522,8113.5317,0.0119,28988607.163,0.369,-10612.360,0.345,N,1971,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,18,Mg,,,,,,0,,,0+,335,,17,ms,0.335,0.017,B-,100,,,,,,,,,,,,,6982.744,2.3287,1255.0717,1.3400,-11787.402,18.4742,-17356.043,4.901,6340.3306,1.3399,18850.3374,7.4500,8054.425,0.0432,29990465.454,1.390,-8881.373,1.295,N,1971,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,19,Mg,,,,,,0,,,1/2+,270,,2,ms,0.27,0.002,B-,100,,B-N,6.2,1.9,,,,,-0.8834,0.00015,,,11828.5569,3.8009,4670.6466,3.6325,-12597.9777,90.8223,-15368.183,14.306,2312.0974,3.3355,18885.7927,5.6386,7869.1886,0.0992,30996648.232,3.300,-3122.152,3.074,N,1977,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,20,Mg,,,,,,0,,,0+,86,,5,ms,0.086,0.005,B-,100,,B-N,5.5,0.5,,,,,,,,,10270.4677,7.8787,6050.4899,3.9531,-14553.5547,126.1098,-19469.053,37.402,5778.0669,4.4809,20363.9032,14.3477,7803.8411,0.1019,31999110.138,3.500,-828.901,3.260,N,1977,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,21,Mg,,,,,,0,,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,B-N,14,2,,,,,-0.7455,0.0005,0.13,0.09,13460.255,7.4767,7990.9232,7.6510,-15861.846,149.5285,-18817.24,449.92,2279.5444,4.2098,20966.2497,37.3548,7636.4382,0.0807,33005327.862,2.859,4962.873,2.663,N,1979,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,22,Mg,,,,,,0,,,0+,20,,10,ms,0.02,0.01,B-,100,,B-N,,,,,,,,,,,11320.9428,7.2072,8749.3881,9.8143,-17381.7116,253.3443,-23356.79,599.45,4710.8668,7.3897,22745.7599,449.9645,7550.3919,0.2027,34008935.455,7.400,8323.324,6.893,N,1979,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,23,Mg,,,,,,0,,,(3/2- 5/2-),11.3,,6,ms,0.0113,0.0006,B-,100,,B-N,52,46,B-3N,,,,,,,,15863.5156,269.7679,10566.0866,269.6758,-17966.7238,378.9202,-22191.214,722.233,754.8562,269.7556,23329.2995,657.2828,7356.2338,7.7048,35016790,289.500,15639.786,269.668,N,1989,15-DEC-2017,BALRAJ SINGH AND JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
12,24,Mg,,,,,,0,,,0+,7.6,,+5-8,ms,0.0076,0.00065,B-,100,,B-N,,,,,,,,,,,14429.7751,706.2429,12532.5711,690.2764,-19044,854,-25522.841,973.856,3330.9446,741.0451,24740,962,7244.4202,19.1733,36021879,741.000,20380.159,690.237,N,1989,21-MAY-2021,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
