z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
13,8,Al,,,,,,0,,,(5/2+),35,LT,,ns,0.000000035,,P,,,,,,,,,,,,,,,,,,-10055,603,16186.149,600.0,,,-2323,600,6297,29,21029082,644,27090,600,Y,,15-Jan-2015,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,9,Al,,,,,,0,,,(4)+,91.1,,5,ms,0.0911,0.0005,EC+B+,100,,B+P,55,3,B+2P,1.1,0.1,,,,,,-15439,641,,,-9262,411,18600.986,401.0,16960,721,-9,401,6782,18,22019540,430,18201,401,Y,1982,1-Apr-2015,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,10,Al,,,,,,0,,,5/2+,446,,6,ms,0.446,0.006,EC+B+,100,,ECP,1.04,0.03,,,,,3.89,0.02,,,-17202,500,-34963,500,-8606.2292,10.5408,12221.746,0.346,19525,401,140.9136,0.3797,7335.7275,0.0150,23007244.351,0.370,6748.071,0.345,N,1969,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,11,Al,,,,,,0,,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,ECA,0.035,0.006,ECP,0.0016,0.0003,,2.99,0.09,,,-10793.9978,19.4734,-32070,500,-9324.2165,1.1277,13884.766,0.228,14868.2013,0.4132,1864.1087,0.2301,7649.5806,0.0095,23999947.598,0.244,-48.812,0.228,N,1953,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,12,Al,,,,,,0,,,5/2+,7.183,,12,s,7.183,0.012,EC+B+,100,,,,,,,,,3.6447,0.0012,0.24,0.02,-12743.2956,10.0002,-27732.4776,19.4722,-9156.0324,0.0774,4276.808,0.08,16938.4799,0.2369,2271.3669,0.0650,8021.1366,0.0026,24990428.308,0.069,-8915.974,0.065,N,1953,1-Feb-2008,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,13,Al,,,,,,0,,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,,,,,,,0,2.803,0.004,0.26,0.03,-5069.1361,0.0849,-24108.7792,10.0002,-9453.6638,0.1474,4004.405,0.072,11365.4835,0.0717,6306.3285,0.0560,8149.7653,0.0026,25986891.876,0.071,-12210.139,0.066,N,1934,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,14,Al,3.0610,0.0031,100,,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,3.6407,0.00002,0.1466,0.001,-4812.3583,0.0964,-18127.1784,0.1176,-10091.9259,0.0473,-2610.27,0.06,13058.0422,0.0814,8271.2911,0.0557,8331.5533,0.0018,26981538.408,0.050,-17196.864,0.047,N,1922,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,15,Al,,,,,,0,,,3+,2.245,,2,m,134.7,0.12,B-,100,,,,,,,,,3.241,0.005,0.172,0.012,4642.0776,0.0486,-12537.5323,0.0970,-10857.7346,0.0513,-1830.773,0.266,7725.1740,0.0110,9553.0964,0.0678,8309.8969,0.0018,27981910.009,0.052,-16850.719,0.049,N,1934,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,16,Al,,,,,,0,,,5/2+,6.56,,6,m,393.6,3.6,B-,100,,,,,,,,,,,,,3687.3192,0.3447,-4786.2833,0.3447,-11274.8645,1.2485,-7595.402,0.488,9428.3609,0.3481,10476.7878,0.4322,8348.4647,0.0119,28980453.164,0.370,-18207.762,0.345,N,1939,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
13,17,Al,,,,,,0,,,3+,3.62,,6,s,3.62,0.06,B-,100,,,,,,,,,3.012,0.007,,,8568.8459,1.9357,-2040.3530,1.9355,-11428.2519,4.0010,-6982.743,2.329,5727.6723,1.9660,12540.7276,1.9660,8261.1049,0.0645,29982969.171,2.077,-15864.116,1.936,N,1961,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
