z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
14,8,Si,,,,,,0,,,0+,29,,2,ms,0.029,0.002,EC+B+,100,,B+P,32,4,,,,,,,,,,,,,,,15439.0,640.9,,,739,781,6044,23,22036114,537,33640,500,Y,1987,1-Apr-2015,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,9,Si,,,,,,0,,,(5/2)+,42.3,,4,ms,0.0423,0.0004,EC+B+,100,,ECP,88,,EC2P,3.6,0.4,,,,,,,,,,-10314,504,17201.929,500.0,17762,707,1541,641,6554,22,23025711,537,23950,500,Y,1986,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,10,Si,,,,,,0,,,0+,141.3,,15,ms,0.1413,0.0015,EC+B+,100,,ECP,32.4,1.3,,,,,,,,,-23275,501,,,-9157.4242,19.5610,10793.998,19.473,21276,501,3291.8566,19.4751,7167.2329,0.8113,24011535.43,20.904,10745.186,19.472,N,1979,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,11,Si,,,,,,0,,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,B+P,35,2,,,,,,,,,-16363,400,-38264,500,-9501.4448,10.0284,12743.296,10.0,14989.1820,21.8898,3412.8372,10.0026,7480.1109,0.4000,25004108.798,10.735,3827.322,10.000,N,1963,1-Feb-2008,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,12,Si,,,,,,0,,,0+,2.2453,,7,s,2.2453,0.0007,EC+B+,100,,,,,,,,1,,,,,-18114,196,-35402,400,-9165.9328,0.1922,5069.136,0.127,19039.6430,10.0006,5514.0004,0.1111,7924.7083,0.0041,25992333.818,0.115,-7141.003,0.108,N,1960,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,13,Si,,,,,,0,,,5/2+,4.15,,4,s,4.15,0.04,EC+B+,100,,,,,,,,,-0.8652,0.0003,0.063,0.014,-11725.473,9.0013,-31429,196,-9335.7466,0.1120,4812.359,0.117,13314.8200,0.1520,7463.3369,0.1262,8124.342,0.0040,26986704.687,0.115,-12384.505,0.107,N,1939,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,14,Si,3.1224,0.0024,92.2545,0.0037,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-14344.9407,1.1473,-28905.0829,9.0006,-9984.1348,0.0129,-4642.078,0.049,17179.6099,0.1074,11584.9046,0.0474,8447.7445,0.0002,27976926.53442,0.00055,-21492.79711,0.00051,N,1920,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,15,Si,3.1176,0.0052,4.672,0.016,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.555052,0.000003,,,-4942.2325,0.3589,-22818.5432,1.1473,-11127.2154,0.0469,-3687.32,0.34,8473.6025,0.0005,12333.3331,0.0486,8448.6361,0.0002,28976494.66434,0.00060,-21895.08154,0.00056,N,1920,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,16,Si,3.1336,0.0040,3.0735,0.0021,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.9,0.2,-0.05,0.06,-4232.1065,0.0615,-15551.4314,0.3595,-10643.3347,0.0364,-8568.846,1.936,10609.1989,0.0216,13514.1712,0.3453,8520.6549,0.0008,29973770.137,0.023,-24432.962,0.022,N,1924,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
14,17,Si,,,,,,0,,,3/2+,157.24,,20,m,9434.4,12,B-,100,,,,,,,,,,,,,1491.5071,0.0434,-10819.4995,0.0721,-10787.359,0.0641,-7998.328,2.236,6587.3930,0.0376,14373.8919,1.9360,8458.2916,0.0014,30975363.196,0.046,-22949.037,0.043,N,1934,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
