z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
15,10,P,,,,,,0,,,(1/2+),30,LT,,ns,0.00000003,,P,100,,,,,,,,,,,,,,,,,-9324,721,16362.678,400.125,21901,640,-2156,400,6794,16,25021675,429,20190,400,Y,,1-Feb-2008,R.B. FIRESTONE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,11,P,,,,,,0,,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,ECP,36.8,2,EC2P,2.16,0.24,2,,,,,-16707,631,,,-9653,446,18114.003,196.0,17288,445,143,196,7198,8,26011780,210,10973,196,Y,1983,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,12,P,,,,,,0,,,1/2+,260,,80,ms,0.26,0.08,EC+B+,100,,B+P,0.07,,,,,,,,,,-18150,400,-36411,600,-9832.0193,9.0072,11725.473,9.002,19703,196,807.0001,9.0000,7661.0894,0.3334,26999292.499,9.662,-659.032,9.001,N,1977,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,13,P,,,,,,0,,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,ECP,0.0013,0.0004,ECA,0.00086,0.00025,,0.312,0.003,0.137,0.014,-11221.0593,160.0041,-32710,400,-9523.9602,1.1654,14344.941,1.147,14560.1422,9.0735,2052.3222,1.1523,7907.4842,0.0410,27992326.46,1.231,-7147.856,1.147,N,1953,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,14,P,,,,,,0,,,1/2+,4.142,,15,s,4.142,0.015,EC+B+,100,,,,,,,,,1.2344,0.0003,,,-13858.4257,13.0459,-29097.3700,160.0004,-10461.791,0.3647,4942.233,0.359,17876.3107,1.2021,2749.0230,0.3589,8251.2368,0.0124,28981800.368,0.385,-16952.849,0.359,N,1941,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,15,P,,,,,,0,,,1+,2.498,,4,m,149.88,0.24,EC+B+,100,,,,,,,,,,,,,-6141.6014,0.1956,-25177.7505,13.0411,-10415.6324,0.0929,4232.106,0.069,11319.3249,0.3648,5594.7454,0.0652,8353.5064,0.0022,29978313.49,0.069,-20200.856,0.065,N,1934,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,16,P,3.1889,0.0019,100,,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,1.130925,0.000005,,,-5398.013,0.2292,-18452.6080,0.2062,-9668.5967,0.0474,-1491.507,0.043,12311.0066,0.0652,7296.5531,0.0216,8481.1677,0.0002,30973761.99768,0.00080,-24440.54442,0.00075,N,1920,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,17,P,,,,,,0,,,1+,14.268,,5,d,1232755.2,432,B-,100,,,,,,,,,-0.2528,0.0002,,,1710.6608,0.0400,-13333.6629,0.2327,-9879.0727,0.0630,-227.187,0.301,7935.6500,0.0400,8644.8100,0.0590,8464.1203,0.0013,31973907.643,0.042,-24304.876,0.040,N,1934,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,18,P,,,,,,0,,,1/2+,25.35,,11,d,2190240,9504,B-,100,,,,,,,,,,,,,248.5079,1.0900,-8393.1313,1.0900,-10554.504,1.1432,-5823.022,1.295,10103.7921,1.0907,9548.6323,1.1300,8513.8073,0.0330,32971725.692,1.170,-26337.350,1.090,N,1951,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,19,P,,,,,,0,,,1+,12.43,,10,s,12.43,0.1,B-,100,,,,,,,,,,,,,5382.9879,0.8116,-6034.1613,0.8104,-11109.5009,2.0983,-4557.018,1.139,6282.6692,1.3582,11323.3446,1.0700,8448.1856,0.0238,33973645.886,0.870,-24548.702,0.810,N,1945,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,20,P,,,,,,0,,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,,,,,,,,,,,,3988.4006,1.8667,-2997.4378,1.8669,-12332.0163,2.9123,-10466.329,35.906,8380.4257,2.0348,12155.0962,2.0311,8446.2496,0.0533,34973314.045,2.003,-24857.809,1.866,N,1971,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,21,P,,,,,,0,,,4-,5.6,,3,s,5.6,0.3,B-,100,,,,,,,,,,,,,10413.0962,13.1124,523.8471,13.1137,-11576.5922,14.9470,-7814.92,72.98,3464.5535,13.2432,13148.5357,38.1792,8307.8692,0.3643,35978259.61,14.078,-20251.045,13.114,N,1971,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
15,22,P,,,,,,0,,,(1/2+),2.31,,13,s,2.31,0.13,B-,100,,,,,,,,,,,,,7900.4135,37.9474,3596.8105,37.9473,-12923.5461,38.5855,-12424.5,119.9,6816.2857,40.1489,13848.8581,81.2090,8267.5561,1.0256,36979606.942,40.738,-18996.012,37.948,N,1971,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
