z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
16,10,S,,,,,,0,,,0+,79,LT,,ns,0.000000079,,P,,,,,,,,,,,,,,,,,,-8385,781,16707.0,631.2,,,-201,721,6525,23,26029716,644,27680,600,Y,,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,11,S,,,,,,0,,,(5/2+),15.5,,15,ms,0.0155,0.0015,EC+B+,100,,B+P,2.3,0.9,B+2P,1.1,0.5,,,,,,,,,,-8884,641,18150.032,400.101,18261,721,771,445,6960,15,27018777,430,17491,400,Y,1986,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,12,S,,,,,,0,,,0+,125,,10,ms,0.125,0.01,EC+B+,100,,ECP,20.7,2,,,,,,,,,-24197,525,,,-9096.8986,161.1805,11221.059,160.004,21489,431,2556.7359,160.2530,7478.7911,5.7143,28004372.762,171.767,4073.203,160.000,N,1982,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,13,S,,,,,,0,,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,ECP,47,5,,,,,,,,,-17117,189,-39436,500,-9346.661,16.4337,13858.426,13.046,15238.9444,160.5306,3235.5380,13.0913,7746.3826,0.4497,28996678,14.000,-3094.423,13.041,N,1964,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,14,S,,,,,,0,,,0+,1.178,,5,s,1.178,0.005,EC+B+,100,,,,,,,,,,,,,-18733.802,23.8769,-36153,189,-9343.167,0.2326,6141.602,0.216,19036.1491,13.0425,4395.3764,0.4139,8122.7081,0.0069,29984906.77,0.221,-14059.254,0.206,N,1961,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,15,S,,,,,,0,,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,,,,,,,,0.48793,0.00008,,,-12007.979,3.4541,-31788.3971,23.8771,-9082.9421,0.2531,5398.013,0.229,13054.5951,0.3083,6130.6466,0.2383,8281.8013,0.0074,30979557.002,0.246,-19042.531,0.229,N,1940,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,16,S,3.2611,0.0018,94.850,0.255,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-12680.8313,0.5617,-27052.3027,3.4465,-6947.6559,0.0014,-1710.661,0.04,15044.3237,0.2292,8863.9638,0.0014,8493.1301,0.0002,31972071.17354,0.00141,-26015.53714,0.00131,N,1920,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,17,S,,,0.763,0.020,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,1/2,0.64325,0.00002,-0.694,0.004,-5582.5182,0.3908,-21322.4705,0.5617,-7115.6926,0.0014,-248.508,1.09,8641.6392,0.0005,9569.9530,0.0400,8497.6304,0.0002,32971458.90862,0.00144,-26585.85830,0.00134,N,1926,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,18,S,3.2847,0.0021,4.365,0.235,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1,0.2,0.04,0.03,-5491.6037,0.0378,-16999.6674,0.3933,-7923.6429,0.0496,-5382.987,0.811,11417.1492,0.0446,10883.3101,1.0909,8583.4986,0.0013,33967867.011,0.047,-29931.689,0.045,N,1926,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
16,19,S,,,,,,0,,,3/2+,87.37,,4,d,7548768,3456,B-,100,,,,,,,,,1,0.04,-0.483,0.003,167.3218,0.0257,-12477.4421,0.0494,-8322.0883,0.0593,-3988.401,1.866,6985.8384,0.0387,11586.4793,0.8114,8537.8511,0.0012,34969032.321,0.043,-28846.210,0.040,N,1936,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
