z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
17,12,Cl,,,,,,0,,,(1/2+),20,LT,,ns,0.00000002,,P,100,,,,,,,,,,,,,-23947,478,,,-8593,442,17116.423,189.449,22319,534,-2660,100,7129,7,29015053,203,14022,189,Y,1993,31-Jan-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,13,Cl,,,,,,0,,,(3+),30,LT,,ns,0.00000003,,P,,,,,,,,,,,,,,-17397,180,-41366,439,-8723,197,18733.802,23.877,17419,190,-479.9999,20.0000,7472.1698,0.7959,30005018.333,25.631,4674.548,23.876,N,2018,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,14,Cl,,,,,,0,,,3/2+,190,,1,ms,0.19,0.001,EC+B+,100,,ECP,2.4,0.2,,,,,,,,,-18360,200,-37177,179,-8800.436,9.6380,12007.979,3.455,19780.4181,24.1235,264.2691,3.4527,7869.2101,0.1112,30992448.097,3.700,-7034.552,3.447,N,1977,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,15,Cl,,,,,,0,,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,ECA,0.054,0.008,ECP,0.026,0.005,,1.115,0.006,,,-11134.3536,1.8568,-32731,200,-8611.7653,1.2560,12680.831,0.562,14371.4714,3.4920,1581.1455,0.5343,8072.4058,0.0176,31985684.605,0.603,-13334.706,0.562,N,1953,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,16,Cl,,,,,,0,,,3/2+,2.511,,4,s,2.511,0.004,EC+B+,100,,,,,,,,,0.7547,0.0003,,,-11619.0452,0.5596,-26874.3058,1.8125,-6475.4069,0.5306,5582.518,0.391,15739.9523,0.6843,2276.7740,0.3908,8304.7557,0.0118,32977451.988,0.419,-21003.340,0.391,N,1940,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,17,Cl,,,,,,0,,,0+,1.5266,,4,s,1.5266,0.0004,EC+B+,100,,,,,,,,,,,,,-6061.793,0.0631,-23127.1090,0.4035,-6664.1457,0.0814,5491.603,0.067,11508.0637,0.3938,5143.1985,0.0487,8398.9706,0.0014,33973762.49,0.052,-24440.086,0.049,N,1934,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,18,Cl,3.3654,0.0191,75.80,0.17,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.8217,0.00002,-0.0817,0.0008,-5966.2429,0.6794,-18706.5569,0.0785,-6997.903,0.0355,-167.322,0.053,12644.7639,0.0506,6370.8132,0.0424,8520.279,0.0010,34968852.694,0.038,-29013.532,0.035,N,1919,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,19,Cl,,,,,,0,,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,B-,98.1,0.1,EC+B+,1.9,0.1,,,,,1.2849,0.0003,-0.178,0.004,709.5343,0.0449,-14546.0374,0.6794,-7642.0475,0.0537,1142.133,0.191,8579.7945,0.0048,7964.7692,0.0262,8521.9322,0.0010,35968306.822,0.038,-29522.008,0.036,N,1941,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,20,Cl,3.3840,0.0170,24.20,0.17,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.684,0.00001,-0.0644,0.0006,-813.8729,0.2000,-9601.3275,0.0584,-7849.1172,1.0912,-4865.126,0.205,10310.8617,0.0640,8386.3819,0.1861,8570.2816,0.0014,36965902.573,0.055,-31761.552,0.052,N,1919,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
17,21,Cl,,,,,,0,,,2-,37.230,,14,m,2233.8,0.84,B-,100,,,,,,,,,2.05,0.02,,,4916.7109,0.2182,-6921.7552,0.2166,-7674.3302,0.8163,-2936.9,7.1,6107.8823,0.0832,10190.6611,0.2134,8505.4817,0.0026,37968010.408,0.105,-29798.116,0.098,N,1940,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
