z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
19,12,K,,,,,,0,,,,10,LT,,ps,0.00000000001,,P,100,,,,,,,,,,,,,,,,,,,,,,,-4900,349,6487,10,31036780,322,34260,300,Y,2019,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,14,K,,,,,,0,,,,25,LT,,ns,0.000000025,,P,,,,,,,,,,,,,,-23489,447,,,-8907,275,16924.295,200.0,22521,447,-2452,200,7392,6,33008095,215,7540,200,Y,,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,15,K,,,,,,0,,,,25,LT,,ns,0.000000025,,P,,,,,,,,,,,,,,-16110,358,-40322,445,-8320,197,17158.293,196.0,16832,280,-875,196,7670,6,33998690,210,-1220,196,Y,,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,16,K,,,,,,0,,,(3/2)+,178,,8,ms,0.178,0.008,EC+B+,100,,ECP,0.37,0.15,,,,,0.392,0.007,,,-16363,200,-34134,300,-6563.2566,3.4844,11874.396,0.851,18024,196,83.5716,0.5182,7965.8409,0.0146,34988005.406,0.550,-11172.893,0.512,N,1976,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,17,K,,,,,,0,,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,ECP,0.048,0.014,ECA,0.0034,0.0013,,0.548,0.001,,,-10966.0155,40.0013,-30679,200,-6507.3916,0.6061,12814.36,0.32,14315.6064,0.6068,1658.8639,0.7540,8142.2233,0.0090,35981301.887,0.349,-17417.182,0.325,N,1967,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,18,K,,,,,,0,,,3/2+,1.225,,7,s,1.225,0.007,EC+B+,100,,,,,,,,,0.20321,0.00006,0.109,0.004,-11664.1314,0.6412,-26420.3532,40.0001,-6221.777,0.4019,6147.478,0.227,15454.3377,0.3381,1857.6301,0.0900,8339.848,0.0025,36973375.89,0.100,-24800.201,0.094,N,1958,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,19,K,3.4264,0.0051,,,,0,,,3+,7.651,,19,m,459.06,1.14,EC+B+,100,,,,,,,,,1.371,0.006,,,-6742.2563,0.0626,-23736.0078,0.6637,-6785.5898,0.2013,5914.067,0.276,12071.8765,0.2167,5142.0519,0.2843,8438.0593,0.0051,37969081.114,0.209,-28800.760,0.195,N,1937,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,20,K,3.4349,0.0019,93.2581,0.0044,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.39147,0.000008,0.603,0.006,-6524.4888,0.5962,-19820.0101,0.1944,-7218.5796,0.0358,-565.0,5.0,13077.7537,0.1953,6381.3397,0.1950,8557.0258,0.0003,38963706.48482,0.00489,-33807.19535,0.00456,N,1921,1-Jan-2018,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,21,K,3.4381,0.0028,0.0117,0.0001,,0,,,4-,1.248E+9,,3,Y,3.938304361629082e16,94670777923776,B-,89.28,0.11,EC+B+,10.72,0.11,,,,,-1.29797,0.00003,-0.75,0.008,1310.9051,0.0596,-14324.1083,0.5988,-6438.4047,0.0665,1504.403,0.056,7799.6195,0.0559,7582.2725,5.0003,8538.0907,0.0014,39963998.165,0.060,-33535.497,0.056,N,1935,30-Sep-2015,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,22,K,3.4518,0.0055,6.7302,0.0044,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.214872,0.000005,0.734,0.007,-421.6406,0.1377,-8784.4649,0.0208,-6222.913,0.0519,-2492.039,0.347,10095.3700,0.0560,7808.6199,0.0031,8576.0731,0.0003,40961825.25611,0.00403,-35559.54880,0.00376,N,1921,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
19,23,K,3.4517,0.0070,,,,0,,,2-,12.355,,7,h,44478,25.2,B-,100,,,,,,,,,-1.1425,0.0006,,,3525.2626,0.1825,-7955.4406,0.1738,-7648.8307,0.1445,-599.353,5.776,7533.8000,0.1061,9243.4922,0.3631,8551.2571,0.0025,41962402.305,0.113,-35022.031,0.106,N,1935,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
