z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
21,17,Sc,,,,,,0,,,,,,,,,,P,,,,,,,,,,,,,,-15619,361,-37491,447,-5454,280,17809.503,200.0,16101,361,-1598,200,7751,5,37995438,215,-4249,200,Y,,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,18,Sc,,,,,,0,,,(7/2-),300,LT,,ns,0.0000003,,P,100,,,,,,,,,,,,,-16673,202,-33614,301,-5424.7488,24.0055,13109.981,24.007,17995,202,-596.8061,24.0008,8013.4575,0.6154,38984784.953,25.765,-14172.726,24.000,N,1988,1-Jan-2018,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,19,Sc,,,,,,0,,,4-,182.3,,7,ms,0.1823,0.0007,EC+B+,100,,ECP,0.44,0.07,ECA,0.017,0.005,1,,,,,-11529.9139,68.3023,-31095,200,-5531.0869,2.8468,14323.049,2.828,14421.9445,24.1661,529.6171,2.8904,8173.6697,0.0707,39977967.275,3.036,-20523.353,2.828,N,1955,30-Sep-2015,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,20,Sc,,,,,,0,,,7/2-,596.3,,17,ms,0.5963,0.0017,EC+B+,100,,,,,,,,,5.4283,0.0014,-0.145,0.003,-12944.8214,27.9449,-27720.2393,68.2437,-6267.0746,0.1217,6495.548,0.158,16190.3254,2.8291,1084.9291,0.0746,8369.1979,0.0019,40969251.163,0.083,-28642.360,0.077,N,1941,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,21,Sc,3.5702,0.0238,,,,0,,,0+,680.79,,28,ms,0.68079,0.00028,EC+B+,100,,,,,,,,1,,,,,-7016.6496,0.2239,-24494.7824,27.9452,-5745.1591,0.2486,6426.29,0.21,11549.9610,0.1579,4272.0659,0.0687,8444.9303,0.0037,41965516.686,0.165,-32121.003,0.154,N,1955,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,22,Sc,3.5575,0.0147,,,,0,,,7/2-,3.891,,12,h,14007.6,43.2,EC+B+,100,,,,,,,,,4.526,0.01,-0.27,0.05,-6872.5591,6.0147,-19155.1147,1.8706,-4805.8704,1.8629,2220.723,1.877,12138.4650,1.8576,4929.8277,1.8570,8530.8265,0.0433,42961150.425,1.999,-36188.150,1.863,N,1935,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,23,Sc,3.5432,0.0016,,,,0,,,2+,3.97,,4,h,14292,144,EC+B+,100,,,,,,,,,2.498,0.005,0.1,0.05,-267.4488,1.8899,-16571.7622,5.9823,-6705.454,1.7565,3652.695,1.786,9699.2031,2.5512,6696.1334,1.7408,8557.3805,0.0399,43959402.818,1.884,-37816.035,1.756,N,1937,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,24,Sc,3.5459,0.0025,100,,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,4.754,0.00008,-0.22,0.002,-2062.0551,0.5086,-11595.0532,0.9646,-7937.6884,0.6634,-260.091,0.757,11327.6044,1.8737,6892.5626,0.7228,8618.941,0.0147,44955907.051,0.712,-41072.321,0.663,N,1923,30-Oct-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,25,Sc,3.5243,0.0089,,,,0,,,4+,83.79,,4,d,7239456,3456,B-,100,,,,,,,,,3.04,0.008,0.119,0.006,2366.626,0.6666,-10822.6951,0.5191,-9164.5284,0.6797,1377.967,2.333,8760.6400,0.1037,8238.3840,0.7450,8622.0215,0.0146,45955167.034,0.720,-41761.643,0.671,N,1936,15-Jul-2000,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
21,26,Sc,,,,,,0,,,7/2-,3.3492,,6,d,289370.88,51.84,B-,100,,,,,,,,5/2,5.34,0.02,-0.22,0.03,600.7694,1.9292,-8279.8913,1.9302,-10186.364,1.9738,-1992.177,2.943,10646.5173,2.0419,8486.2038,1.2134,8665.0958,0.0411,46952402.444,2.072,-44336.842,1.931,N,1945,20-Feb-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
