z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
22,16,Ti,,,,,,0,,,,120,LT,,ns,0.00000012,,2P,,,,,,,,,,,,,,,,,,-5945,424,15619.0,360.5,21871,500,-301,424,7319,8,38012206,322,11370,300,Y,,30-Sep-2017,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,17,Ti,,,,,,0,,,(3/2+),28.5,,9,ms,0.0285,0.0009,EC+B+,100,,ECP,93.7,,EC2P,14,,5/2,,,,,-20070,447,,,-5115,283,16672.726,201.435,16941,361,539,283,7566,5,39002684,215,2500,200,Y,1990,1-Jan-2018,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,18,Ti,,,,,,0,,,0+,52.4,,3,ms,0.0524,0.0003,ECP,100,,EC+B+,100,,,,,,,,,,-21463,308,-39635,405,-4967.1884,79.1025,11529.914,68.303,19565,212,2109.6836,72.3409,7865.8632,1.7061,39990345.146,73.262,-8993.439,68.244,N,1982,30-Sep-2015,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,19,Ti,,,,,,0,,,3/2+,81.9,,5,ms,0.0819,0.0005,EC+B+,100,,ECP,100,,,,,,,,,,-16008,202,-36239,301,-4986.3846,27.9520,12944.821,27.945,14775.4180,73.7436,2463.1571,28.0876,8034.3889,0.6816,40983148,30.000,-15697.539,27.945,N,1964,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,20,Ti,,,,,,0,,,0+,208.65,,80,ms,0.20865,0.0008,EC+B+,100,,,,,,,,,,,,,-17485,196,-33486,200,-5470.7658,0.3321,7016.65,0.31,17478.1327,27.9461,3750.9644,0.2726,8259.24,0.0064,41973049.369,0.289,-25104.353,0.269,N,1964,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,21,Ti,,,,,,0,,,7/2-,509,,5,ms,0.509,0.005,EC+B+,100,,ECP,,,,,,,0.85,0.02,,,-11399.2333,43.2287,-29767,196,-4457.8001,5.7499,6872.559,6.015,12282.5556,5.7253,4483.5590,5.7210,8352.8054,0.1330,42968528.42,6.139,-29315.591,5.719,N,1948,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,22,Ti,3.6115,0.0051,,,,0,,,0+,59.1,,3,Y,1865014325.0983872,9467077.7923776,EC,100,,,,,,,,,,,,,-13740.5071,7.2986,-27703.5466,42.8545,-5127.1001,0.7000,267.449,1.89,16304.3134,5.7616,8649.4073,1.9899,8533.5215,0.0159,43959689.936,0.751,-37548.586,0.700,N,1954,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,23,Ti,3.5939,0.0032,,,,0,,,7/2-,184.8,,5,m,11088,30,EC+B+,100,,,,,,,,1/2,0.095,0.002,0.015,0.015,-7123.8247,0.2142,-23273.5052,7.3128,-6297.2739,0.8448,2062.055,1.067,9532.9981,1.0904,8483.2023,1.9415,8555.7321,0.0186,44958120.758,0.897,-39010.266,0.836,N,1941,30-Oct-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,24,Ti,3.6070,0.0022,8.25,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.3,0.7,-0.21,0.06,-7052.3723,0.0923,-20313.1458,0.8591,-8005.8918,0.1736,-2366.626,0.677,13189.3211,0.8320,10344.9190,0.6585,8656.4623,0.0020,45952626.356,0.097,-44128.269,0.090,N,1934,15-Jul-2000,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,25,Ti,3.5962,0.0019,7.44,0.02,,0,,,5/2-,STABLE,,,,,,,,,,,,,,,3/2,-0.78814,0.00011,0.302,0.01,-2930.5422,0.0879,-15933.0330,0.1191,-8953.6551,0.2408,-600.77,1.93,8880.6607,0.0635,10464.9397,0.6691,8661.2325,0.0017,46951757.491,0.085,-44937.612,0.080,N,1934,20-Feb-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
22,26,Ti,3.5921,0.0017,73.72,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.2,0.6,-0.177,0.008,-4014.9467,0.9691,-14557.2001,0.0838,-9449.1378,0.3327,-3988.869,4.951,11626.6579,0.0319,11445.0803,1.9294,8723.0122,0.0016,47947940.677,0.079,-48492.952,0.074,N,1923,30-Nov-2021,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
