z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
23,19,V,,,,,,0,,,,55,LT,,ns,0.000000055,,P,,,,,,,,,,,,,,-14679,358,-36101,445,-5795,280,17484.353,196.0,16001,280,-789,198,7824,5,41991820,210,-7620,196,Y,,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,20,V,,,,,,0,,,,79.3,,24,ms,0.0793,0.0024,EC+B+,100,,ECP,,,,,,,,,,,-15946,205,-33047,303,-6168.5473,49.1123,11399.233,43.229,18368,200,100.9753,42.8496,8069.5129,0.9965,42980766,46.000,-17916.358,42.849,N,1987,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,21,V,,,,,,0,,,(2)+,111,,7,ms,0.111,0.007,EC+B+,100,,ECA,,,,,,,,,,,-10386.1805,51.7447,-29909,200,-5709.6423,7.7960,13740.507,7.299,13963.0395,43.4602,1781.4593,9.2458,8203.4567,0.1651,43974440.977,7.799,-23808.079,7.265,N,1971,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,22,V,,,,,,0,,,7/2-,547,,6,ms,0.547,0.006,EC+B+,100,,,,,,,,,,,,,-12371.64,35.4073,-26535.8610,51.2394,-5668.9974,0.8662,7123.825,1.202,16149.6805,7.3160,1626.8264,1.1113,8380.0394,0.0192,44965768.498,0.926,-31886.441,0.863,N,1975,30-Oct-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,23,V,,,,,,0,,,0+,422.50,,11,ms,0.4225,0.00011,EC+B+,100,,,,,,,,,,,,,-7604.3264,11.4538,-25632.4135,35.3970,-7379.8098,0.2036,7052.372,0.161,13260.7735,0.8642,5354.6018,0.8372,8486.1423,0.0029,45960197.389,0.143,-37075.897,0.134,N,1952,15-Jul-2000,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,24,V,,,,,,0,,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,,,,,,,,,,,,-7443.9769,5.1976,-20606.8172,11.4535,-8243.8356,1.8661,2930.542,0.136,13002.4908,0.1056,5167.7715,0.0669,8582.2348,0.0024,46954903.558,0.118,-42007.070,0.110,N,1942,20-Feb-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,25,V,,,,,,0,,,4+,15.974,,3,d,1380153.6,259.2,EC+B+,100,,,,,,,,,2.012,0.011,,,-1656.6918,7.3746,-17986.2303,5.2865,-9086.8859,2.0066,4014.947,0.975,10542.2534,0.9713,6829.3642,0.9698,8623.0686,0.0202,47952250.9,1.043,-44478.005,0.972,N,1937,30-Nov-2021,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,26,V,,,,,,0,,,7/2-,330,,15,d,28512000,1296000,EC,100,,,,,,,,3/2,4.47,0.05,,,-2629.8047,2.3487,-13212.1616,7.3566,-9314.7513,1.0534,601.855,0.828,11555.4698,1.2699,6758.1761,0.8207,8682.9135,0.0168,48948510.509,0.884,-47962.157,0.824,N,1940,14-Jul-2008,T. W. Burrows{+a},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,27,V,,,0.250,0.010,,0,,,6+,2.65E+17,,+16-18,Y,8.36258538326688e24,5.36467741568064e23,EC+B+,99.3,0.7,B-,0.7,0.7,,,,,3.3442,0.0004,0.21,0.04,1038.124,0.0551,-11962.2061,2.2007,-9886.5127,0.6706,2208.627,0.124,9332.4013,0.8223,7948.1988,0.0567,8695.9032,0.0019,49947156.681,0.099,-49223.240,0.093,N,1949,15-Apr-2019,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,28,V,3.6002,0.0022,99.750,0.010,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,5.1464,0.0007,-0.052,0.01,-752.3907,0.1494,-10013.0593,0.0711,-10291.1787,1.9303,-2470.14,0.49,11051.1834,0.0609,8060.2090,0.0658,8742.0852,0.0019,50943957.664,0.104,-52203.105,0.097,N,1924,1-Mar-2016,Wang Jimin and Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,29,V,,,,,,0,,,3+,3.743,,5,m,224.58,0.3,B-,100,,,,,,,,,,,,,3976.4763,0.1601,-8063.6352,0.1953,-9363.8644,4.9519,-1965.334,2.752,7311.2445,0.1258,8999.0377,0.4982,8714.569,0.0031,51944773.636,0.170,-51443.032,0.159,N,1934,10-Jul-2015,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,30,V,,,,,,0,,,7/2-,1.543,,14,m,92.58,0.84,B-,100,,,,,,,,,,,,,3435.9426,3.1017,-4503.4851,3.1024,-7714.1438,3.8428,-4970.242,4.239,8479.9613,3.1049,9662.9484,4.1437,8710.1425,0.0585,52944334.94,3.331,-51851.675,3.103,N,1960,31-Mar-2007,HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,31,V,,,,,,0,,,3+,49.8,,5,s,49.8,0.5,B-,100,,,,,,,,,,,,,7037.1118,11.1794,-2681.9677,11.1796,-7786.0627,11.4590,-4154.455,19.384,6117.9103,11.6013,10305.8052,11.5464,8662.1382,0.2070,53946432.009,12.001,-49898.267,11.180,N,1970,20-Jun-2014,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,32,V,,,,,,0,,,(7/2-),6.54,,15,s,6.54,0.15,B-,100,,,,,,,,,,,,,5985.1877,27.0143,-261.0750,27.0137,-8299.699,27.1302,-7292.667,39.541,7298.1868,29.2353,10670.2947,31.3126,8637.3391,0.4912,54947262,29.000,-49125.136,27.013,N,1977,30-Apr-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,33,V,,,,,,0,,,1+,216,,4,ms,0.216,0.004,B-,100,,B-N,,,,,,,,,,,9101.727,175.8854,855.6051,175.8846,-8084.756,175.9113,-6760.406,202.424,5129.5826,177.9467,11639.9029,178.2391,8574.7006,3.1408,55950420.082,188.819,-46183.401,175.884,N,1980,25-Mar-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,34,V,,,,,,0,,,(7/2-),0.32,,3,s,0.32,0.03,B-,100,,B-N,,,,,,,,,,,8089.9214,84.7864,2778.7463,84.7679,-8090.4245,86.5939,-10033.215,222.646,6322.9807,195.2450,12301.0388,131.2456,8535.1967,1.4871,56952297,91.000,-44435.063,84.766,N,1980,12-APR-2010,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,35,V,,,,,,0,,,(1+),191,,10,ms,0.191,0.01,B-,100,,B-N,,,,,,,,,,,11561.224,95.8625,4023.0830,95.8342,-8417.566,96.8296,-9512.916,206.868,4066.8385,127.9296,13317.7063,227.0836,8458.156,1.6520,57956595.985,102.862,-40430.584,95.816,N,1980,12-Jan-2010,CAROLINE D. NESARAJA and  SCOTT D. GERAEDTS AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,36,V,,,,,,0,,,(5/2- 3/2-),97,,2,ms,0.097,0.002,B-,100,,B-N,0.03,,,,,,,,,,10505.3137,137.4021,6309.8725,137.4328,-9193.4251,150.9105,-11730.617,329.968,5251.3515,167.5100,13981.9196,229.1120,8403.8034,2.3288,58959623.343,147.505,-37610.617,137.400,N,1985,1-Apr-2018,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,37,V,,,,,X,0,,0,,122,,18,ms,0.122,0.018,B-,100,,B-2N,,,B-N,,,,,,,,13821.0986,181.9496,6957.2111,181.9474,-9996.469,317.0650,-10987.704,301.431,3548.1026,227.9984,14497,351,8322.8751,3.0324,59964479.215,195.327,-33087.402,181.946,N,1985,31-Dec-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,38,V,,,,,,0,,,(3/2- 5/2-),48.3,,10,ms,0.0483,0.001,B-,100,,B-N,10,,B-2N,,,,,,,,12319.3807,234.9272,8660.0609,234.9225,-11222.3845,295.8168,-13807.121,381.035,5161.0378,297.1392,15366.3948,336.0709,8271.0417,3.8511,60967603.529,252.196,-30177.121,234.920,N,1992,25-Mar-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,39,V,,,,,,0,,,,33.6,,23,ms,0.0336,0.0023,B-,100,,B-N,,,,,,,,,,,15639.4478,264.3094,9212.0204,264.2935,-12158.5104,325.5104,-13013.164,479.424,3107.3603,353.6027,16132,400,8187.7565,4.2627,61972932.556,283.723,-25213.164,264.287,N,1997,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,40,V,,,,,,0,,,7/2-,17,,3,ms,0.017,0.003,B-,100,,B-N,35,,,,,,,,,,14438.1586,347.6720,11041.1524,340.0128,-13335.5063,421.8023,-15880.141,604.646,4598.2954,430.6326,16829,525,8130.7809,5.3968,62976661,365.000,-21740.141,339.995,N,1997,28-Aug-2008,HUO JUNDE and  YANG DONG and  HUO MEIRONG and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,41,V,,,,,,0,,,(0 1 2),15,,2,ms,0.015,0.002,B-,100,,B-N,,,B-3N,,,,,,,,17320,500,11787,406,-14194,640,-14840.0,721.1,2651,525,17749,640,8045,6,63982480,429,-16320,400,Y,1997,12-Nov-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,42,V,,,,,,0,,,,360,GT,,ns,0.00000036,,B-,100,,B-N,,,,,,,,,,,16200,539,13458,583,-15035,781,,,3862,640,17919,781,7981,8,64986999,537,-12110,500,Y,2009,1-Aug-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,43,V,,,,,,0,,,,360,GT,,ns,0.00000036,,B-,,,B-N,,,,,,,,,,,18840,583,13939,539,-16035,781,,,2261,707,18799,860,7894,8,65993237,537,-6300,500,Y,2009,3-Mar-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
23,44,V,,,,,,0,,,,620,GT,,ns,0.00000062,,B-,,,B-N,,,B-2N,,,,,,,,17526,721,15325,671,-17238,922,,,3515,781,,,7829,9,66998128,644,-1744,600,Y,2013,24-JUN-2013,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
