z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
24,18,Cr,,,,,,0,,,0+,13.3,,10,ms,0.0133,0.001,EC+B+,100,,ECP,94.4,5,,,,,,,,,,,,,-6735,424,14680.0,358.3,21421,500,539,361,7456,7,42007579,322,7060,300,Y,1996,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,19,Cr,,,,,,0,,,(3/2+),21.2,,7,ms,0.0212,0.0007,EC+B+,100,,ECP,79.3,3,EC2P,11.6,1,,,,,,-19340,447,,,-6895,283,15946.358,204.539,17101,361,1639,280,7680,5,42997885,215,-1970,200,Y,1992,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,20,Cr,,,,,,0,,,0+,42.8,,6,ms,0.0428,0.0006,EC+B+,100,,ECP,7,3,,,,,,,,,-20882,304,-38863,403,-6853.3757,85.3343,10386.18,51.74,19523,207,2794.5120,66.7888,7949.6265,1.1644,43985591,55.000,-13421.899,51.232,N,1987,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,21,Cr,,,,,,0,,,(7/2-),60.9,,4,ms,0.0609,0.0004,B+,100,,B+P,34.4,0.8,,,,3/2,,,,,-14535,302,-35046,302,-6242.1787,45.0982,12371.64,35.40,14164.2210,62.2709,2995.6935,36.1346,8087.7286,0.7866,44979050,38.000,-19514.801,35.397,N,1974,30-Oct-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,22,Cr,,,,,,0,,,0+,0.26,,6,s,0.26,0.06,EC+B+,100,,,,,,,,,,,,,-17053.8226,87.3828,-32563,300,-6792.1331,11.4561,7604.327,11.454,18028.0871,37.2035,4874.1001,11.4854,8303.8233,0.2490,45968360.969,12.295,-29471.570,11.453,N,1972,20-FEB-2010,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,23,Cr,,,,,,0,,,3/2-,500,,15,ms,0.5,0.015,EC+B+,100,,,,,,,,,,,,,-11996.7167,32.0943,-30216.6630,86.7847,-7672.4178,7.7273,7443.977,5.198,13162.8404,12.5768,4776.1669,5.1982,8407.2067,0.1106,46962894.995,5.578,-34563.093,5.197,N,1972,20-Feb-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,24,Cr,,,,,,0,,,0+,21.56,,3,h,77616,108,EC+B+,100,,,,,,,,,,,,,-13524.6692,9.9157,-28326.2551,32.5037,-7697.6429,7.3446,1656.692,7.375,16329.5384,8.9696,8103.2146,7.3112,8572.2553,0.1523,47954029.431,7.848,-42821.313,7.311,N,1952,30-Nov-2021,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,25,Cr,,,,,,0,,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,,,,,,,1/2,0.476,0.003,,,-7712.4265,0.2329,-24107.0261,7.0512,-8747.0017,2.3532,2629.805,2.351,10582.3569,7.6343,8143.3181,2.4046,8613.2777,0.0449,48951333.72,2.363,-45332.352,2.202,N,1942,14-Jul-2008,T. W. Burrows{+a},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,26,Cr,3.6588,0.0065,4.345,0.013,,0,,,0+,1.3E+18,GT,,Y,4.10240037669696e25,,2EC,,,,,,,,,1,3.1,0.8,-0.36,0.07,-7634.4776,0.0672,-20712.7566,2.2123,-8558.0106,0.0779,-1038.124,0.132,13000.3301,2.2000,9588.1783,0.8224,8701.0188,0.0019,49946042.209,0.100,-50261.364,0.094,N,1930,15-Apr-2019,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
24,27,Cr,,,,,,0,,,7/2-,27.704,,4,d,2393625.6,345.6,EC,100,,,,,,,,,-0.934,0.005,,,-3207.4893,0.3256,-16895.1462,0.1623,-8938.0185,0.1534,752.39,0.19,9260.6686,0.1477,9516.4456,0.1510,8711.9923,0.0033,50944765.388,0.178,-51450.715,0.167,N,1940,1-Mar-2016,Wang Jimin and Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
