z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
25,19,Mn,,,,,,0,,,,105,LT,,ns,0.000000105,,EC,,,P,,,,,,,,,,,,,,,-7434,424,20881.899,304.343,17981,500,-2141,361,7457,7,44008009,322,7460,300,Y,,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,20,Mn,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,-19388,412,,,-7715,361,14534.801,302.081,20511,424,-1153,304,7747,7,44994654,322,-4980,300,Y,,30-Oct-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,21,Mn,,,,,,0,,,(4+),36.2,,4,ms,0.0362,0.0004,EC+B+,100,,ECP,57,0.8,,,,2,,,,,-13628,312,-34897,296,-7223,214,17053.822,87.383,15509,312,191.9175,93.5816,7916.0805,1.8832,45986669,93.000,-12417.748,86.629,N,1987,20-FEB-2010,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,22,Mn,,,,,,0,,,(5/2-),100,,50,ms,0.1,0.05,EC+B+,100,,ECP,3.4,0.9,,,,,,,,,-15437,501,-31848,302,-7074.9344,53.2828,11996.717,32.095,18219.9463,92.2367,383.7767,33.6780,8135.3117,0.6738,46975774,34.000,-22566.376,31.671,N,1987,20-Feb-2007,T. W. BURROWS,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,23,Mn,,,,,,0,,,4+,157.7,,22,ms,0.1577,0.0022,EC+B+,100,,B+P,0.28,0.04,B+A,0.0006,,1,,,,,-11288.0685,92.4609,-30238,500,-7913.4808,9.8818,13524.669,9.916,14801.5859,32.3715,2022.5222,6.3173,8274.1924,0.1396,47968548.76,7.191,-29296.644,6.699,N,1987,30-Nov-2021,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,24,Mn,,,,,,0,,,5/2-,382,,7,ms,0.382,0.007,EC+B+,100,,,,,,,,1/2,,,,,-12869.1957,24.3199,-27682.6680,92.2445,-8158.3999,2.3744,7712.427,3.123,16394.5996,7.0550,2087.5834,7.6379,8439.915,0.0452,48959613.35,2.377,-37619.925,2.214,N,1970,14-Jul-2008,T. W. Burrows{+a},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,25,Mn,3.7120,0.0196,,,,0,,,0+,283.19,,10,ms,0.28319,0.0001,EC+B+,100,,,,,,,,1,2.76,0.01,0.83,0.12,-8150.4267,8.3842,-25947.4747,24.2191,-7975.9054,0.1427,7634.478,0.149,13078.2790,2.2133,4583.5055,2.2010,8532.6823,0.0023,49954238.157,0.123,-42626.886,0.115,N,1952,15-Apr-2019,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,26,Mn,3.7026,0.0212,,,,0,,,5/2-,46.2,,1,m,2772,6,EC+B+,100,,,,,,,,,3.575,0.004,0.41,0.08,-8054.04,1.4309,-21838.0836,8.3890,-8661.0715,0.3064,3207.49,0.34,13687.6569,0.2981,5270.8323,0.2904,8633.7602,0.0060,50948208.77,0.326,-48243.225,0.304,N,1938,1-Mar-2016,Wang Jimin and Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,27,Mn,3.6706,0.0128,,,,0,,,6+,5.591,,3,d,483062.4,259.2,EC+B+,100,,,,,,,,,3.0622,0.0012,0.5,0.07,-2379.2912,0.1534,-18593.5193,1.4041,-8658.2974,0.9744,4708.121,0.171,10539.4793,0.3115,6549.6431,0.1812,8670.4087,0.0025,51945559.09,0.138,-50711.387,0.129,N,1938,10-Jul-2015,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
25,28,Mn,3.6662,0.0076,,,,0,,,7/2-,3.7E+6,,4,Y,116760626105990.4,12622770389836.8,EC,100,,,,,,,,,5.033,0.005,0.17,0.03,-3742.8664,1.6971,-14429.5724,0.3598,-9153.1088,0.8876,597.268,0.365,12050.2812,0.3375,6559.8128,0.3316,8734.1798,0.0065,52941287.497,0.371,-54690.350,0.346,N,1955,31-Mar-2007,HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
