z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
27,21,Co,,,,,,0,,,,,,,,,,P,,,,,,,,,,,,,,-16448,656,,,-8155,583,19738.575,508.433,16961,781,-1570,707,7595,10,48001857,537,1730,500,Y,,30-Nov-2021,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,23,Co,,,,,,0,,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,ECP,70.5,0.7,EC2P,,,2,,,,,-14130,516,-34190,613,-7596.5711,152.7025,16887.057,126.031,15881,516,127.6444,128.0627,8000.6387,2.5150,49981117,135.000,-17589.403,125.752,N,1987,15-Apr-2019,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,24,Co,,,,,,0,,,7/2-,68.8,,19,ms,0.0688,0.0019,EC+B+,100,,ECP,3.8,,,,,,,,,,-15692,503,-31954,503,-7200.6861,57.8727,12847.039,48.458,17824.0613,134.7579,154.6577,49.1578,8193.2549,0.9498,50970647,52.000,-27342.146,48.438,N,1987,1-Mar-2016,Wang Jimin and Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,25,Co,,,,,,0,,,(6+),104,,7,ms,0.104,0.007,EC+B+,100,,B+P,,,,,,,,,,,-11784.123,83.0710,-30765,500,-7472.2505,8.5303,13988.116,5.285,15073.1503,48.7248,1443.7644,5.4635,8325.5606,0.1016,51963130.224,5.669,-34343.979,5.282,N,1987,10-Jul-2015,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,26,Co,,,,,,0,,,(7/2-),240,,9,ms,0.24,0.009,EC+B+,100,,,,,,,,,,,,,-13028.5485,25.2096,-28170.8383,82.9210,-7464.3663,2.8069,8288.107,2.402,16386.7154,5.5563,1616.2517,1.7339,8477.6578,0.0326,52954203.278,1.854,-42659.376,1.727,N,1970,31-Mar-2007,HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,27,Co,,,,,,0,,,0+,193.28,,7,ms,0.19328,0.00007,EC+B+,100,,,,,,,,1,,,,,-8731.7558,4.6710,-26450.5582,25.1528,-7808.097,0.3596,8244.547,0.494,13422.0097,1.6951,4351.5554,1.6361,8569.2199,0.0066,53948459.075,0.380,-48010.068,0.355,N,1952,20-Jun-2014,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,28,Co,,,,,,0,,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,,,,,,,,4.822,0.003,,,-8694.035,0.5775,-22823.0025,4.6750,-8211.6868,0.4861,3451.426,0.509,14091.2467,0.3112,5064.3519,0.2981,8669.6204,0.0074,54941996.416,0.434,-54029.996,0.405,N,1938,30-Apr-2007,HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,29,Co,,,,,,0,,,4+,77.236,,26,d,6673190.4,2246.4,EC+B+,100,,,,,,,,,,,0.25,0.09,-2132.8689,0.3735,-18775.8746,0.7405,-7754.0471,0.4841,4566.645,0.545,10081.8396,0.4635,5848.0672,0.4483,8694.8386,0.0085,55939838.032,0.510,-56040.518,0.475,N,1941,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,30,Co,,,,,,0,,,7/2-,271.74,,6,d,23478336,5184,EC,100,,,,,,,,3/2,,,0.54,0.1,-3261.697,0.6417,-13509.3271,0.5241,-7080.224,0.5966,836.359,0.581,11376.4582,0.5657,6027.4657,0.4491,8741.8845,0.0090,56936289.819,0.553,-59345.658,0.516,N,1941,24-Sep-1998,M. R. BHAT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
27,31,Co,,,,,,0,,,2+,70.86,,6,d,6122304,5184,EC+B+,100,,,,,,,,,,,0.23,0.03,381.5789,1.1071,-11834.6497,1.2101,-6713.9617,1.5276,2307.979,1.196,8572.9526,1.1760,6954.2468,1.1265,8738.9719,0.0199,57935751.292,1.237,-59847.292,1.153,N,1941,31-OCT-2015,C.D. NESARAJA AND B. SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
