z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
28,20,Ni,,,,,,0,,,0+,2.1,,+14-6,ms,0.0021,0.001,2P,70,20,B+P,30,20,,,,,,,,,,,,,,,16448.0,655.5,,,-269,735,7236,9,48019515,455,18178,424,Y,2000,30-Nov-2021,JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,21,Ni,,,,,,0,,,,7.5,,10,ms,0.0075,0.001,EC+B+,100,,B+P,83,13,,,,,,,,,,,,,-8303,663,18310.0,781.0,17720,735,489,781,7450,12,49009157,644,8530,600,Y,1996,14-Jul-2008,T. W. Burrows{+a},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,22,Ni,,,,,,0,,,0+,18.5,,12,ms,0.0185,0.0012,EC+B+,100,,ECP,73,6,EC2P,14,5,,,,,,,,,,-7094,583,14129.403,515.571,20061,781,969,707,7702,10,49996286,537,-3460,500,Y,1994,15-Apr-2019,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,23,Ni,,,,,,0,,,(7/2-),23.8,,2,ms,0.0238,0.0002,EC+B+,100,,ECP,87.2,0.8,EC2P,0.5,0.2,,,,,,,,,,-6945,707,15692.146,502.341,16262,707,1350,516,7870,10,50987493,537,-11650,500,Y,1987,1-Mar-2016,Wang Jimin and Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,24,Ni,,,,,,0,,,0+,40.8,,2,ms,0.0408,0.0002,EC+B+,100,,B+P,31.4,1.5,,,,,,,,,-20680,606,,,-6976.1961,124.0042,11784.123,83.071,18981,507,2506.6803,96.0162,8083.8977,1.5943,51975781,89.000,-22559.856,82.903,N,1987,10-Jul-2015,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,25,Ni,,,,,,0,,,(7/2-),55.2,,7,ms,0.0552,0.0007,EC+B+,100,,ECP,23.4,1,,,,3/2,,,,,-16491,501,-35822,600,-7305.0135,34.9155,13028.549,25.209,15142.2898,86.6340,2575.8198,25.6989,8217.0749,0.4745,52968190,27.000,-29630.827,25.150,N,1976,11-JUN-2013,B. SINGH AND A. CHAKRABORTY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,26,Ni,,,,,,0,,,0+,114.2,,3,ms,0.1142,0.0003,EC+B+,100,,,,,,,,,,,,,-18038,400,-34210,500,-7226.768,9.5903,8731.756,4.671,17718.8025,25.5780,3907.9069,4.9674,8393.0328,0.0862,53957833,5.000,-39278.312,4.657,N,1977,20-Jun-2014,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,27,Ni,,,,,,0,,,7/2-,203.7,,20,ms,0.2037,0.002,EC+B+,100,,,,,,,,,-0.98,0.03,,,-13700.5585,155.5611,-32167,400,-7571.6918,1.5660,8694.035,0.813,14128.9675,4.7106,4614.8647,0.6560,8497.3225,0.0128,54951329.846,0.757,-45335.961,0.705,N,1972,30-Apr-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,28,Ni,,,,,,0,,,0+,6.075,,10,d,524880,864,EC+B+,100,,,,,,,,,,,,,-15277.9163,6.4070,-30343.5642,155.5600,-8000.4694,0.4276,2132.869,0.62,16643.0057,0.6718,7166.6237,0.3432,8642.7811,0.0071,55942127.761,0.428,-53907.649,0.399,N,1952,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,29,Ni,,,,,,0,,,3/2-,35.60,,6,h,128160,216,EC+B+,100,,,,,,,,,-0.7975,0.0014,,,-8774.9466,0.4393,-25525.5463,6.4197,-7561.3934,1.7267,3261.697,0.766,10247.6300,0.5174,7332.4141,0.5868,8670.9364,0.0099,56939791.394,0.608,-56083.961,0.566,N,1938,24-Sep-1998,M. R. BHAT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,30,Ni,3.7757,0.0020,68.0769,0.0190,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.076,0.017,-0.1,0.06,-8561.0204,0.4425,-20991.1751,0.4492,-6399.1718,0.3508,-381.579,1.205,12216.2285,0.4965,8172.1845,0.4270,8732.0621,0.0060,57935341.65,0.374,-60228.871,0.349,N,1921,12-Jan-2010,CAROLINE D. NESARAJA and  SCOTT D. GERAEDTS AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,31,Ni,,,,,,0,,,3/2-,7.6E+4,,5,Y,2398326374068.992,157784629872.96,EC+B+,100,,,,,,,,,0.35,0.15,,,-4798.3786,0.3973,-17560.3001,0.4453,-6100.3272,0.3262,1073.005,0.53,8999.2797,0.0499,8598.5116,1.1063,8736.5912,0.0060,58934345.442,0.376,-61156.833,0.351,N,1951,1-Apr-2018,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,32,Ni,3.8118,0.0016,26.2231,0.0150,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.32,0.06,-0.1,0.02,-6127.981,1.5735,-16186.1070,0.4004,-6290.9959,0.2580,-2822.806,0.536,11387.7284,0.0498,9532.3764,0.2003,8780.7769,0.0059,59930785.129,0.378,-64473.243,0.353,N,1921,31-Dec-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
28,33,Ni,3.8225,0.0019,1.1399,0.0013,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.74965,0.00005,0.162,0.015,-2237.9663,0.9617,-13948.0848,1.5742,-6464.9281,0.2616,-1323.85,0.91,7820.1037,0.0477,9860.5625,0.2176,8765.0281,0.0058,60931054.819,0.381,-64222.029,0.355,N,1934,20-Jan-2020,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
