z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
29,24,Cu,,,,,,0,,,,130,LT,,ns,0.00000013,,P,,,,,,,,,,,,,,,,,,-5785,707,16490.827,500.632,19331,781,-2131,507,7891,9,52985894,537,-13140,500,Y,,11-JUN-2013,B. SINGH AND A. CHAKRABORTY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,25,Cu,,,,,,0,,,3+,75,LT,,ns,0.000000075,,P,,,,,,,,,,,,,,-15538,454,,,-6075,419,18038.312,400.027,16172,640,-1102,400,8045,7,53977198,429,-21240,400,Y,,20-Jun-2014,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,26,Cu,,,,,,0,,,(3/2-),55.9,,18,ms,0.0559,0.0018,EC+B+,100,,ECP,,,,,,,,,,,-17366,429,-34005,267,-6718.1722,162.9263,13700.558,155.562,18467,429,-353.9380,155.6292,8233.997,2.8284,54966038,167.000,-31635.403,155.560,N,1987,30-Apr-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,27,Cu,,,,,,0,,,(4+),80.4,,8,ms,0.0804,0.0008,EC+B+,100,,ECP,0.4,0.12,,,,,,,,,-13240,400,-32431,400,-6710.6698,8.2937,15277.916,6.407,15065.6479,155.6909,582.7424,6.4334,8355.9907,0.1142,55958529.278,6.864,-38629.733,6.395,N,1987,25-Mar-2022,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,28,Cu,,,,,,0,,,3/2-,196.3,,7,ms,0.1963,0.0007,EC+B+,100,,,,,,,,,2.582,0.007,,,-14759,200,-29991,400,-7074.5541,1.7610,8774.947,0.756,16750.5997,6.4142,690.3364,0.4061,8503.2646,0.0088,56949211.686,0.537,-47309.014,0.501,N,1976,24-Sep-1998,M. R. BHAT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,29,Cu,,,,,,0,,,1+,3.204,,7,s,3.204,0.007,EC+B+,100,,,,,,,,0,0.571,0.002,-0.16,0.03,-9368.9796,50.0020,-27189,200,-6082.6991,0.5716,8561.02,0.66,12430.1547,0.6305,2872.8611,0.6651,8570.9696,0.0097,57944532.283,0.604,-51667.851,0.564,N,1952,12-Jan-2010,CAROLINE D. NESARAJA and  SCOTT D. GERAEDTS AND BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,30,Cu,,,,,,0,,,3/2-,81.5,,5,s,81.5,0.5,EC+B+,100,,,,,,,,,1.8931,0.0009,-0.2,0.02,-9142.776,0.6018,-22130.9011,50.0016,-4753.374,0.5480,4798.379,0.634,12761.9215,0.5649,3418.5541,0.3941,8642.0027,0.0090,58939496.713,0.566,-56358.454,0.528,N,1947,1-Apr-2018,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,31,Cu,,,,,,0,,,2+,23.7,,4,m,1422,24,EC+B+,100,,,,,,,,,1.22,0.0005,0.121,0.013,-4170.7922,1.6286,-19200.9019,1.7126,-4729.6603,1.6232,6127.981,1.651,10058.1260,1.6236,4477.4003,1.5742,8665.6047,0.0269,59937363.787,1.731,-58345.262,1.613,N,1947,31-Dec-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,32,Cu,,,,,,0,,,3/2-,3.339,,8,h,12020.4,28.8,EC+B+,100,,,,,,,,,2.1107,0.0005,-0.221,0.01,-5635.1565,15.9028,-15880.9106,1.0494,-5063.3206,1.0408,2237.966,1.015,11710.1184,1.8441,4799.7904,0.9618,8715.5148,0.0156,60933457.375,1.020,-61984.063,0.951,N,1937,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
29,33,Cu,,,,,,0,,,1+,9.67,,3,m,580.2,1.8,EC+B+,100,,,,,,,,,-0.38,0.0004,-0.022,0.004,-1619.4548,0.6507,-14509.9552,15.9067,-5365.1666,1.2420,3958.897,0.766,8874.7986,1.0638,5854.4853,0.5650,8718.0839,0.0103,61932594.803,0.683,-62787.543,0.637,N,1936,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
