z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
30,24,Zn,,,,,,0,,,0+,1.59,,+60-35,ms,0.00159,0.000475,2P,92,,,,,,,,,,,,,,,,,-4667,545,15538.0,455.0,,,-149,545,7742,4,53993879,232,-5702,217,Y,2005,20-Jun-2014,YANG DONG and  HUO JUNDE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,25,Zn,,,,,,0,,,,19.8,,13,ms,0.0198,0.0013,EC+B+,100,,ECP,91,5.1,,,,,,,,,,,,,-5044,640,17365.403,429.184,16639,454,319,565,7904,7,54984681,429,-14270,400,Y,2001,30-Apr-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,26,Zn,,,,,,0,,,0+,32.4,,11,ms,0.0324,0.0011,EC+B+,100,,ECP,88,2.6,,,,,,,,,-21550,640,,,-5255,408,13239.733,400.051,19191,565,1043,429,8106,7,55972743,429,-25390,400,Y,2001,25-Mar-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,27,Zn,,,,,,0,,,(7/2-),40,,10,ms,0.04,0.01,EC+B+,100,,B+P,65,,,,,3/2,,,,,-17140,447,-36782,539,-5344,202,14759.014,200.001,15232,447,1209,200,8231,4,56965056,215,-32550,200,Y,1976,24-Sep-1998,M. R. BHAT,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,28,Zn,,,,,,0,,,0+,86.7,,24,ms,0.0867,0.0024,EC+B+,100,,ECP,3,,,,,,,,,,-18759,304,-34960,403,-5445.4753,50.2177,9368.98,50.00,17820,206,2278.8281,50.0020,8395.9467,0.8621,57954590.296,53.678,-42298.871,50.001,N,1986,31-JUL-2014,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,29,Zn,,,,,,0,,,3/2-,178.6,,18,ms,0.1786,0.0018,EC+B+,100,,ECP,0.1,0.03,,,,,,,,,-13456,170,-31747,300,-4304.633,0.9649,9142.776,0.925,12988.1251,50.0045,2836.7985,0.7280,8473.7802,0.0129,58949311.886,0.814,-47215.678,0.759,N,1981,1-Apr-2018,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,30,Zn,,,,,,0,,,0+,2.38,,5,m,142.8,3,EC+B+,100,,,,,,,,,,,,,-14584,200,-28486,170,-2691.7371,0.5440,4170.792,1.704,15030.1098,0.7063,5104.9868,0.4109,8583.0524,0.0091,59941841.317,0.588,-54174.470,0.548,N,1955,31-Dec-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,31,Zn,,,,,,0,,,3/2-,89.1,,2,s,89.1,0.2,EC+B+,100,,,,,,,,,,,,,-9214.2438,37.6786,-24830,201,-2689.8611,15.9069,5635.157,15.927,10245.7541,15.9056,5292.6149,15.9777,8610.3098,0.2606,60939506.964,17.068,-56348.906,15.899,N,1955,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,32,Zn,,,,,,0,,,0+,9.193,,15,h,33094.8,54,EC+B+,100,,,,,,,,,,,,,-9181.0666,0.3763,-22104.7442,37.9973,-3364.133,0.5447,1619.455,0.885,12890.5004,15.9058,6472.9969,1.0505,8679.3451,0.0099,61934333.359,0.660,-61168.088,0.615,N,1948,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,33,Zn,,,,,,0,,,3/2-,38.47,,5,m,2308.2,3,EC+B+,100,,,,,,,,,-0.28143,0.00005,0.2,0.02,-5666.3294,2.0330,-18297.7253,1.6168,-3481.5119,1.5579,3366.439,1.617,9116.6587,1.6081,6714.8569,1.6167,8686.2866,0.0248,62933211.14,1.674,-62213.429,1.560,N,1937,28-Aug-2008,HUO JUNDE and  YANG DONG and  HUO MEIRONG and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
30,34,Zn,3.9283,0.0015,49.17,0.75,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2,0.6,-0.14,0.02,-7171.1912,1.4825,-17528.2362,1.4543,-3955.6904,0.6596,-579.6,0.7,11861.9068,1.4774,7713.1206,0.6447,8735.9057,0.0101,63929141.776,0.690,-66004.018,0.644,N,1922,12-Nov-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
