z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
31,28,Ga,,,,,,0,,,,43,LT,,ns,0.000000043,,P,,,,,,,,,,,,,,-17390,434,-34252,528,-4550,231,13455.678,170.002,18292,345,-1250,178,8232,3,58963757,183,-33760,170,Y,,1-Apr-2018,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,29,Ga,,,,,,0,,,(2+),70,,13,ms,0.07,0.013,EC+B+,100,,B+P,1.6,0.7,B+A,0.023,0.02,,,,,,-12060,361,-31292,447,-3386,200,14584.47,200.00,13902,263,-336,200,8327,3,59957498,215,-39590,200,Y,1995,31-Dec-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,30,Ga,,,,,,0,,,3/2-,167,,3,ms,0.167,0.003,EC+B+,100,,ECP,0.25,,,,,,,,,,-13345,302,-27676,302,-2250.564,37.9963,9214.244,41.186,15616,204,249.1633,37.9968,8446.4313,0.6228,60949398.861,40.787,-47134.662,37.994,N,1987,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,31,Ga,,,,,,0,,,0+,116.121,,21,ms,0.116121,0.000021,EC+B+,100,,ECP,,,,,,,,,,,-9847,140,-26268,300,-2744.0868,0.7216,9181.066,0.885,12923.6776,37.9976,2927.0868,15.9067,8518.6449,0.0103,61944189.639,0.684,-51987.022,0.637,N,1978,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,32,Ga,,,,,,0,,,3/2-,32.4,,5,s,32.4,0.5,EC+B+,100,,,,,,,,,0.1468,0.0005,0.212,0.014,-9625.8787,37.2826,-22479,140,-2613.5612,1.4070,5666.329,2.033,12631.3959,1.4515,2667.9823,1.4417,8583.9267,0.0207,62939294.194,1.400,-56547.100,1.304,N,1965,28-Aug-2008,HUO JUNDE and  YANG DONG and  HUO MEIRONG and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,33,Ga,,,,,,0,,,0+,2.627,,12,m,157.62,0.72,EC+B+,100,,,,,,,,,,,,,-4517.3237,3.9905,-19982.9237,37.2871,-2912.4803,2.1469,7171.191,1.567,10357.0450,1.9343,3908.3687,2.0657,8611.6317,0.0223,63936840.366,1.533,-58832.827,1.429,N,1953,12-Nov-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,34,Ga,,,,,,0,,,3/2-,15.2,,2,m,912,12,EC+B+,100,,,,,,,,,1.773,0.003,0.21,0.015,-6179.2631,2.3046,-16413.3016,3.8090,-3098.3398,0.9320,3254.538,1.021,11895.9779,1.5688,3942.4398,0.6153,8662.1601,0.0122,64932734.424,0.849,-62657.486,0.791,N,1938,1-Aug-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,35,Ga,,,,,,0,,,0+,9.49,,3,h,34164,108,EC+B+,100,,,,,,,,,0.89,0.02,0.78,0.04,-2116.6879,2.6376,-15316.8234,2.4246,-3361.1014,1.1582,5175.5,1.3,9137.5602,1.3088,5100.6752,1.2171,8669.3631,0.0166,65931589.766,1.172,-63723.729,1.092,N,1937,3-Mar-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,36,Ga,,,,,,0,,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,,,,,,,,1.8494,0.0005,0.197,0.002,-4205.438,4.4066,-13343.4333,2.6735,-3724.2037,1.1877,1001.22,1.39,11226.7454,1.3859,5268.8984,1.1317,8707.533,0.0176,66928202.276,1.262,-66879.156,1.176,N,1938,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
31,37,Ga,,,,,,0,,,1+,67.71,,8,m,4062.6,4.8,EC+B+,100,,,,,,,,,0.01174,0.00007,-0.0277,0.0014,-107.2555,2.3594,-12483.6544,4.4374,-4086.5521,1.4057,2921.1,1.6,8278.2165,1.6524,6494.6493,1.2154,8701.2195,0.0210,67927980.161,1.535,-67086.054,1.430,N,1937,1-Mar-2012,E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
