z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
32,27,Ge,,,,,,0,,,,13.3,,17,ms,0.0133,0.0017,2P,0.2,,EC+B+,,,,,,,,,,,,,,,-4525,565,17390.0,434.6,16862,640,119,500,7924,7,58982426,429,-16370,400,Y,2015,1-Apr-2018,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,28,Ge,,,,,,0,,,0+,110,GT,,ns,0.00000011,,EC+B+,,,ECP,,,,,,,,,,,-21890,500,,,-4565,500,12060.0,360.5,19232,500,1059,345,8113,5,59970445,322,-27530,300,Y,2005,31-Dec-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,29,Ge,,,,,,0,,,(3/2-),44,,6,ms,0.044,0.006,EC+B+,100,,ECP,62,,,,,,,,,,-16590,424,-36221,500,-3665,361,13344.662,302.396,14331,424,1489,361,8215,5,60963725,322,-33790,300,Y,1987,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,30,Ge,,,,,,0,,,0+,129,,35,ms,0.129,0.035,EC+B+,100,,ECP,,,,,,,,,,,-17720,331,-33011,331,-2266,148,9847.022,140.001,16421,331,2294,145,8347,2,61954761,150,-42140,140,Y,1991,15-Apr-2012,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,31,Ge,,,,,,0,,,3/2-,150,,9,ms,0.15,0.009,EC+B+,100,,,,,,,,,,,,,-13421,204,-30572,302,-2130.4585,37.2675,9625.879,37.283,12853,145,2223.1702,37.2652,8418.7167,0.5914,62949628,40.000,-46921.221,37.260,N,1991,28-Aug-2008,HUO JUNDE and  YANG DONG and  HUO MEIRONG and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,32,Ge,,,,,,0,,,0+,63.7,,25,s,63.7,2.5,EC+B+,100,,ECP,,,,,,,,,,,-14783,203,-28887,200,-2565.9487,3.7661,4517.324,3.991,15465.6000,37.4456,5057.3743,3.9476,8528.8243,0.0582,63941689.912,4.000,-54315.503,3.726,N,1972,12-Nov-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,33,Ge,,,,,,0,,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,ECP,0.011,0.003,,,,,,,,,-9541.167,84.7936,-25017,203,-2554.2332,16.0459,6179.263,2.305,10234.0385,4.3091,4934.3678,2.5935,8555.0584,0.0333,64939368.136,2.323,-56478.223,2.165,N,1972,1-Aug-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,34,Ge,,,,,,0,,,0+,2.26,,5,h,8136,180,EC+B+,100,,,,,,,,,,,,,-9581.957,6.1685,-22741.3024,84.8000,-2863.8682,2.4782,2116.688,2.638,13200.1354,3.2325,6238.5253,2.5277,8625.4383,0.0364,65933862.124,2.577,-61607.041,2.401,N,1950,3-Mar-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,35,Ge,,,,,,0,,,1/2-,18.9,,3,m,1134,18,EC+B+,100,,,,,,,,,-0.849,0.012,0.92,0.09,-6086.4858,4.3418,-18719.9524,7.1374,-2885.2049,4.5678,4205.438,4.476,9137.9954,4.9416,6238.9604,4.3473,8633.0884,0.0645,66932716.999,4.636,-62673.718,4.319,N,1950,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
32,36,Ge,,,,,,0,,,0+,270.93,,13,d,23408352,11232,EC,100,,,,,,,,,1.1,0.3,,,-8084.2715,2.6320,-18462.8847,1.9278,-3399.6969,1.9837,107.255,2.359,12376.3989,4.7092,7388.6139,2.2146,8688.1371,0.0276,67928095.305,2.014,-66978.799,1.876,N,1948,1-Mar-2012,E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
