z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
33,30,As,,,,,,0,,,3/2-,43,LT,,ns,0.000000043,,P,,,,,,,,,,,,,,-16650,539,,,-2165,263,13421.221,203.441,17152,361,-1351,244,8193,3,62964036,215,-33500,200,Y,,28-Aug-2008,HUO JUNDE and  YANG DONG and  HUO MEIRONG and ,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,31,As,,,,,,0,,,,69.0,,14,ms,0.069,0.0014,EC+B+,100,,ECP,,,,,,,,,,,-12673,540,-30754,540,-2367,285,14783.503,203.034,14103,285,-100,200,8286,3,63957560,218,-39532,203,Y,1995,12-Nov-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,32,As,,,,,,0,,,,128,,16,ms,0.128,0.016,EC+B+,100,,,,,,,,,,,,,-13917,312,-28149,507,-2227.3099,92.8912,9541.167,84.794,15476,220,-89.4755,84.8478,8396.2351,1.3041,64949611,91.000,-46937.056,84.766,N,1991,1-Aug-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,33,As,,,,,,0,,,[0+],95.77,,23,ms,0.09577,0.00023,EC+B+,100,,,,,,,,,,,,,-10365,200,-27077,300,-2462.9778,5.7177,9581.957,6.168,13159.3454,84.9562,2835.8314,6.0804,8468.4034,0.0861,65944148.778,6.100,-52025.084,5.682,N,1978,3-Mar-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,34,As,,,,,,0,,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,,,,,,,,,,,,-10006.9381,67.0690,-22998,200,-2465.0484,1.3772,6086.486,4.342,12633.4666,5.6993,2269.1625,2.4412,8530.5685,0.0066,66939251.11,0.475,-56587.232,0.443,N,1980,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,35,As,,,,,,0,,,3+,151.6,,8,s,151.6,0.8,EC+B+,100,,,,,,,,,,,,,-4705.0786,1.9112,-20385.5514,67.0930,-2486.6167,2.3341,8084.272,2.632,10378.6133,1.8981,3509.7804,4.6971,8557.7457,0.0271,67936774.127,1.981,-58894.527,1.846,N,1971,1-Mar-2012,E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,36,As,,,,,,0,,,5/2-,15.2,,2,m,912,12,EC+B+,100,,,,,,,,,1.622,0.002,,,-6677.4672,32.0215,-16994.0507,32.0033,-2879.6108,32.0092,3988.493,32.026,12288.9721,32.0526,3422.3537,32.0544,8611.8214,0.4638,68932246.289,34.352,-63112.181,31.999,N,1955,31-Jul-2013,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,37,As,,,,,,0,,,4+,52.6,,3,m,3156,18,EC+B+,100,,,,,,,,,2.1104,0.0005,0.09,0.02,-2404.0737,2.1118,-15970.5771,2.0428,-3035.1605,1.7736,6228.063,1.62,9293.1099,32.0299,4522.2702,1.9205,8621.5541,0.0200,69930934.642,1.500,-64333.973,1.397,N,1950,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,38,As,,,,,,0,,,5/2-,65.30,,7,h,235080,252,EC+B+,100,,,,,,,,,1.673,0.002,-0.021,0.006,-4746.742,5.0140,-14034.6753,4.4540,-3439.0167,4.2440,2013.4,4.2,11630.6016,4.3912,4620.1916,4.0839,8663.935,0.0586,70927113.594,4.469,-67893.257,4.163,N,1939,17-Jan-2023,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
33,39,As,,,,,,0,,,2-,26.0,,1,h,93600,360,EC+B+,100,,,,,,,,,-2.161,0.0006,-0.08,0.02,-361.6194,4.5276,-13154.6115,4.9479,-3568.6697,4.3265,4356.102,4.084,8407.8695,5.8312,5612.1225,4.1637,8660.3786,0.0567,71926752.291,4.383,-68229.808,4.083,N,1939,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
