z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
34,29,Se,,,,,,0,,,,13.2,,39,ms,0.0132,0.0039,EC+B+,100,,ECP,89,11,2P,0.5,,,,,,,,,,,-2905,640,,,,,-281,583,7917,8,62981911,537,-16850,500,Y,2016,18-March-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,30,Se,,,,,,0,,,0+,,,,,,,EC+B+,100,,ECP,,,,,,,,,,,,,,,-1754,583,12672.0,539.6,18081,707,648,539,8075,8,63971165,537,-26860,500,Y,2005,12-Nov-2021,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,31,Se,,,,,,0,,,(3/2-),33,,4,ms,0.033,0.004,EC+B+,100,,ECP,100,,,,,,,,,,-16529,583,,,-1655,424,13917.056,311.746,14231,583,776,362,8170,5,64964552,322,-33020,300,Y,1993,1-Aug-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,32,Se,,,,,,0,,,0+,42,,12,ms,0.042,0.012,EC,100,,,,,,,,,,,,,-18091,447,-33241,539,-1945,244,10365.084,200.081,16712,361,2012,217,8300,3,65955276,215,-41660,200,Y,1993,3-Mar-2009,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,33,Se,,,,,,0,,,(5/2-),133,,4,ms,0.133,0.004,EC+B+,100,,ECP,0.5,0.1,,,,,,,,,-14051,307,-31082,405,-2083.989,76.7226,10006.938,67.069,12991,211,1844.1815,67.3078,8369.5344,1.0010,66949994,72.000,-46580.294,67.068,N,1991,18-March-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,34,Se,,,,,,0,,,0+,35.5,,7,s,35.5,0.7,EC+B+,100,,,,,,,,,,,,,-15398,259,-29731,300,-2298.8618,3.7588,4705.078,1.911,15680.4728,67.0694,4891.1877,0.6645,8477.0482,0.0073,67941825.236,0.532,-54189.449,0.496,N,1990,1-Mar-2012,E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,35,Se,,,,,,0,,,1/2-,27.4,,2,s,27.4,0.2,EC+B+,100,,ECP,0.052,0.008,,,,,,,,,-10175.2364,42.0293,-25715,259,-2381.4068,2.6279,6677.467,32.034,10316.5835,1.5704,4829.1579,2.3723,8503.7082,0.0216,68939414.845,1.599,-56434.714,1.490,N,1974,31-Jul-2013,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,36,Se,,,,,,0,,,0+,41.1,,3,m,2466,18,EC+B+,100,,,,,,,,,,,-0.6,0.3,-10504.2727,14.9878,-23741.7399,42.0328,-2747.7748,2.8760,2404.073,2.112,13566.5034,2.1744,6106.6893,32.0386,8576.0338,0.0226,69933515.521,1.700,-61929.900,1.584,N,1950,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,37,Se,,,,,,0,,,(5/2-),4.74,,5,m,284.4,3,EC+B+,100,,,,,,,,,,,,,-6644.0883,6.0820,-19792.2059,15.1636,-2897.7126,5.1444,4746.742,5.014,9287.9332,3.2120,6101.5126,3.1243,8586.0606,0.0394,70932209.431,3.000,-63146.515,2.794,N,1957,17-Jan-2023,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
34,38,Se,,,,,,0,,,0+,8.40,,8,d,725760,6912,EC,100,,,,,,,,,,,,,-8806.4384,2.2083,-19437.0804,5.7453,-3314.3058,2.7106,361.619,4.527,12792.9921,3.4111,7263.9031,4.5997,8644.4902,0.0272,71927140.506,2.100,-67868.189,1.956,N,1948,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
