z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
35,32,Br,,,,,,0,,,,,,,,,,P,,,,,,,,,,,,,,-16978,520,,,-1454,361,14050.294,307.405,17031,500,-1842,361,8148,4,66965078,322,-32530,300,Y,,18-Mar-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,33,Br,,,,,,0,,,,35,,5,ns,0.000000035,0.000000005,,,,,,,,,,,,,,,-13165,563,-31311,497,-1684,329,15398.449,259.0,14333,396,-500,250,8239,4,67958356,278,-38791,259,Y,1995,1-May-2022,E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,34,Br,,,,,,0,,,(5/2-),24,LT,,ns,0.000000024,,P,100,,,,,,,,,,,,,-14119,303,-28704,502,-1747.3374,94.6019,10175.236,42.029,15539,262,-640.9999,42.0000,8344.9026,0.6087,68950338.41,45.091,-46259.478,42.003,N,1988,31-Mar-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,35,Br,,,,,,0,,,0+,79.1,,8,ms,0.0791,0.0008,EC+B+,100,,,,,,,,,,,,,-10325,201,-27357,300,-1825.4591,15.9503,10504.273,14.988,13237.4672,44.5687,2279.8837,14.9782,8414.7964,0.2129,69944792.321,16.000,-51425.627,14.904,N,1978,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,36,Br,,,,,,0,,,(5/2)-,21.4,,6,s,21.4,0.6,EC+B+,100,,,,,,,,,,,,,-10175.2155,128.8452,-23473,200,-2340.1101,5.4201,6644.089,6.082,13148.1176,15.8527,1861.4979,5.6293,8481.4629,0.0761,70939342.153,5.799,-56502.426,5.402,N,1981,17-Jan-2023,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,37,Br,,,,,,0,,,1+,78.6,,24,s,78.6,2.4,EC+B+,100,,,,,,,,,0.6,0.1,,,-5121.1683,8.0761,-20805.8575,128.7726,-2592.1389,2.1111,8806.439,2.208,10630.6420,5.4983,3204.2067,2.9764,8511.3126,0.0142,71936594.606,1.100,-59061.750,1.025,N,1970,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,38,Br,,,,,,0,,,1/2-,3.4,,2,m,204,12,EC+B+,100,,,,,,,,,,,,,-7094.0287,9.4187,-17776.5225,10.4699,-2958.521,32.7018,4581.609,10.028,12655.3542,6.8187,3066.5688,7.0194,8568.0803,0.0923,72931673.441,7.237,-63645.787,6.741,N,1970,16-May-2019,BALRAJ SINGH and JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,39,Br,,,,,,0,,,(0-),25.4,,3,m,1524,18,EC+B+,100,,,,,,,,,1.82,0.012,,,-2956.3173,6.1730,-16807.7215,8.7931,-3379.1039,6.0003,6925.049,5.835,9713.6928,8.9159,4349.7363,9.4426,8583.5615,0.0789,73929910.279,6.264,-65288.161,5.835,N,1952,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,40,Br,,,,,,0,,,3/2-,96.7,,13,m,5802,78,EC+B+,100,,,,,,,,,0.76,0.18,,,-4783.388,9.1671,-14846.4936,4.7344,-3638.6787,5.9742,3062.469,4.286,11890.1764,7.2396,4182.7802,4.2849,8627.6497,0.0571,74925810.566,4.600,-69107.020,4.285,N,1948,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
35,41,Br,,,,,,0,,,1-,16.2,,2,h,58320,720,EC+B+,100,,,,,,,,,0.5477,0.0001,0.251,0.004,-1275.3724,10.1490,-14036.7647,12.3520,-4484.1859,10.1769,4962.881,9.322,9253.3767,10.2595,5408.5603,9.3221,8635.883,0.1227,75924541.574,10.007,-70289.078,9.322,N,1952,22-Dec-1994,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
