z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
36,31,Kr,,,,,,0,,,,7.4,,30,ms,0.0074,0.003,EC,63,,EC+B+,63,14,2P,37,14,,,,,,,,,,-1127,656,,,,,-729,583,7883,6,66983305,455,-15552,424,Y,2016,18-March-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,32,Kr,,,,,,0,,,0+,21.6,,33,ms,0.0216,0.0033,EC+B+,100,,ECP,89,11,,,,,,,,,,,,,-1192,707,,,18146,656,386,583,8034,7,67972489,537,-25626,500,Y,2016,18-March-2022,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,33,Kr,,,,,,0,,,(5/2-),28,,1,ms,0.028,0.001,EC+B+,100,,B+P,99,,,,,,,,,,,,,,-1546,424,14119.478,302.926,14585,583,638,396,8129,4,68965496,322,-32140,300,Y,1995,31-Mar-2015,C.D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,34,Kr,,,,,,0,,,0+,40,,6,ms,0.04,0.006,EC+B+,100,,ECP,1.3,,,,,,,,,,,,,,-1865,283,10325.627,200.555,17031,361,2130,205,8256,3,69955877,215,-41100,200,Y,1995,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,35,Kr,,,,,,0,,,(5/2)-,94.9,,4,ms,0.0949,0.0004,EC+B+,100,,ECP,3.06,0.27,,,,,,,,,-14037,420,,,-2171.8328,145.1875,10175.215,128.882,13298,238,2190.5551,129.6282,8327.131,1.8136,70950265.695,138.238,-46327.211,128.769,N,1981,17-Jan-2023,Balraj Singh and Jun Chen,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,36,Kr,4.1635,0.0060,,,,0,,,0+,17.1,,2,s,17.1,0.2,EC+B+,100,,ECP,0.000001,,,,,,,,,,-15611,500,-29722,400,-2176.0492,8.0262,5121.168,8.076,15684.6892,129.0175,4727.1267,9.6621,8429.3193,0.1113,71942092.406,8.600,-53940.582,8.011,N,1973,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,37,Kr,,,,,,0,,,(3/2)-,27.3,,10,s,27.3,1,EC+B+,100,,ECP,0.25,0.03,,,,,,,,,-10540.1468,41.3212,-26293,500,-2541.9595,6.7445,7094.029,9.419,10682.4939,10.3654,4778.9786,6.6571,8460.1847,0.0901,72939289.193,7.061,-56551.758,6.578,N,1972,16-May-2019,BALRAJ SINGH and JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,38,Kr,4.1870,0.0041,,,,0,,,0+,11.50,,11,m,690,6.6,EC+B+,100,,,,,,,,,,,,,-10415.828,3.4240,-24391.5510,40.8439,-2826.8603,2.5616,2956.317,6.172,13851.4042,6.8790,5975.0285,7.0356,8533.039,0.0272,73933084.016,2.161,-62331.844,2.013,N,1960,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,39,Kr,4.2097,0.0041,,,,0,,,5/2+,4.60,,7,m,276,4.2,EC+B+,100,,,,,,,,,-0.531,0.004,1.137,0.013,-7104.9299,8.1895,-20478.9337,8.6509,-3602.0327,8.5723,4783.388,9.167,10063.1057,8.3504,6324.4414,9.9863,8553.4399,0.1081,74930945.744,8.700,-64323.632,8.104,N,1960,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
36,40,Kr,4.2020,0.0036,,,,0,,,0+,14.8,,1,h,53280,360,EC+B+,100,,,,,,,,,,,,,-8534.6172,4.1214,-19866.3222,4.1832,-3570.433,4.4646,1275.372,10.149,12761.3923,9.0433,7195.6574,5.8708,8608.8077,0.0528,75925910.743,4.308,-69013.706,4.013,N,1954,22-Dec-1994,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
