z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
37,35,Rb,,,,,,0,,,,103,,22,ns,0.000000103,0.000000022,P,,,EC+B+,,,,,,,,,,,,,,,-1964,563,15610.582,500.064,14111,640,-708,517,8202,7,71958851,537,-38330,500,Y,2017,11-Jun-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,36,Rb,,,,,,0,,,(3/2-),81,LT,,ns,0.000000081,,P,,,EC+B+,,,,,,,,,,,-14061,403,,,-2177.0492,58.5527,10540.147,41.321,15753,502,-639.9999,40.0000,8305.0821,0.5588,72950604.506,43.794,-46011.611,40.794,N,1996,16-May-2019,BALRAJ SINGH and JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,37,Rb,,,,,,0,,,0+,64.776,,30,ms,0.064776,0.00003,EC+B+,100,,,,,,,,,,,,,-11089,100,-28037,401,-2915.3049,15.2082,10415.828,3.635,13975.7229,40.9064,2653.2291,7.2409,8381.7123,0.0409,73944265.867,3.249,-51916.016,3.027,N,1977,30-Apr-2006,BALRAJ SINGH and  AMEENAH R. FARHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,38,Rb,,,,,,0,,,3/2(-),19.0,,12,s,19,1.2,EC+B+,100,,,,,,,,,0.579,0.001,0.81,0.04,-10600,220.0000,-24463,100,-3141.1912,5.5294,7104.93,8.18,13374.0038,3.2490,2175.8288,2.3338,8448.2762,0.0157,74938573.2,1.266,-57218.702,1.180,N,1975,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,39,Rb,4.2273,0.0070,,,,0,,,1(-),36.5,,6,s,36.5,0.6,EC+B+,100,,ECA,0.00000038,0.0000001,,,,,-0.372552,0.000011,0.41,0.09,-6231.4432,34.4780,-21931.7049,220.0052,-3842.2541,1.3890,8534.617,4.121,11331.7049,1.5074,3444.4281,8.1581,8486.2161,0.0123,75935073.031,1.006,-60479.089,0.938,N,1969,22-Dec-1994,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,40,Rb,4.2356,0.0080,,,,0,,,3/2-,3.78,,4,m,226.8,2.4,EC+B+,100,,,,,,,,,0.65434,0.00002,0.84,0.17,-7027.0566,8.0244,-18654.1724,34.4899,-3609.6291,6.8663,5338.951,2.351,12422.7292,1.6063,3105.7650,4.2198,8537.3396,0.0169,76930401.599,1.400,-64830.500,1.304,N,1972,30-SEP-2020,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,41,Rb,4.2385,0.0083,,,,0,,,0(+),17.66,,3,m,1059.6,1.8,EC+B+,100,,,,,,,,,2.548,0.001,1.07,0.03,-3761.4779,8.1248,-17203.3021,8.5540,-4072.1818,6.6733,7242.856,3.252,10176.2455,3.4902,4054.9469,3.7825,8558.3512,0.0415,77928141.866,3.475,-66935.427,3.237,N,1968,30-Jun-2009,AMEENAH R. FARHAN and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,42,Rb,4.2284,0.0065,,,,0,,,5/2+,22.9,,5,m,1374,30,EC+B+,100,,,,,,,,,3.3573,0.0012,-0.12,0.04,-5323.114,7.5630,-15700.1468,7.7010,-4120.6745,4.7047,3639.512,3.986,11938.6690,3.7756,3913.4660,1.9662,8601.1401,0.0246,78923990.095,2.085,-70802.778,1.943,N,1957,31-May-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,43,Rb,4.2271,0.0061,,,,0,,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,,,,,,,,-0.0833,0.0007,0.42,0.08,-1864.009,3.9331,-14767.1303,7.6516,-4311.314,9.5062,5717.979,1.988,9444.0163,2.6916,5022.1579,3.9477,8611.676,0.0233,79922516.442,2.000,-72175.476,1.863,N,1961,22-Jun-2005,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
37,44,Rb,4.2213,0.0051,,,,0,,,3/2-,4.572,,4,h,16459.2,14.4,EC+B+,100,,,,,,,,,2.0591,0.0014,0.48,0.1,-3928.5695,5.8170,-13216.5543,6.0043,-4646.8018,5.6526,2239.495,5.02,11352.5453,5.2462,4852.2198,4.9298,8645.5139,0.0605,80918993.9,5.265,-75456.704,4.904,N,1949,15-Aug-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
