z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
38,35,Sr,,,,,,0,,,,25,AP,,ms,0.025,,EC+B+,100,,ECP,,,,,,,,,,,,,,,-2235,500,14061.611,403.07,,,909,641,8102,5,72965700,430,-31950,401,Y,1993,16-May-2019,BALRAJ SINGH and JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,36,Sr,,,,,,0,,,0+,27,,8,ms,0.027,0.008,EC+B+,100,,ECP,,,,,,,,,,,,,,,-2152,224,11089.016,100.046,16948,413,2105,108,8221,1,73956170,107,-40827,100,Y,1995,10-FEB-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,37,Sr,,,,,,0,,,(3/2-),88,,3,ms,0.088,0.003,EC+B+,100,,ECP,5.2,0.9,,,,,,,,,-14799,372,,,-2716.4067,254.9171,10600.0,220.0,13863,242,1991.6568,220.0240,8296.5116,2.9334,74949952.767,236.183,-46618.702,220.003,N,1991,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,38,Sr,,,,,,0,,,0+,7.89,,7,s,7.89,0.07,EC+B+,100,,ECP,0.000034,0.000008,,,,,,,,,-15998,302,-30499,302,-2731.9792,35.3840,6231.444,34.478,15700.2618,222.6864,4317.9148,34.4855,8393.9294,0.4535,75941762.76,37.000,-54247.645,34.465,N,1990,28-FEB-2011,BALRAJ SINGH AND AMEENAH FARHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,39,Sr,4.2569,0.0044,,,,0,,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,ECP,0.08,0.03,,,,,-0.348,0.004,1.27,0.05,-11365,203,-27625,300,-3676.6012,10.2935,7027.057,8.025,11627.1158,35.3631,4613.3256,7.9730,8435.9188,0.1028,76937945.454,8.500,-57803.443,7.918,N,1976,30-SEP-2020,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,40,Sr,4.2561,0.0040,,,,0,,,0+,160,,8,s,160,8,EC+B+,100,,,,,,,,,,,,,-11001,298,-24807,203,-3267.0212,7.7192,3761.478,8.125,13441.8243,10.8730,5632.4206,7.5652,8500.0971,0.0955,77932179.979,8.000,-63173.949,7.452,N,1982,30-Jun-2009,AMEENAH R. FARHAN and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,41,Sr,4.2586,0.0039,,,,0,,,3/2(-),2.25,,10,m,135,6,EC+B+,100,,,,,,,,,-0.474,0.004,0.661,0.006,-7676.7291,80.4515,-21378,298,-3580.9484,10.9887,5323.114,7.671,10377.0328,10.5171,5833.2079,8.0968,8523.8558,0.0939,78929704.692,7.967,-65479.664,7.421,N,1972,31-May-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,42,Sr,4.2562,0.0037,,,,0,,,0+,106.3,,15,m,6378,90,EC+B+,100,,,,,,,,,,,,,-9163.305,7.1389,-20579.8504,80.1833,-3722.6774,5.3014,1864.009,3.933,12903.1213,8.1900,6797.6603,3.9715,8578.5966,0.0433,79924517.538,3.718,-70311.467,3.464,N,1961,22-Jun-2005,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,43,Sr,4.2547,0.0034,,,,0,,,1/2-,22.3,,4,m,1338,24,EC+B+,100,,,,,,,,,0.543,0.004,,,-5815.2156,6.2451,-18451.2898,6.9821,-3783.5986,3.6894,3928.57,5.81,9287.9848,4.6673,6641.6288,3.6409,8587.3545,0.0386,80923211.393,3.358,-71528.134,3.128,N,1952,15-Aug-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
38,44,Sr,4.2478,0.0030,,,,0,,,0+,25.35,,3,d,2190240,2592,EC,100,,,,,,,,,2.1,1.6,,,-7945.965,8.1324,-18368.4618,8.0695,-4256.695,5.9996,177.751,6.705,12553.2462,6.7592,7842.3297,7.7430,8635.719,0.0731,81918399.845,6.432,-76010.062,5.992,N,1952,1-Mar-2019,J. K. TULI and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
