z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
40,37,Zr,,,,,,0,,,,,,,,,,EC+B+,,,ECP,,,2P,,,,,,,,,,,,-2075,566,14839.0,448.5,,,639,500,8075,5,76966076,429,-31600,400,Y,2017,30-SEP-2020,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,38,Zr,,,,,,0,,,0+,170,GT,,ns,0.00000017,,EC+B+,,,,,,,,,,,,,,,,,,-2447,412,11323.0,498.8,17321,565,1700,448,8194,5,77956146,429,-40850,400,Y,2001,30-Jun-2009,AMEENAH R. FARHAN and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,39,Zr,,,,,,0,,,,56,,30,ms,0.056,0.03,EC+B+,100,,ECP,,,,,,,,,,,-15120,583,,,-2577,372,11032.935,310.511,13992,500,1886,423,8267,4,78949790,322,-46770,300,Y,1999,31-May-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,40,Zr,,,,,,0,,,0+,4.6,,6,s,4.6,0.6,EC+B+,100,,ECP,,,,,,,,,,,-16339,500,-31181,583,-2937,302,6388.162,300.065,16061,424,4246,310,8365,4,79941213,322,-54760,300,Y,1987,22-Jun-2005,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,41,Zr,,,,,,0,,,(3/2-),5.5,,4,s,5.5,0.4,EC+B+,100,,ECP,0.12,0.02,,,,,,,,,-11164,410,-27175,410,-2145.8909,92.5572,8188.501,92.376,10836,314,3665.2269,92.4289,8395.1519,1.1385,80938245,99.000,-57524.418,92.218,N,1997,15-Aug-2008,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,42,Zr,,,,,,0,,,0+,32,,5,s,32,5,EC+B+,100,,,,,,,,,,,,,-11804,300,-25325,400,-2865.0297,7.6183,4450.034,5.723,14160.9630,92.2315,5190.1157,5.6324,8465.4666,0.0193,81931707.497,1.700,-63614.063,1.584,N,1982,1-Mar-2019,J. K. TULI and  E. BROWNE,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,43,Zr,,,,,,0,,,(1/2-),42,,2,s,42,2,EC+B+,100,,ECP,,,,,,,,,,,-8298.7493,162.2075,-22173,300,-2856.9112,9.8193,6294.013,19.709,10368.9143,6.6218,5136.5332,8.4566,8488.3997,0.0775,82929240.926,6.902,-65911.659,6.430,N,1974,31-Dec-2014,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,44,Zr,,,,,,0,,,0+,25.8,,5,m,1548,30,EC+B+,100,,,,,,,,,,,,,-10227.8497,5.5133,-21880.0999,162.1732,-3535.1406,6.4988,2472.747,6.98,13581.3507,8.4566,6504.9912,19.4236,8549.0301,0.0655,83923325.663,5.903,-71421.692,5.499,N,1977,30-Sep-2009,T. Kibedi and J. Timar,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,45,Zr,,,,,,0,,,(7/2+),7.86,,4,m,471.6,2.4,EC+B+,100,,,,,,,,,,,,,-6895.512,7.6250,-20052.6717,6.4423,-4071.9778,7.1504,4666.935,20.025,9824.8220,8.4566,6569.7279,7.7318,8564.0394,0.0756,84921443.199,6.902,-73175.196,6.430,N,1963,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
40,46,Zr,,,,,,0,,,0+,16.5,,1,h,59400,360,EC+B+,100,,,,,,,,,,,,,-8834.9627,6.5521,-19760.6574,5.4325,-4383.877,6.9725,1314.077,14.585,12865.1454,7.3510,7415.8632,19.2977,8614.0523,0.0415,85916296.814,3.827,-77969.023,3.566,N,1951,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
