z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
81,95,Tl,,,,,,0,,,(3- 4- 5-),5.2,,+30-14,ms,0.0052,0.0022,P,100,,,,,,,,,,,,,,,,,7477.8231,100.2616,12369.367,83.799,,,-1265.1999,18.0000,7707.9383,0.4719,176000627.731,89.166,584.728,83.058,N,2004,08-SEP-2009,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,96,Tl,,,,,,0,,,(1/2+),18,,5,ms,0.018,0.005,A,73,13,P,27,13,,,,,,,,,,,,,7066.9981,7.1622,9435.72,87.43,11996.1492,85.8281,-1155.5646,19.4247,7732.1655,0.1222,176996414.252,23.218,-3340.103,21.628,N,1999,30-Aug-2019,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,97,Tl,,,,,,0,,,,254,,+11-9,ms,0.254,0.01,A,53,,EC+B+,47,,,,,,,,,,-8187,103,,,7020.0433,10.2303,11702.346,102.566,9344,104,-874,133,7741,1,177995047,110,-4613,102,Y,1997,31-May-2008,E. Achterberg and  O.A. Capurro and  G.V. Marti,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,98,Tl,,,,,,0,,,(1/2+),0.23,,4,s,0.23,0.04,A,100,,EC+B+,,,P,,,,1.631,0.016,,,-10321.2401,89.9571,-19914.3210,45.0728,6709.1387,2.6356,8663.292,47.8,11728,109,-756.7428,40.1220,7763.4942,0.2159,178991122.185,41.495,-8269.632,38.653,N,1983,15-Nov-2008,Coral M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,99,Tl,,,,,,0,,,(5-),1.09,,1,s,1.09,0.01,EC+B+,94,4,A,6,4,ECSF,0.0032,0.0002,,-0.56,0.02,,,-7449.3696,71.0069,-19513.3646,107.1755,6705.6128,61.5396,10860.075,71.051,9192.1244,79.8899,-253.5144,75.3599,7771.431,0.3884,179989918.95,75.058,-9390.438,69.917,N,1987,1-Feb-2015,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,100,Tl,,,,,,0,,,(1/2+),3.2,,3,s,3.2,0.3,A,10,,,,,,,,,1.632,0.014,,,-9688.1182,85.5227,-18928.9986,15.3780,6322.0712,4.4906,7862.378,17.873,11479.6290,70.5067,-162.7930,13.7008,7791.9183,0.0503,180986259.978,9.771,-12798.749,9.102,N,1996,23-Dec-2009,J. K. Tuli,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,101,Tl,,,,,,0,,,(7+),3.1,,10,s,3.1,1,EC+B+,97.5,2.5,A,5,,,,,,0.54,0.1,,,-6502.6567,17.0151,-18287.9002,85.8761,6550.8999,6.2000,10249.672,15.468,8599.7820,15.0426,-44.9430,19.4948,7796.3571,0.0658,181985692.649,12.856,-13327.213,11.976,N,1991,15-Jul-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,102,Tl,,,,,,0,,,(1/2+),6.9,,7,s,6.9,0.7,EC+B+,0,,A,,,,,,,3.61,0.06,,,-9007.2534,30.4442,-17834.0229,15.2696,5976.3946,9.1607,7217.394,11.715,11331.3663,15.1824,299.3471,13.5251,7815.6741,0.0510,182982192.843,10.017,-16587.261,9.331,N,1980,15-Apr-2015,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,103,Tl,,,,,,0,,,,10.1,,5,s,10.1,0.5,EC+B+,97.9,0.7,A,2.1,0.7,,,,,0.43,0.02,,,-5831.7688,16.2517,-17374.6652,30.6595,6317.3754,9.2648,9461.432,13.826,8367.4118,13.6860,367.6707,12.2643,7818.6727,0.0544,183981874.973,10.747,-16883.355,10.012,N,1976,1-Oct-2009,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,104,Tl,,,,,,0,,,(1/2+),19.5,,5,s,19.5,0.5,EC+B+,,,,,,,,,,1.6,0.04,,,-8216.5333,26.2493,-16777.4765,24.3166,5688.4793,5.3263,6425.906,24.768,10945.7077,22.9704,701.9286,22.7666,7835.5756,0.1118,184978789.189,22.194,-19757.745,20.674,N,1976,1-Nov-2005,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,105,Tl,,,,,,0,,,(2-),3.4,,+5-4,s,3.4,0.45,A,,,,,,,,,,,,,,-5202.0427,23.4877,-16413.0466,26.3097,5996.1199,25.9456,8656.119,23.798,8196.5133,29.2915,988.2601,24.8314,7837.5161,0.1116,185978654.787,22.276,-19882.940,20.751,N,1975,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,106,Tl,,,,,,0,,,(1/2+),51,AP,,s,51,,EC+B+,100,,A,0.03,,,,,,1.54,0.06,,,-7457.637,9.5248,-15835.0129,13.6332,5321.9796,7.1424,5673.917,15.174,10632.9702,22.2567,1194.5043,14.1601,7852.465,0.0430,186975904.74,8.640,-22444.592,8.048,N,1976,1-Nov-2008,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,107,Tl,5.4017,0.0072,,,,0,,,(2-),71,,2,s,71,2,EC+B+,100,,,,,,,,,0.481,0.008,,,-4525.3784,31.5712,-15420.7657,30.3346,5557.3954,37.2881,7861.948,30.665,7963.1287,30.9680,1506.8648,32.5536,7853.0537,0.1591,187976020.886,32.103,-22336.403,29.904,N,1970,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,108,Tl,,,,,,0,,,(1/2+),2.3,,2,m,138,12,EC+B+,100,,,,,,,,,,,,,-6772.0862,16.3636,-14876.3991,13.1347,4817.1285,8.7647,5010.273,32.644,10351.0207,31.0525,1706.7253,10.7739,7866.2704,0.0443,188973573.525,8.983,-24616.105,8.368,N,1972,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,109,Tl,5.4121,0.0056,,,,0,,,2-,2.6,,3,m,156,18,EC+B+,100,,,,,,,,,0.253,0.002,,,-3949.6288,14.4634,-14593.5346,15.8220,4923.7044,22.1858,7004.389,17.482,7821.4484,11.0726,2028.8287,32.3753,7866.0345,0.0382,189973841.771,7.784,-24366.236,7.252,N,1970,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,110,Tl,5.4169,0.0048,,,,0,,,(1/2+),,,,,,,,,,,,,,,,,1.582,0.004,,,-5991.7073,9.8864,-13937.6619,14.5124,4320.9137,23.6688,4308.898,23.461,9988.0331,10.3244,2201.2968,17.5225,7877.1445,0.0385,190971784.093,7.889,-26282.951,7.349,N,1974,1-Dec-2006,V.R. Vanin et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,111,Tl,5.4191,0.0051,,,,0,,,(2-),9.6,,4,m,576,24,EC+B+,100,,,,,,,,,0.199,0.003,,,-3320.4029,32.1843,-13652.3233,32.3539,4074.1501,31.7858,6139.232,35.277,7660.6160,32.5123,2569.3709,38.7227,7876.0167,0.1650,191972225,34.000,-25872.249,31.671,N,1961,15-Jun-2012,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,112,Tl,5.4243,0.0042,,,,0,,,1/2(+),21.6,,8,m,1296,48,EC+B+,100,,,,,,,,,1.585,0.003,-2.2,0.02,-5247.9637,12.2808,-12996.6907,8.8188,3679.8238,21.1716,3584.947,16.893,9676.2878,32.3731,2754.7085,16.9229,7885.3445,0.0348,192970501.994,7.200,-27477.218,6.707,N,1960,31-Mar-2017,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
81,113,Tl,5.4259,0.0046,,,,0,,,2-,33.0,,5,m,1980,30,EC+B+,100,,A,0.0000001,,,,,,0.139,0.003,-0.282,0.007,-2729.6315,22.3433,-12779.5610,17.3513,3471.1265,14.3912,5246.454,14.267,7531.5972,15.4987,3164.3036,20.8721,7883.5211,0.0720,193971081.408,15.000,-26937.498,13.972,N,1960,3-Sep-2021,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
