z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
82,96,Pb,,,,,,0,,,0+,0.12,,+22-5,ms,0.00012,0.000135,A,100,,,,,,,,,,,,,,,,,7789.4724,12.9788,8186.371,104.602,,,375.4970,31.7032,7690.8359,0.1302,178003836.171,24.889,3573.371,23.184,N,2001,31-May-2008,E. Achterberg and  O.A. Capurro and  G.V. Marti,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,97,Pb,,,,,,0,,,(9/2-),3.5,,+14-8,ms,0.0035,0.0011,A,100,,,,,,,,,,,,,,,,,7596.1352,4.8507,10321.24,89.95,9593.0809,84.4733,624,131,7701.463,0.4538,179002202.492,87.203,2051.608,81.229,N,2010,25-Feb-2010,F.G. Kondev,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,98,Pb,,,,,,0,,,0+,4.1,,3,ms,0.0041,0.0003,A,100,,,,,,,,,,,,,,,,,7418.6542,5.4785,7449.369,71.007,12063.9949,82.1697,960.4078,40.5917,7725.6993,0.0689,179997916.177,13.306,-1941.069,12.395,N,1996,1-Feb-2015,E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,99,Pb,,,,,X,0,,,(13/2+),45,,20,ms,0.045,0.02,A,100,,,,,,,,,,,,,,,,,7240.276,7.3138,9688.118,85.523,9240.8804,85.9305,1009.1638,110.0892,7734.0704,0.4698,180996660.6,91.290,-3110.631,85.037,N,1989,31-Aug-2005,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,100,Pb,5.3788,0.0035,,,,0,,,0+,55,,5,ms,0.055,0.005,A,98,,EC+B+,2,,,,,,,,,,,,,,7065.8734,5.5095,6502.657,17.015,11785.2436,85.8910,1314.7783,15.1305,7756.3296,0.0664,181992673.537,12.975,-6824.556,12.086,N,1986,15-Jul-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,101,Pb,5.3869,0.0030,,,,0,,,(3/2-),535,,30,ms,0.535,0.03,A,90,,,,,,,,,-1.154,0.005,,,,,,,6927.9999,7.0000,9007.253,30.444,8826.7695,31.3983,1541.7659,31.3561,7762.179,0.1584,182991862.527,31.110,-7580.008,28.979,N,1980,15-Apr-2015,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,102,Pb,5.3930,0.0029,,,,0,,,0+,490,,25,ms,0.49,0.025,A,80,15,EC+B+,20,15,,,,,,,,,-12306,123,,,6774.0111,3.1263,5831.769,16.252,11542.8964,31.6715,1753.2960,15.8419,7782.7264,0.0696,183988135.634,13.743,-11051.586,12.802,N,1980,1-Oct-2009,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,103,Pb,5.3984,0.0028,,,,0,,,3/2-,6.3,,4,s,6.3,0.4,A,34,25,EC+B+,,,,,,,-1.137,0.005,,,-9305,83,-20867,123,6694.9999,5.0000,8216.534,26.25,8560.9432,20.6247,1946.8274,19.0223,7786.933,0.0874,184987610,17.364,-11541.211,16.175,N,1975,1-Nov-2005,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,104,Pb,5.4027,0.0027,,,,0,,,0+,4.81,,3,s,4.81,0.03,EC+B+,60,8,A,40,8,,,,,,,,,-11535.3999,20.2118,-20516,82,6471.0721,5.0236,5202.043,23.488,11211.0039,19.5580,2212.1237,23.4201,7805.342,0.0592,185984239.409,11.813,-14680.897,11.004,N,1972,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,105,Pb,5.4079,0.0026,,,,0,,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,A,9.5,2,,,,,-1.122,0.003,,,-8603.6798,11.2268,-19912.7759,17.7024,6392.7844,6.1913,7457.637,9.525,8377.3759,12.1202,2392.9863,21.3666,7808.401,0.0272,186983910.842,5.468,-14986.955,5.094,N,1972,1-Nov-2008,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,106,Pb,5.4139,0.0025,,,,0,,,0+,25.5,,1,s,25.5,0.1,EC+B+,91.5,0.5,A,8.5,0.5,,,,,-0.3,0.06,,,-10616.2241,15.0824,-19499.0671,14.2336,6108.8469,3.4046,4525.379,31.571,10895.3873,11.3275,2655.4034,12.9336,7824.8211,0.0539,187980879.079,10.868,-17811.024,10.124,N,1972,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,107,Pb,5.4177,0.0024,,,,0,,,(3/2-),39,,8,s,39,8,EC+B+,100,,A,0.4,,,,,,-1.077,0.009,,,-7779.3555,25.1498,-18720.5370,17.9646,5914.7158,4.3142,6772.086,16.363,8104.3129,17.3195,2796.5875,33.0453,7826.2999,0.0744,188980843.658,15.096,-17844.019,14.062,N,1972,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,108,Pb,5.4222,0.0023,,,,0,,,0+,71,,1,s,71,1,EC+B+,99.6,0.04,A,0.4,0.04,,,,,,,,,-9820.7014,24.4226,-18423.2612,24.3180,5697.5361,4.5685,3949.629,14.463,10643.9057,18.8163,3089.4725,15.0539,7841.1294,0.0659,189978081.872,13.434,-20416.607,12.514,N,1972,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,109,Pb,5.4229,0.0026,,,,0,,,(3/2-),1.33,,8,m,79.8,4.8,EC+B+,99.987,0.005,A,0.013,0.005,,,,,-1.167,0.007,0.085,0.005,-7051.8922,9.9895,-17766.6560,21.9908,5402.3497,14.4647,5991.708,9.886,7945.9547,14.1540,3213.9788,9.8143,7841.6782,0.0346,190978216.455,7.099,-20291.243,6.613,N,1974,1-Dec-2006,V.R. Vanin et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,110,Pb,5.4300,0.0025,,,,0,,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,A,0.0059,0.0007,,,,,,,,,-9017.3089,30.6518,-17383.8127,9.4259,5221.5895,4.7900,3320.403,32.184,10331.9204,8.7478,3557.8662,9.3166,7854.6482,0.0298,191975789.598,6.147,-22551.846,5.726,N,1974,15-Jun-2012,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,111,Pb,5.4310,0.0023,,,,0,,,(3/2-),,,,,,,EC+B+,,,,,,,,,,-1.146,0.007,,,-6344.6913,12.7761,-16766.0359,31.8211,4972.2075,33.1875,5247.963,12.281,7748.7270,11.7741,3645.9771,33.2998,7854.0994,0.0533,192976135.914,11.044,-22229.255,10.288,N,1974,31-Mar-2017,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,112,Pb,5.4372,0.0023,,,,0,,,0+,10.7,,6,m,642,36,EC+B+,100,,A,0.0000073,0.0000029,,,,,-0.38,0.14,0.49,0.03,-8184.8462,18.2094,-16394.6207,19.0102,4737.843,16.7225,2729.632,22.343,10049.9294,20.2444,4019.6187,18.6809,7865.4181,0.0899,193974011.788,18.717,-24207.866,17.435,N,1960,3-Sep-2021,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,113,Pb,5.4389,0.0045,,,,0,,,3/2-,15,AP,,m,900,,EC+B+,100,,,,,,,,,-1.124,0.007,0.306,0.015,-5712.4729,7.3370,-15786.3376,7.3123,4428.8935,22.8527,4417.253,12.234,7601.4914,18.1607,4089.5129,14.8699,7864.0647,0.0261,194974516.167,5.461,-23738.039,5.088,N,1957,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
82,114,Pb,5.4444,0.0024,,,,0,,,0+,37,,3,m,2220,180,EC+B+,100,,A,0.00003,,,,,,-1.92,0.02,0.65,0.05,-7339.202,25.6160,-15393.9859,9.3485,4238.3307,17.2767,2148.364,14.355,9681.5131,9.2336,4481.9136,13.5200,7873.3374,0.0393,195972787.552,8.277,-25348.234,7.710,N,1957,1-Jan-2006,Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
