z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
83,101,Bi,,,,,X,0,,150,,13,,2,ms,0.013,0.002,A,100,,,,,,,,,,,,,,,,,8220,100,12305.586,122.67,,,-1546,125,7712,1,184001347,131,1254,122,Y,2003,1-Oct-2009,CORAL M. BAGLIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,102,Bi,,,,,,0,,,1/2+,58,,4,us,0.000058,0.000004,P,90,2,A,10,2,,,,,,,,,,,,,8138,81,9305.211,82.599,11562,147,-1527,81,7732,0,184997600,87,-2236,81,Y,1996,1-Nov-2005,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,103,Bi,,,,,,0,,,(3+),14.8,,8,ms,0.0148,0.0008,A,95.5,,EC+B+,4.5,,SF+EC+B+,0.02,,,,,,,-7247.0279,24.9305,,,7756.7999,12.0000,11535.4,20.2,8981,83,-1106.7430,23.4317,7739.1175,0.0911,185996623.169,18.200,-3145.497,16.954,N,1997,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,104,Bi,,,,,,0,,,(9/2-),37,,2,ms,0.037,0.002,A,100,,,,,,,,,,,,,-9207.0832,34.1302,-18556.1240,20.8373,7779.0701,3.6197,8603.68,11.22,11309.0961,19.6856,-1008.6509,14.8722,7758.2083,0.0535,186993147.272,10.740,-6383.275,10.005,N,1999,1-Nov-2008,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,105,Bi,,,,,,0,,,(3+),60,,3,ms,0.06,0.003,A,100,,,,,,,,,,,,,-6650.4226,22.8861,-18089.9263,34.4928,7263.6388,4.9747,10616.224,15.082,8882.8431,15.0024,-503.1838,12.2851,7764.1904,0.0595,187992276.064,12.001,-7194.800,11.179,N,1980,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,106,Bi,,,,,,0,,,(9/2-),688,,5,ms,0.688,0.005,A,100,,,,,,,,,3.7,0.3,,,-8642.6682,30.3542,-17591.6042,28.8714,7268.165,2.7117,7779.355,25.15,10941.1815,23.6588,-457.3896,23.1790,7780.9999,0.1103,188989195.139,22.384,-10064.664,20.851,N,1973,31-AUG-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,107,Bi,,,,,,0,,,(3+),6.3,,1,s,6.3,0.1,A,90,,EC+B+,10,,SF+EC+B+,0.000023,,,3.85,0.09,,,-6033.1975,24.7615,-17245.2280,30.4381,6862.1185,3.0460,9820.701,24.423,8602.5599,29.5741,40.8574,25.2510,7785.3239,0.1104,189988624.828,22.515,-10595.906,20.973,N,1972,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,108,Bi,,,,,,0,,,(9/2-),12.4,,3,s,12.4,0.3,A,51,10,EC+B+,49,10,,,,,3.66,0.05,,,-8170.6205,10.3201,-16747.9612,15.1434,6780.325,3.0414,7051.892,9.989,10714.7638,22.2692,111.7154,14.5829,7800.6613,0.0392,190985786.972,8.037,-13239.351,7.487,N,1972,29-FEB-2016,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,109,Bi,,,,,,0,,,(3+),34.6,,9,s,34.6,0.9,EC+B+,88,5,A,12,5,,,,,4.16,0.17,,,-5468.0534,31.9348,-16537.1242,30.9385,6376.9499,3.5355,9017.309,30.652,8366.5038,31.0290,532.2645,30.8298,7803.6084,0.1568,191985470.077,32.326,-13534.537,30.112,N,1971,15-Jun-2012,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
83,110,Bi,,,,,,0,,,(9/2-),63.6,,30,s,63.6,3,EC+B+,96.5,1.5,A,3.5,1.5,,,,,3.72,0.1,-2.3,0.5,-7559.2614,16.3874,-15889.3980,13.0568,6306.6261,4.9036,6344.692,12.776,10421.3446,31.0505,621.6887,9.4964,7817.1718,0.0393,192982947.22,8.132,-15884.563,7.576,N,1971,31-Mar-2017,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
