z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
84,102,Po,,,,,,0,,,0+,28,,+16-6,us,0.000028,0.000011,A,100,,,,,,,,,,,,,,,,,8501.1712,13.7119,7247.028,24.93,,,952,83,7695.9488,0.0983,186004403.174,19.622,4101.531,18.278,N,2005,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,103,Po,,,,,,0,,,(1/2- 5/2-),1.40,,25,ms,0.0014,0.00025,A,100,,,,,,,,,,,,,,,,,7978.8999,15.0000,9207.083,34.13,9349.0408,37.4015,1319.6659,36.7723,7704.7889,0.1745,187003031.482,35.030,2823.808,32.631,N,2005,1-Nov-2008,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,104,Po,,,,,,0,,,0+,0.27,,3,ms,0.00027,0.00003,A,100,,,,,,,,,,,,,,,,,8082.2927,15.3267,6650.422,22.886,11439.5036,38.2491,1450.0734,22.3359,7724.6544,0.1062,187999415.586,21.438,-544.378,19.970,N,1999,1-Feb-2018,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,105,Po,,,,,,0,,,(5/2-),3.5,,5,ms,0.0035,0.0005,A,100,,,,,,,,,,,,,,,,,7694.2999,15.0000,8642.668,30.354,8948.9360,29.7538,1516.1663,24.7305,7731.1321,0.1167,188998473.425,23.681,-1421.996,22.059,N,1999,31-Aug-2021,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,106,Po,,,,,,0,,,0+,2.45,,5,ms,0.00245,0.00005,A,100,,,,,,,,,,,,,,,,,7693.2733,7.2234,6033.198,24.761,11212.0306,25.6845,1787.0154,24.6583,7749.4526,0.0693,189995101.731,14.131,-4562.708,13.163,N,1996,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,107,Po,,,,,,0,,,(3/2-),22,,1,ms,0.022,0.001,A,99,1,,,,,,,,,,,,-8932.644,17.5997,,,7493.3085,4.9498,8170.62,10.32,8577.3408,14.9525,1761.7963,22.1429,7753.7871,0.0372,190994558.494,7.624,-5068.731,7.103,N,1993,1-Dec-2006,V.R. Vanin et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,108,Po,5.5220,0.0178,,,,0,,,0+,32.2,,3,ms,0.0322,0.0003,A,99.5,,EC+B+,0.5,,,,,,,,,,-10992.2252,29.8328,-20001.7148,19.2975,7319.625,3.2536,5468.054,31.935,11069.0708,12.7827,2116.1033,13.0056,7771.0542,0.0554,191991340.274,11.416,-8066.483,10.634,N,1977,15-Jun-2012,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,109,Po,,,,,,0,,,(3/2-),399,,34,ms,0.399,0.034,A,100,,,,,,,,,,,-1.3,0.3,-8257.9789,26.0594,-19322.3619,31.4335,7093.8012,3.6617,7559.261,16.387,8330.1367,17.9989,2079.7363,33.4350,7773.951,0.0753,192991062.421,15.599,-8325.302,14.531,N,1967,31-Mar-2017,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,110,Po,5.5167,0.0178,,,,0,,,0+,0.392,,4,s,0.392,0.004,A,93,7,EC+B+,7,7,,,,,,,,,-10288.1273,26.8153,-19008.6119,25.1919,6987.074,3.1772,5018.403,13.938,10750.6329,19.4308,2409.0246,14.9696,7789.2947,0.0666,193988186.058,13.860,-11004.617,12.911,N,1967,3-Sep-2021,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
84,111,Po,,,,,,0,,,(3/2-),4.64,,9,s,4.64,0.09,A,94,4,EC+B+,6,4,,,,,-0.6,0.04,-0.9,0.3,-7646.3554,11.3199,-18471.4829,24.2666,6749.673,2.7855,6908.912,8.029,8183.3556,14.2550,2382.6057,8.0058,7791.3155,0.0310,194988065.781,6.486,-11116.655,6.042,N,1967,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
