z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
85,106,At,,,,,,0,,,(1/2+),1.7,,+11-5,ms,0.0017,0.0008,A,100,,,,,,,,,,,,,,,,,7822.2726,13.6136,8932.644,17.6,,,-1137.6502,20.7983,7702.9233,0.0843,191004148.081,17.287,3863.913,16.103,N,2003,1-Dec-2006,V.R. Vanin et al.,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,107,At,,,,,X,0,,40,(9- 10-),88,,6,ms,0.088,0.006,A,100,,,,,,,,,,,,,,,,,7695.6261,25.5329,10992.225,29.833,9009.4896,32.1903,-705.5014,28.7638,7709.7283,0.1452,192003140.912,29.922,2925.742,27.873,N,2006,15-Jun-2012,Coral M. Baglin,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,108,At,,,,,,0,,,(1/2+),28,,+5-4,ms,0.028,0.0045,A,100,,,,,,,,,,,,,-9110.2435,33.1444,,,7572.4246,6.9193,8257.979,26.059,11064.3830,35.2823,-710.1892,24.1044,7727.1099,0.1121,192999927.725,23.222,-67.323,21.632,N,2003,31-Mar-2017,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,109,At,,,,,X,0,,0,(4- 5-),286,,7,ms,0.286,0.007,A,100,,SF+EC+B+,0.8,,EC+B+,,,,,,,,-6441.1134,28.8079,-17830.7280,34.3945,7454.4999,10.6066,10288.127,26.815,8720.4846,31.9421,-319.8413,27.6319,7732.2304,0.1211,193999230.816,25.230,-716.490,23.502,N,2009,3-Sep-2021,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,110,At,,,,,,0,,,(1/2+),290,,20,ms,0.29,0.02,A,100,,,,,,,,,,,,,-8520.5842,52.5650,-17266.2409,19.2136,7344.1362,6.0089,7646.356,11.32,10825.1275,25.3771,-245.3468,16.0727,7748.0914,0.0491,194996274.48,10.276,-3470.299,9.573,N,1999,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,111,At,,,,,,0,,,(3+),0.388,,7,s,0.388,0.007,A,95.1,,EC+B+,4.9,,,,,,3.72,0.14,-0.6,0.4,-5888.3439,33.3417,-17034.7780,59.8800,7196.4462,2.7244,9555.556,30.71,8514.1938,31.7143,85.4914,30.8330,7752.0001,0.1543,195995799.034,32.458,-3913.175,30.235,N,1967,1-Jan-2006,Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,112,At,,,,,,0,,,(9/2-),0.388,,6,s,0.388,0.006,A,96.1,1.2,EC+B+,3.9,1.2,,,,,,,-1.2,0.6,-7865.6231,18.0538,-16401.7419,16.1627,7104.3928,3.0737,7037.823,12.687,10513.3980,31.2713,175.4946,9.6282,7766.0174,0.0405,196993177.353,8.570,-6355.255,7.983,N,1967,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,113,At,,,,,,0,,,(3+),4.2,,2,s,4.2,0.2,A,90,10,EC+B+,10,10,,,,,,,-0.6,0.3,-5478.4271,14.2879,-16290.4330,16.9194,6889.3574,1.8798,8764.531,18.101,8424.8099,9.3691,604.6394,11.0130,7769.3446,0.0248,197992797.864,5.265,-6708.747,4.904,N,1967,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,114,At,,,,,,0,,,(9/2-),7.03,,15,s,7.03,0.15,A,90,5,EC+B+,10,5,,,,,,,-1,0.5,-7263.5308,9.0686,-15664.3758,14.4597,6777.2734,1.1509,6415.452,7.646,10185.9487,7.2832,639.0701,18.2372,7781.4883,0.0271,198990527.715,5.780,-8823.377,5.384,N,1967,15-Oct-2006,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
85,115,At,,,,,,0,,,(3+),43,,1,s,43,1,A,52,3,EC+B+,48,3,,,,,4.28,0.15,-0.5,0.5,-4987.4394,25.1411,-15499.3652,25.5299,6596.2229,1.3399,7953.789,25.612,8235.8344,25.0504,1038.0359,25.0601,7783.7601,0.1223,199990351.099,26.264,-8987.894,24.465,N,1963,1-Aug-2006,F.G. KONDEV and  S. LALKOVSKI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
