z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
86,107,Rn,,,,,,0,,,,1.15,,27,ms,0.00115,0.00027,A,100,,,,,,,,,,,,,,,,,8039.9999,12.0000,9110.243,33.144,,,1171.7925,37.5170,7675.853,0.1301,193009707.973,26.958,9042.920,25.112,N,2006,31-Mar-2017,M. Shamsuzzoha Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,108,Rn,,,,,,0,,,0+,0.78,,16,ms,0.00078,0.00016,A,100,,,,,,,,,,,,,,,,,7862.4159,10.2109,6441.114,28.807,11389.6146,30.1323,1497.0241,27.3032,7694.9961,0.0859,194006145.636,17.884,5724.624,16.659,N,2006,3-Sep-2021,Jun Chen and Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,109,Rn,,,,,,0,,,3/2-,6,,+3-2,ms,0.006,0.0025,A,100,,,,,,,,,,,,,,,,,7694.0999,51.1957,8520.584,52.565,8745.6567,54.3032,1522.1963,56.7786,7700.3841,0.2651,195005421.703,55.487,5050.285,51.686,N,2001,1-Mar-2014,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,110,Rn,,,,,,0,,,0+,4.4,,+13-9,ms,0.0044,0.0011,A,99.9,0.2,EC+B+,0.06,,,,,,,,,,,,,,7616.7366,9.1879,5888.344,33.342,11146.4341,53.5613,1843.5029,17.0041,7717.966,0.0717,196002120.431,15.087,1975.169,14.054,N,1995,1-Jan-2006,Huang Xiaolong,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,111,Rn,,,,,,0,,,(3/2-),65,,+25-14,ms,0.065,0.0195,A,100,,,,,,,,,,,,,-8743.5996,58.7110,,,7410.7546,7.1454,7865.623,18.054,8536.1188,21.4344,1865.4279,34.2984,7722.119,0.0822,197001621.446,17.383,1510.368,16.193,N,1995,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,112,Rn,,,,,,0,,,0+,65,,3,ms,0.065,0.003,EC+B+,,,A,,,,,,,,,,,-10808.0177,33.8991,-19555.6055,58.0074,7349.3816,3.6598,5478.427,14.288,10812.0059,21.0239,2164.0358,15.6147,7737.7245,0.0678,197998679.197,14.406,-1230.320,13.420,N,1984,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,113,Rn,,,,,,0,,,(3/2-),0.59,,3,s,0.59,0.03,A,94,,EC+B+,6,,,,,,,,,,-8331.2349,15.5446,-19208.8627,31.9735,7131.8922,4.0913,7263.531,9.068,8400.8450,15.2754,2140.0709,8.7920,7741.0568,0.0367,198998325.436,7.833,-1559.846,7.297,N,1980,15-Oct-2006,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,114,Rn,,,,,,0,,,0+,1.03,,+20-11,s,1.03,0.155,A,86,,EC+B+,14,,,,,,,,,,-10134.0327,31.0688,-18843.1608,14.8975,7043.3611,2.1381,4987.44,25.14,10511.9259,9.3162,2466.0481,7.9081,7754.9111,0.0290,199995705.335,6.217,-4000.454,5.792,N,1971,1-Jun-2022,F.G. KONDEV and  S. LALKOVSKI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,115,Rn,,,,,,0,,,(3/2-),7.0,,4,s,7,0.4,EC+B+,,,A,,,,,,,,,,,-7695.9856,13.5972,-18312.3092,32.1585,6860.7498,2.2816,6682.028,13.016,8178.2764,11.6613,2408.4901,26.4759,7757.0174,0.0504,200995590.511,10.865,-4107.413,10.121,N,1967,20-Sep-2022,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
86,116,Rn,5.5521,0.0181,,,,0,,,0+,9.7,,1,s,9.7,0.1,A,78,8,EC+B+,22,8,,,,,,,,,-9376.0984,18.5296,-17934.4515,19.7331,6773.8018,1.8291,4320.545,32.692,10238.4659,20.2334,2774.0901,19.3374,7769.3018,0.0867,201993263.982,18.808,-6274.561,17.520,N,1967,1-May-2007,S. ZHU and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
