z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
87,110,Fr,,,,,,0,,,(7/2-),0.6,,+30-3,ms,0.0006,0.00165,A,100,,,,,,,,,,,,,,,,,7896.3752,52.8950,8743.6,58.7,,,-989.8278,58.1573,7673.764,0.2865,197011008.086,60.584,10253.968,56.434,N,2013,20-JAN-2014,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,111,Fr,,,,,X,0,,0,,15,,3,ms,0.015,0.003,A,100,,,,,,,,,,,,,,,,,7869.272,20.4132,10808.018,33.899,8747.5878,64.4502,-778.3588,35.0895,7679.1873,0.1572,198010282.081,33.419,9577.698,31.130,N,2013,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,112,Fr,,,,,,0,,,,12,,+10-4,ms,0.012,0.007,A,0,,EC+B+,,,,,,,,,,,,,,,7816.7717,9.8365,8331.234,15.545,10877.6278,34.0213,-712.7369,19.1958,7695.2599,0.0690,199007269.384,14.734,6771.388,13.726,N,1999,15-Oct-2006,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,113,Fr,,,,,,0,,,(3+),49,,4,ms,0.049,0.004,A,100,,,,,,,,,,,,,,,,,7621.8374,4.1908,10134.032,31.069,8709.1281,33.4681,-404.4538,31.3843,7700.3292,0.1526,200006584.666,32.769,6133.578,30.524,N,1995,1-Aug-2006,F.G. KONDEV and  S. LALKOVSKI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,114,Fr,,,,,,0,,,9/2-,63,,4,ms,0.063,0.004,A,100,,,,,,,,,,,,,-8348.2439,22.2391,,,7518.9119,4.3262,7695.986,13.597,10616.3236,31.8461,-300.0562,10.7699,7714.8367,0.0452,201003852.491,9.747,3588.573,9.080,N,1980,20-Sep-2022,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,115,Fr,,,,,,0,,,(3+),0.30,,5,s,0.3,0.05,A,100,,,,,,,,,3.9,0.05,,,-5973.362,16.1841,-16906.5970,21.1784,7385.3686,3.5132,9376.099,18.53,8558.3531,10.9014,80.0205,11.7828,7719.0125,0.0299,202003329.637,6.476,3101.538,6.033,N,1980,1-May-2007,S. ZHU and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,116,Fr,,,,,,0,,,9/2-,0.55,,1,s,0.55,0.01,A,100,,,,,,,,,3.74,0.04,-0.47,0.02,-7724.9182,11.5191,-16269.8055,16.2592,7274.8739,3.5745,7060.457,8.524,10296.4435,8.6733,137.9981,18.5952,7731.7092,0.0307,203000940.867,6.689,876.412,6.232,N,1967,4-Jul-2021,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,117,Fr,,,,,,0,,,(3+),1.8,,3,s,1.8,0.3,A,92,2,EC+B+,8,2,,,,,3.99,0.03,-0.141,0.009,-5453.7889,26.1514,-16065.3404,26.4217,7170.2862,2.3908,8577.423,25.683,8340.4221,25.3590,497.6179,25.2598,7734.6931,0.1205,204000651.972,26.389,607.308,24.581,N,1964,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,118,Fr,,,,,,0,,,9/2-,3.90,,7,s,3.9,0.07,A,98.5,0.4,EC+B+,1.5,0.4,,,,,3.8,0.03,-0.305,0.018,-7113.6693,24.0784,-15442.2317,11.8686,7054.7093,2.4013,6399.948,9.329,9988.4428,25.7966,628.6719,10.7999,7745.687,0.0382,204998593.854,8.399,-1309.816,7.824,N,1964,20-Apr-2020,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
87,119,Fr,,,,,,0,,,(2+ 3+),16,AP,,s,16,,A,84,,EC,16,,,,,,3.97,0.05,-0.354,0.009,-4812.4721,33.1318,-15122.0300,35.9442,6923.3316,3.4993,7886.059,29.108,8008.3607,28.8904,826.0658,28.2709,7746.9621,0.1350,205998661.441,29.856,-1246.859,27.811,N,1964,31-Jan-2008,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
