obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""308.7183""","=""0.0005""","=""308.7183""","=""""","=""8.00e+03""","=""2.29e-05""","=""4.65e-04""","=""-4.34""",,"=""0.00000000""","=""4.016095""","=""7s""","=""2S""","=""1/2""","=""20p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""308.7739""","=""0.0005""","=""308.7740""","=""""","=""8.01e+03""","=""1.14e-05""","=""2.33e-04""","=""-4.64""",,"=""0.00000000""","=""4.015371""","=""7s""","=""2S""","=""1/2""","=""20p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""309.3412""","=""0.0005""","=""309.3411""","=""""","=""1.00e+04""","=""2.87e-05""","=""5.84e-04""","=""-4.24""",,"=""0.00000000""","=""4.008009""","=""7s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""309.4095""","=""0.0005""","=""309.4095""","=""""","=""9.82e+03""","=""1.41e-05""","=""2.87e-04""","=""-4.55""",,"=""0.00000000""","=""4.007123""","=""7s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""310.1111""","=""0.0005""","=""310.1111""","=""""","=""1.23e+04""","=""3.55e-05""","=""7.24e-04""","=""-4.15""",,"=""0.00000000""","=""3.998058""","=""7s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""310.1963""","=""0.0005""","=""310.1963""","=""""","=""1.23e+04""","=""1.77e-05""","=""3.62e-04""","=""-4.45""",,"=""0.00000000""","=""3.996959""","=""7s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""311.0787""","=""0.0005""","=""311.0788""","=""""","=""1.57e+04""","=""4.56e-05""","=""9.33e-04""","=""-4.04""",,"=""0.00000000""","=""3.985621""","=""7s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""311.1868""","=""0.0005""","=""311.1869""","=""""","=""1.57e+04""","=""2.28e-05""","=""4.67e-04""","=""-4.34""",,"=""0.00000000""","=""3.984236""","=""7s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""312.3189""","=""0.0005""","=""312.3190""","=""""","=""2.10e+04""","=""6.14e-05""","=""1.26e-03""","=""-3.91""",,"=""0.00000000""","=""3.969794""","=""7s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""312.4590""","=""0.0005""","=""312.4590""","=""""","=""2.11e+04""","=""3.09e-05""","=""6.35e-04""","=""-4.21""",,"=""0.00000000""","=""3.968015""","=""7s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
