z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
88,113,Ra,,,,,,0,,,3/2-,8,,+40-4,ms,0.008,0.022,A,100,,,,,,,,,,,,,,,,,8001.5326,12.2441,8348.244,22.239,,,1485.7327,36.6587,7669.4108,0.1010,201012814.699,21.794,11936.817,20.301,N,2005,20-Sep-2022,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,114,Ra,,,,,,0,,,0+,16,,+30-7,ms,0.016,0.0185,A,100,,,,,,,,,,,,,,,,,7880.3036,6.7407,5973.362,16.184,10933.2349,25.2460,1802.6441,17.5492,7685.5684,0.0743,202009742.305,16.122,9074.900,15.018,N,2005,1-May-2007,S. ZHU and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,115,Ra,,,,,,0,,,3/2-,31,,+17-9,ms,0.031,0.013,A,100,,,,,,,,,,,,,,,,,7736.2613,6.3728,7724.919,11.519,8544.8873,17.8714,1789.1782,11.4129,7689.8015,0.0477,203009233.907,10.400,8601.331,9.688,N,1996,4-Jul-2021,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,116,Ra,,,,,,0,,,0+,57,,+11-5,ms,0.057,0.008,A,100,,,,,,,,,,,,,,,,,7636.6358,6.7898,5453.789,26.151,10611.5514,13.1721,2104.2862,10.8848,7704.1238,0.0437,204006506.855,9.580,6061.097,8.924,N,1995,1-Oct-2009,C.J. CHIARA and F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,117,Ra,,,,,,0,,,(3/2-),210,,+60-40,ms,0.21,0.05,A,100,,,,,,,,,,,,,-8302.8357,63.5402,,,7486.3498,20.3988,7113.669,24.079,8328.5624,24.4580,2092.4265,33.5082,7707.1698,0.1111,205006230.692,24.446,5803.853,22.772,N,1987,20-Apr-2020,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,118,Ra,,,,,,0,,,0+,0.24,,2,s,0.24,0.02,A,100,,,,,,,,,,,,,-9919.1406,67.5328,-18612.3937,61.9927,7415.2578,4.1635,4812.472,33.132,10309.5579,29.0316,2413.5416,19.6342,7719.8028,0.0874,206003827.842,19.332,3565.613,18.008,N,1967,31-Jan-2008,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,119,Ra,,,,,,0,,,(3/2- 5/2-),1.35,,+22-13,s,1.35,0.175,A,86,,EC+B+,14,,,,,,,,,,-7632.2404,81.0004,-18042.0838,87.3707,7273.1168,57.9950,6363.009,60.873,8122.9433,61.0037,2528.1242,64.5807,7721.7503,0.2816,207003772.42,62.572,3513.988,58.286,N,1967,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,120,Ra,5.5850,0.0183,,,,0,,,0+,1.3,,2,s,1.3,0.2,A,95,,EC+B+,5,,,,,,,,,,-9032.9208,65.1111,-17489.6127,56.9670,7273.1333,5.0982,4392.862,14.741,9857.3723,58.9795,2712.0168,19.7383,7732.0177,0.0434,208001855.012,9.686,1727.934,9.023,N,1967,1-Jun-2007,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,121,Ra,5.5853,0.0182,,,,0,,,5/2-,4.8,,2,s,4.8,0.2,A,100,,,,,,,,,0.861,0.013,0.39,0.04,-6986.6464,56.1409,-16973.9322,64.7385,7143.0886,2.6860,5640.384,12.859,7941.0114,10.6597,2765.8030,12.9968,7733.0177,0.0275,209001994.902,6.169,1858.240,5.747,N,1967,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
88,122,Ra,5.5917,0.0180,,,,0,,,0+,3.7,,2,s,3.7,0.2,A,96,,EC+B+,4,,,,,,,,,,-8321.2403,62.8832,-16473.3662,56.5976,7150.8409,3.2700,3786.347,16.267,9486.7198,10.8178,3063.9883,14.7185,7741.3687,0.0438,210000475.406,9.868,442.839,9.193,N,1967,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
