z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
89,116,Ac,,,,,,0,,,(9/2-),20,,+97-9,ms,0.02,0.053,A,100,,,,,,,,,,,,,,,,,8093.1999,58.6205,8302.836,63.541,,,-756.6203,59.9871,7662.8519,0.2894,205015144.152,63.682,14106.689,59.320,N,2014,20-Apr-2020,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,117,Ac,,,,,,0,,,(3+),22,,+9-5,ms,0.022,0.007,A,100,,,,,,,,,,,,,,,,,7958.2999,64.8074,9919.141,67.533,8693.2531,88.0636,-391.9296,68.9561,7667.8538,0.3160,206014476.477,69.874,13484.754,65.088,N,1998,31-Jan-2008,F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,118,Ac,,,,,,0,,,(9/2-),27,,+11-6,ms,0.027,0.0085,A,100,,,,,,,,,,,,,,,,,7844.8999,55.9017,7632.24,81.00,10409.8435,86.0246,-291.6441,59.0603,7681.1001,0.2717,207011965.967,60.384,11146.228,56.248,N,1994,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,119,Ac,,,,,,0,,,(3+),95,,+24-16,ms,0.095,0.02,A,99,,EC,1,,,,,,,,,,-5927.1868,71.9264,,,7728.6302,59.6138,9032.92,65.11,8456.6919,85.5680,42.1045,86.9211,7684.8289,0.3100,208011552.251,69.225,10760.854,64.483,N,1994,1-Jun-2007,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,120,Ac,,,,,,0,,,(9/2-),0.087,,+12-9,s,0.087,0.0105,A,100,,,,,,,,,,,,,-7550,117,-15914.4727,64.2972,7729.7872,55.2952,6986.647,56.141,9987.2858,85.3043,172.0180,56.5702,7695.8455,0.2672,209009495.375,59.953,8844.887,55.846,N,1968,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,121,Ac,,,,,,0,,,,0.35,,5,s,0.35,0.05,A,100,,EC+B+,,,,,,,,,,,-5295.442,65.0180,-15702,120,7586.022,57.4594,8321.24,62.88,8152.1259,83.5976,383.1324,62.4725,7698.0182,0.2962,210009408.625,66.782,8764.079,62.208,N,1968,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,122,Ac,,,,,,0,,,9/2-,0.21,,3,s,0.21,0.03,A,100,,EC+B+,0.2,,,,,,,,,,-6732.9111,101.4758,-14987.3539,56.9815,7567.5897,52.4760,6311.615,53.982,9691.9119,82.2140,588.3246,54.5330,7707.468,0.2548,211007668.846,57.706,7143.485,53.753,N,1968,28-FEB-2013,D. ABRIOLA and  P. DEMETRIOU and  M. HASSANVAND and  M. HUSSAIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,123,Ac,,,,,,0,,,(7+),880,,35,ms,0.88,0.035,A,95,,EC+B+,5,,,,,,5,0.3,,,-4811.2864,24.1055,-14648.1143,88.8080,7539.6118,23.9586,7498.363,24.166,7915.2032,58.0366,821.2411,22.4400,7708.4479,0.1032,212007836.442,23.492,7299.600,21.883,N,1968,1-Aug-2020,K. Auranen and E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,124,Ac,,,,,,0,,,9/2-,738,,16,ms,0.738,0.016,A,100,,,,,,,,,4.2,0.4,,,-5979.0781,14.8635,-14041.1749,15.4257,7498.2578,4.2486,5795.472,15.247,9229.8885,24.7982,949.1789,15.5226,7715.5908,0.0548,213006592.665,12.522,6141.029,11.665,N,1968,1-Jan-2022,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
89,125,Ac,,,,,,0,,,5(+),8.2,,2,s,8.2,0.2,A,89,3,EC,11,3,,,,,4.83,0.2,0.14,0.08,-4261.6599,17.2389,-13758.1539,16.3871,7351.864,2.4984,6340.532,14.532,7779.0758,17.8427,1201.2566,16.7340,7715.8874,0.0633,214006906.4,14.547,6433.272,13.551,N,1968,1-May-2021,Shaofei Zhu and E. A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
