obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""296.9686""","=""0.0004""","=""296.968104""","=""0.000013""","=""23""","=""9.e+06""","=""1.2e-02""","=""5.e-01""","=""-1.3""",E,"=""0.0000000""","=""4.1750005""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3P).7p""","=""4D*""","=""3/2""",4,4,,"=""T10463""","=""L7344""",
"=""303.7814""","=""0.0004""","=""303.781324""","=""0.000015""","=""87""","=""6.e+06""","=""8.e-03""","=""3.2e-01""","=""-1.5""",E,"=""0.0000000""","=""4.0813634""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3P).7p""","=""2D*""","=""3/2""",4,4,,"=""T10463""","=""L7344""",
"=""307.7334""","=""0.0004""","=""307.733222""","=""0.000017""","=""280""","=""5.e+06""","=""1.1e-02""","=""4.e-01""","=""-1.4""",E,"=""0.0000000""","=""4.0289507""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3F).7p""","=""2F*""","=""5/2""",4,6,,"=""T10463""","=""L7344""",
"=""308.3852""","=""0.0006""","=""308.384607""","=""0.000015""","=""16""","=""""","=""""","=""""","=""""",,"=""0.2766623""","=""4.2971029""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7p""","=""4D*""","=""5/2""",6,6,,"=""""","=""L7344""",
"=""311.0232""","=""0.0013""","=""""","=""""","=""83""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""311.2473""","=""0.0004""","=""311.247085""","=""0.000016""","=""420""","=""1.0e+07""","=""1.9e-02""","=""1.2e+00""","=""-0.9""",E,"=""0.2766623""","=""4.2601277""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(1G).7p""","=""2G*""","=""7/2""",6,8,,"=""T10463""","=""L7344""",
"=""314.1630""","=""0.0013""","=""""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""314.4621""","=""0.0004""","=""314.461948""","=""0.000018""","=""1100""","=""4.3e+07""","=""1.0e-01""","=""4.0e+00""","=""-0.42""",D+,"=""0.0000000""","=""3.9427409""","=""6d.7s2""","=""2D""","=""3/2""","=""5f.7s2""","=""2F*""","=""5/2""",4,6,,"=""T10463""","=""L7344""",
"=""317.2088""","=""0.0004""","=""317.208333""","=""0.000018""","=""1200""","=""""","=""""","=""""","=""""",,"=""0.2766623""","=""4.185267""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7p""","=""2F*""","=""7/2""",6,8,,"=""""","=""L7344""",
"=""317.5142""","=""0.0004""","=""317.513952""","=""0.000016""","=""160""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""3.9048425""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3F).7p""","=""4F*""","=""5/2""",4,6,,"=""""","=""L7344""",
"=""317.5608""","=""0.0013""","=""""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""318.0440""","=""0.0004""","=""318.043721""","=""0.000017""","=""33""","=""""","=""""","=""""","=""""",,"=""0.2766623""","=""4.1750005""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3P).7p""","=""4D*""","=""3/2""",6,4,,"=""""","=""L7344""",
"=""318.3440""","=""0.0013""","=""""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""321.7379""","=""0.0013""","=""""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
