z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
90,117,Th,,,,,,0,,,,10,,+46-5,ms,0.01,0.0255,A,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-AUG-2022,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,118,Th,,,,,,0,,,0+,1.7,,+17-6,ms,0.0017,0.00115,A,100,,,,,,,,,,,,,,,,,8202.0281,30.5894,5927.187,71.927,,,1747.1580,64.6466,7652.5716,0.1532,208017915.348,34.208,16688.041,31.865,N,2010,15-MAY-2011,BALRAJ SINGH AND MICHAEL BIRCH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,119,Th,,,,,X,0,,470,(13/2+),2.5,,+17-7,ms,0.0025,0.0012,A,100,,,,,,,,,,,,,,,,,8166,106,7550.113,117.166,8364,108,1655,122,7656,0,209017601,111,16395,103,Y,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,120,Th,,,,,,0,,,0+,16,,4,ms,0.016,0.004,A,100,,EC+B+,,,,,,,,,,,,,,,8068.9919,5.7680,5295.442,65.018,10407,105,2074.3369,58.9604,7669.0764,0.0900,210015093.515,20.299,14059.521,18.909,N,1995,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,121,Th,,,,,,0,,,,37,,+28-11,ms,0.037,0.0195,A,,,EC+B+,,,,,,,,,,,-8175.8296,110.6091,,,7937.4924,63.3304,6732.911,101.476,8254.4428,88.1219,2176.6538,106.1968,7671.8506,0.4079,211014896.923,92.399,13876.396,86.070,N,1995,28-FEB-2013,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,122,Th,,,,,,0,,,0+,31.7,,13,ms,0.0317,0.0013,A,100,,,,,,,,,,,,,-9485.6366,88.1858,-18012.6576,70.2038,7958.0367,4.5583,4811.286,24.105,9836.8280,86.6608,2321.5699,54.6948,7682.0628,0.0477,212013001.57,10.852,12110.886,10.109,N,1980,1-Aug-2020,K. Auranen and E.A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,123,Th,,,,,,0,,,5/2-,146,,+22-19,ms,0.146,0.0205,A,100,,,,,,,,,,,,,-7534.0866,57.9078,-17547.7333,88.0880,7836.9514,7.2067,5979.079,14.867,8062.0967,13.6507,2468.4634,23.7454,7683.847,0.0433,213013011.47,9.895,12120.108,9.217,N,1968,1-Jan-2022,M. S. Basunia,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,124,Th,,,,,,0,,,0+,87,,10,ms,0.087,0.01,A,100,,,,,,,,,,,,,-8764.963,81.9051,-17030.5806,58.1551,7827.1772,5.3992,4261.66,17.24,9496.4940,14.0753,2735.0689,15.7966,7692.3173,0.0498,214011481.48,11.445,10694.932,10.661,N,1968,1-May-2021,Shaofei Zhu and E. A. McCutchan,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,125,Th,,,,,,0,,,(1/2-),1.2,,2,s,1.2,0.2,A,100,,,,,,,,,,,,,-6883.1037,82.6932,-16609.7792,81.4550,7664.6478,3.9321,4890.884,13.93,7844.8162,12.4010,2800.8093,14.9587,7693.0266,0.0295,215011724.64,6.800,10921.434,6.335,N,1968,23-SEP-2013,B. SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
90,126,Th,,,,,,0,,,0+,26.0,,2,ms,0.026,0.0002,A,100,,EC+B+,0.01,,,,,,,,,,-7525.2616,27.0327,-15577.3184,83.1944,8072.3838,4.2621,2148.801,14.439,8694.2146,12.7841,3020.9843,16.6462,7697.6617,0.0514,216011055.933,11.920,10298.537,11.104,N,1968,1-Mar-2007,S. -C. WU,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
