z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
101,143,Md,,,,,,0,,,,0.38,,+19-9,s,0.38,0.14,A,100,,EC+B+,14,,,,,,,,,,,,,,8946.9999,78.8733,6633.0,424.5,,,1008,396,7438,2,244081157,402,75597,374,Y,2020,15-FEB-2021,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,144,Md,,,,,,0,,,(1/2-),0.90,,25,ms,0.0009,0.00025,A,,,SF,,,,,,,,,,,,,,,9006,119,5133.0,325.0,8344,456,928,328,7441,1,245080864,279,75325,260,Y,1996,1-Jun-2010,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,145,Md,,,,,X,0,,0,,0.9,,2,s,0.9,0.2,A,100,,SF,,,EC,,,,,,,,,,,,8888.7896,40.6623,5923.813,260.359,7281,367,1365,325,7441,1,246081713,279,76115,260,Y,1996,1-Jan-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,146,Md,,,,,,0,,,(7/2-),1.2,,1,s,1.2,0.1,A,99.9,,SF,0.1,,,,,,,,,,,,,,8764.3999,10.0000,4264.0,274.9,8251,333,1544,208,7444,1,247081520,223,75936,207,Y,1981,31-Mar-2014,C. D. NESARAJA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,147,Md,,,,,,0,,,,7,,3,s,7,3,EC,80,10,A,20,10,,,,,,,,,-3741,290,,,8497.2929,30.4927,5050.207,184.196,7059,277,2014,258,7442,1,248082607,198,76948,184,Y,1973,1-Sep-2014,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,148,Md,,,,,,0,,,(7/2-),21.7,,20,s,21.7,2,A,60,,EC+B+,40,,,,,,,,,,-4606,324,-11579,278,8441,18,3661.809,164.542,7838,247,2005.8122,164.6439,7444.0169,0.6603,249082857.155,176.516,77180.952,164.425,N,1973,31-Dec-2010,KHALIFEH ABUSALEEM,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,149,Md,,,,,,0,,,,52,,6,s,52,6,EC,93,3,A,7,3,,,,,,,,,-3167,220,-11459,294,8155.4227,27.6804,4326.947,91.262,6853.1295,187.8879,2408.9734,91.1319,7441.6533,0.3637,250084164.934,97.606,78399.140,90.920,N,1973,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,150,Md,,,,,,0,,,(7/2-),4.0,,5,m,240,30,EC+B+,90,,A,10,,,,,,,,,,-3882,182,-10671,201,7963.4399,4.4721,3007.941,23.711,7503.7096,92.8676,2394.4150,20.4979,7441.9005,0.0754,251084774.287,20.310,78966.749,18.919,N,1973,1-Jan-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,151,Md,,,,,,0,,,,2.3,,8,m,138,48,EC,100,,,,,,,,,,,,,-2404.2523,91.7581,-10453,203,7743,105,3650.507,91.435,6570.9488,93.2264,2780.6612,92.3984,7438.4444,0.3622,252086385,98.000,80467.118,91.286,N,1973,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,152,Md,,,,,,0,,,(7/2-),6,,+12-3,m,360,450,EC+B+,99.3,,A,0.7,,,,,,,,,,-3186,32,-9770,33,7573.0769,8.3205,1827.451,31.039,7366,96,2933,32,7438,0,253087143,34,81173,31,Y,1992,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,153,Md,,,,,,0,,,,10,,3,m,600,180,EC+B+,100,,,,,,,,,,,,,-1271,100,-8977,100,7802,141,2550.479,100.017,5792,105,3182,100,7432,0,254089590,107,83453,100,Y,1970,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,154,Md,,,,,,0,,,(7/2-),27,,2,m,1620,120,EC,93,1,A,7,1,,,,,,,,,-1969.8648,15.1096,-7952.5608,11.1032,7905.606,1.7408,1041.604,6.817,6682,100,3349.4234,5.7280,7428.7333,0.0218,255091081.702,5.976,84842.069,5.567,N,1958,1-Nov-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,155,Md,,,,,,0,,,(1-),77.7,,18,m,4662,108,EC,90.8,0.7,A,9.2,0.7,SF,3,,,,,,,-367,124,-7427,124,7737,113,1971.204,124.037,5457,124,3633,124,7421,0,256093888,133,87456,124,Y,1955,22-Mar-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,156,Md,,,,,,0,,,(7/2-),5.52,,5,h,19872,180,EC,85,3,A,15,3,SF,1,,,,,,,-1254.5923,6.1695,-6901.8919,7.5683,7557.0699,0.9487,402.335,4.624,6535,124,3781.2955,3.3356,7417.5845,0.0061,257095537.343,1.683,88992.472,1.569,N,1965,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,157,Md,,,,,,0,,,(8-),51.50,,29,d,4449600,25056,A,100,,,,,,,,,,,,,213,100,-6628.0325,6.9596,7271.2827,1.8570,1264.35,200.03,5373.4402,3.5353,4188.7585,5.5023,7409.6615,0.0135,258098433.634,3.729,91690.350,3.474,N,1970,25-Aug-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,158,Md,,,,,,0,,,,1.60,,6,h,5760,216,SF,100,,A,1.3,,,,,,,,,,-515,101,-5985,142,7050,100,-140.0,300.4,6198,101,4151,224,7405,0,259100445,108,93564,101,Y,1982,1-Aug-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
101,159,Md,,,,,,0,,,,31.8,,5,d,2747520,43200,SF,42,,A,25,,EC,23,,,,,,,940,374,-5601,316,6940,300,,,5086,332,4443,424,7396,1,260103650,339,96550,316,Y,1989,1-Oct-1998,Y. A. AKOVALI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
