z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
102,146,No,,,,,,0,,,,2,LT,,us,0.000002,,,,,,,,,,,,,,,,,,,,9300,100,3741.0,289.8,,,2536,305,7424,1,248086623,241,80689,224,Y,2003,1-Sep-2014,M. J. MARTIN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,147,No,,,,,,0,,,(5/2+),38.1,,28,ms,0.0381,0.0028,A,100,,SF,0.23,,ECP,,,,,,,,,,,,9170,200,4606.048,323.847,6973,358,2450,335,7422,1,249087802,300,81787,279,Y,2003,12-Feb-2023,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,148,No,,,,,,0,,,0+,4.2,,+12-9,us,0.0000042,0.00000105,SF,100,,A,2,,,,,,,,,,,,,,8950,200,3166.86,219.69,8292,344,2904,259,7426,1,250087565,215,81566,200,Y,2003,15-SEP-2006,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,149,No,,,,,,0,,,(7/2+),0.80,,1,s,0.8,0.01,A,91,,SF,0.3,,EC+B+,,,,,,,,-4981,270,,,8751.714,4.0649,3882.251,181.986,6788,270,2839,202,7423,1,251088942,194,82849,181,Y,1967,1-Jan-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,150,No,,,,,,0,,,0+,2.46,,2,s,2.46,0.02,A,65.3,0.5,SF,33,0.8,EC+B+,1.7,0.9,,,,,,-5666,185,-13030,200,8548.6616,5.3226,2404.252,91.758,8049,181,3384.3495,21.0780,7425.7992,0.0369,252088966.07,9.975,82871.370,9.292,N,1967,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,151,No,,,,,,0,,,(9/2-),1.62,,15,m,97.2,9,A,55,3,EC+B+,45,3,,,,,-0.53,0.08,5.9,1.7,-4164.7752,164.6791,-12250,185,8414.6374,4.3296,3185.696,31.761,6583.9925,11.5430,3397.3932,91.5478,7422.4719,0.0273,253090562.78,7.420,84358.696,6.912,N,1967,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,152,No,,,,,,0,,,0+,51.2,,4,s,51.2,0.4,A,90,1,EC,10,1,SF,0.17,0.02,,,,,,-4922.5753,91.8208,-11871.4774,164.8171,8226.2032,8.0482,1270.312,100.465,7706.7022,11.8367,3738,33,7423.5909,0.0380,254090954.211,10.367,84723.312,9.658,N,1966,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,153,No,,,,,,0,,,(1/2+),3.52,,21,m,211.2,12.6,EC+B+,70,5,A,30,5,,,,,,,,,-3135.3716,22.5952,-10905.2713,92.3856,8428.2098,2.9932,1969.865,15.11,5982.6960,17.0463,3930,101,7417.9403,0.0551,255093196.439,15.079,86811.934,14.047,N,1967,1-Nov-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,154,No,,,,,,0,,,0+,2.91,,5,s,2.91,0.05,A,99.47,0.06,SF,0.53,0.06,,,,,,,,,-3923.5573,83.2459,-10195.5777,19.2409,8581.5194,5.4519,367.046,124.23,7060.2061,15.9464,4307.9942,9.2904,7416.5429,0.0295,256094281.912,8.103,87823.046,7.548,N,1963,22-Mar-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
102,155,No,,,,,,0,,,(3/2+),24.5,,5,s,24.5,0.5,A,85,15,EC,30,,SF,1.5,,,,,,,-2418,45,-9570.8568,83.1342,8476.5999,6.0000,1254.592,6.393,5647.2996,9.6548,4498,124,7409.6587,0.0241,257096884.203,6.652,90247.064,6.197,N,1967,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
