z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
104,149,Rf,,,,,,0,,,(1/2+),9.9,,12,ms,0.0099,0.0012,SF,83,6,A,17,6,,,,,,,,,,,,,9430,300,5118.529,441.782,,,2184,450,7380,2,253100528,440,93642,410,Y,1997,12-Feb-2023,Balraj Singh,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,150,Rf,,,,,,0,,,0+,23.2,,11,us,0.0000232,0.0000011,SF,100,,A,1.5,,,,,,,,,,,,,,9210,200,3555.113,297.367,8512,498,2611,328,7384,1,254100055,304,93201,283,Y,1997,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,151,Rf,,,,,,0,,,(9/2-),1.68,,9,s,1.68,0.09,SF,58,9,A,42,9,EC+B+,1,,,,,,,-5265,336,,,9055.4615,3.9223,4381.695,181.863,6943,336,2605,203,7382,1,255101267,194,94329,181,Y,1975,1-Nov-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,152,Rf,,,,,,0,,,0+,6.67,,10,ms,0.00667,0.0001,SF,99.68,0.17,A,0.32,0.17,,,,,,,,,-6076,188,-13444,284,8925.7062,15.2385,2475.389,84.802,8179,182,3014.2841,25.1353,7385.4349,0.0697,256101151.464,19.160,94221.992,17.848,N,1975,22-Mar-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,153,Rf,,,,,,0,,,(1/2+),4.4,,+6-5,s,4.4,0.55,A,79.3,1.4,EC,19.4,1.4,SF,1.3,0.3,,,,,,-4287.8969,164.9888,-12503,188,9082.7769,8.3205,3201.389,45.31,6426.9219,20.8491,3169.1855,83.6057,7381.7053,0.0421,257102916.796,11.612,95866.389,10.817,N,1969,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,154,Rf,,,,,,0,,,0+,12.0,,12,ms,0.012,0.0012,SF,95.1,1.6,A,4.9,1.6,,,,,,,,,-5163.3651,93.2584,-11881.2658,165.4195,9196.1101,12.8867,1562.338,103.263,7593.3689,19.3754,3610,47,7382.5257,0.0624,258103429.895,17.288,96344.338,16.104,N,1969,25-Aug-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,155,Rf,,,,,,0,,,,2.4,,4,s,2.4,0.4,A,92,2,EC,15,,SF,8,2,,,,,,-3624,92,-11212,117,9130,71,2516.0,101.1,6049,74,3704,125,7377,0,259105601,78,98367,72,Y,1969,1-Aug-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,156,Rf,,,,,,0,,,0+,21,,1,ms,0.021,0.001,SF,100,,,,,,,,,,,,,-4525,221,-10914,208,8900,200,871.0,235.8,7290,213,3992,212,7377,1,260106440,215,99148,200,Y,1985,1-Oct-1998,Y. A. AKOVALI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,157,Rf,,,,,X,,,,,68,,3,s,68,3,A,100,,,,,,,,,,,,,-2990,128,-10426,114,8646.2528,65.3701,1761.233,210.503,5901,211,4247,141,7371.3858,0.2516,261108769.591,70.492,101318.233,65.663,N,1970,1-Aug-2015,M. GUPTA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,158,Rf,,,,,,0,,,0+,2.3,,4,s,2.3,0.4,SF,100,,,,,,,,,,,,,-3861,265,-9987,249,8490,200,287.0,300.2,6997,233,4454,300,7370,1,262109923,240,102392,224,Y,1985,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,159,Rf,,,,,,0,,,,10,,2,m,600,120,A,30,,SF,,,,,,,,,,,-2353,227,-9568,209,8252,153,,,5707,271,4638,252,7364,1,263112461,164,104757,153,Y,2003,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,161,Rf,,,,,,0,,,,1.0,,+12-3,m,60,45,SF,100,,,,,,,,,,,,,-1692,424,-8643,431,7810,300,,,5456,510,4974,566,7354,1,265116683,387,108690,361,Y,2010,31-OCT-2015,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
104,163,Rf,,,,,,0,,,,1.3,,+23-5,h,4680,5040,SF,100,,A,33.3,,,,,,,,,,-570,686,-7368,640,7890,300,,,4763,707,5507,788,7342,2,267121787,617,113444,575,Y,2004,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
