z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
105,150,Db,,,,,,0,,,,1.6,,+6-4,s,1.6,0.5,A,80,,SF,20,,,,,,,,,,,,,,9340,200,5266.0,335.9,,,895,400,7359,1,255106919,304,99595,283,Y,1976,1-Nov-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,151,Db,,,,,,0,,,,1.6,,+5-3,s,1.6,0.4,A,70,11,EC,30,11,SF,,,,,,,,,,,,9336.131,30.4770,6076.008,187.85,7368,339,1320,260,7359,1,256107674,201,100298,187,Y,2001,22-Mar-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,152,Db,,,,,,0,,,(9/2+),2.3,,2,s,2.3,0.2,A,94,,SF,6,,,,,,,,,,,,,,9205.8985,20.2783,4287.896,164.989,8215,249,1356.6780,165.5984,7361.9767,0.6406,257107520.042,176.741,100154.285,164.634,N,1985,1-Mar-2012,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,153,Db,,,,,,0,,,(5+ 6+),4.3,,5,s,4.3,0.5,A,77,8,EC+B+,23,8,,,,,,,,,-3788,423,,,9436.8999,10.0000,5163.365,93.258,6717.9007,188.5261,1647.6568,92.4922,7359.4803,0.3560,258108972.995,98.613,101507.703,91.857,N,1985,25-Aug-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,154,Db,,,,,,0,,,[9/2+],0.51,,16,s,0.51,0.16,A,,,,,,,,,,,,,,-4528,190,-11376,416,9618.7999,53.8516,3624.021,91.636,7587.9997,107.9399,1642.2876,58.9285,7360.3626,0.2189,259109491.859,60.854,101991.021,56.685,N,2001,1-Aug-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,155,Db,,,,,,0,,,,1.52,,13,s,1.52,0.13,A,90.4,0.6,SF,9.6,0.6,EC,2.5,,,,,,,-2875,95,-10918,204,9501,42,4525.0,220.5,6390,109,1983,118,7357,0,260111297,100,103673,93,Y,1970,1-Oct-1998,Y. A. AKOVALI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,156,Db,,,,,,0,,,,1.8,,4,s,1.8,0.4,A,82,,SF,18,,,,,,,,,,-3697,112,-10311,112,9218,101,2989.767,128.108,7436,144,2129,228,7357,0,261111979,118,104308,110,Y,1970,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,157,Db,,,,,,0,,,,35,,5,s,35,5,A,67,,,,,,,,,,,,,-2116,145,-9823,144,9046,101,3861.0,265.7,6126,181,2354,157,7352,1,262114067,154,106253,143,Y,1971,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,158,Db,,,,,,0,,,,27,,+10-7,s,27,8.5,SF,57,14,A,43,14,,,,,,,,,-3085,193,-9330,170,8834,152,2353.0,227.2,7214,221,2571,280,7352,1,263114987,180,107110,168,Y,1992,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
105,161,Db,,,,,,0,,,,0.4,,+17-2,h,1440,3420,SF,100,,EC,,,A,,,,,,,,-877,374,-8125,315,8210,200,,,5713,361,3239,458,7339,1,266121032,304,112740,283,Y,2007,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
