z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
106,152,Sg,,,,,,0,,,0+,2.5,,+9-7,ms,0.0025,0.0008,SF,90,10,A,20,,,,,,,,,,,,,,9670,300,3788.297,423.092,,,2147,444,7342,2,258113040,443,105296,413,Y,1997,25-Aug-2017,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,153,Sg,,,,,,0,,,,0.29,,5,s,0.29,0.05,A,90,10,SF,20,,EC,13,,,,,,,,,,,9765.0775,8.1257,4527.979,189.669,6848,451,2277,203,7340,1,259114353,194,106519,181,Y,1985,1-Aug-2011,E. BROWNE and  J. K. TULI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,154,Sg,,,,,,0,,,0+,3.6,,9,ms,0.0036,0.0009,A,50,,SF,50,,,,,,,,,,-6576,197,,,9900.5871,10.1565,2874.495,95.24,8043,182,2732.4969,60.2905,7342.5632,0.0790,260114383.435,22.045,106547.495,20.536,N,1984,1-Oct-1998,Y. A. AKOVALI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,155,Sg,,,,,,0,,,,0.23,,6,s,0.23,0.06,A,100,,SF,1,,,,,,,,,,-5074.4052,180.7519,-13190,197,9713.6999,15.0000,3697.004,111.544,6613.8090,27.6196,2957,95,7339.771,0.0709,261115948.135,19.853,108005.004,18.494,N,1984,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,156,Sg,,,,,,0,,,0+,6.9,,+38-18,ms,0.0069,0.0028,SF,78,,A,22,,,,,,,,,,-5883.0463,95.6774,-12781.6554,181.1646,9599.8187,15.2330,2116.072,144.708,7707.2502,28.8522,3228,112,7341.1736,0.0846,262116338.978,23.797,108369.072,22.167,N,2001,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,157,Sg,,,,,,0,,,,1.0,,2,s,1,0.2,A,70,,SF,30,,,,,,,,,,-4301,320,-12128,133,9403.263,60.9283,3085.0,193.0,6245,97,3347,171,7337,0,263118299,101,110195,95,Y,1974,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,158,Sg,,,,,,0,,,0+,37,,+27-11,ms,0.037,0.019,SF,100,,A,36,,,,,,,,,,-5175,334,-11784,416,9210,200,,,7484,298,3616,329,7338,1,264118930,304,110783,283,Y,2006,25-Nov-2006,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,159,Sg,,,,,X,,,,,14.4,,+37-25,s,14.4,3.1,SF,50,,A,50,,,,,,,,,,-3601,277,-11235,225,9051,123,,,6060,315,3757,274,7333,1,265121089,149,112794,139,Y,1994,1-Aug-2015,M. GUPTA,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,160,Sg,,,,,,0,,,0+,0.34,,+19-9,s,0.34,0.14,SF,100,,A,18,,,,,,,,,,-4487,294,-10849,342,8800,100,877.0,374.3,7248,282,4054,332,7332,1,266121973,263,113617,245,Y,2006,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
106,161,Sg,,,,,,0,,,,84,,+55-24,s,84,39.5,SF,83,,A,17,,,,,,,,,,-2958,371,-10369,308,8625,212,,,5882,358,4223,385,7327,1,267124323,281,115806,261,Y,2008,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
