z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
107,153,Bh,,,,,,0,,,,35,,+19-9,ms,0.035,0.014,A,100,,SF,18,,EC,18,,,,,,,,,,,10400.2999,58.5683,6575.505,197.073,,,685,267,7314,1,260121443,211,113123,196,Y,2008,15-MAR-2016,B. SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,154,Bh,,,,,,0,,,,12,,+5-3,ms,0.012,0.004,A,95,5,SF,10,,,,,,,,,,,,,,10500.2083,72.2838,5074.406,180.752,8115,266,757.0568,180.9722,7317.3313,0.6889,261121395.733,193.026,113079.410,179.803,N,1989,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,155,Bh,,,,,X,0,,0,,102,,26,ms,0.102,0.026,A,100,,,,,,,,,,,,,,,,,10319.4999,15.0000,5883.047,95.677,6898.6091,202.4649,1041.8568,94.8937,7315.7331,0.3552,262122654.688,99.919,114252.119,93.074,N,1981,1-Aug-2001,Y. Akovali,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,156,Bh,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,-5182,363,,,10080,300,4301.0,319.4,7827,319,1162,306,7318,1,263122916,328,114496,305,Y,,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,157,Bh,,,,,,0,,,,0.44,,+60-16,s,0.44,0.38,A,100,,,,,,,,,,,,,-3605,180,-11791,265,9860,151,5175.0,333.7,6610,353,1526,201,7315,1,264124486,190,115958,177,Y,1995,1-Nov-1998,Y. A. AKOVALI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,158,Bh,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,-4505,240,-11239,241,9662,212,3601.0,276.4,7634,298,1677,370,7316,1,265124955,257,116395,239,Y,2004,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,159,Bh,,,,,,0,,,,2.1,,+29-8,s,2.1,1.85,A,100,,SF,,,,,,,,,,,-3036,165,-10867,164,9426,77,4487.0,294.2,6362,289,1979,214,7313,1,266126790,175,118104,163,Y,2000,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,160,Bh,,,,,,0,,,,14,,+6-3,s,14,4.5,A,100,,SF,8,,,,,,,,,,-3893,279,-10446,264,9230,202,,,7411,309,2141,359,7313,1,267127499,282,118765,263,Y,2000,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,163,Bh,,,,,,0,,,,1.0,,+49-5,m,60,162,A,100,,SF,,,,,,,,,,,-882,388,-8335,326,9064.4999,95.3595,,,5319,479,2752,474,7301,1,270133366,320,124230,299,Y,2007,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,164,Bh,,,,,,0,,,,1.5,,+28-6,s,1.5,1.7,A,100,,SF,25,,,,,,,,,,-1832,473,-7325,457,9419.9999,86.0233,1242.0,704.7,6442,486,2861,598,7298,1,271135115,412,125859,384,Y,2013,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,165,Bh,,,,,,0,,,,10.5,,+15-11,s,10.5,1.3,A,100,,,,,,,,,,,,,-217,737,-6975,599,9302.9999,53.8516,,,5143,656,3119,795,7290,2,272138259,571,128787,532,Y,2004,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,167,Bh,,,,,,0,,,,44,,+34-13,s,44,23.5,A,100,,SF,,,,,,,,,,,356,744,-6077,688,8939.9999,60.0000,,,4993,873,3447,703,7278,2,274143599,620,133762,578,Y,2010,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
107,171,Bh,,,,,,0,,,,19,,+55-5,m,1140,1800,SF,100,,A,50,,,,,,,,,,1150,500,-5076,599,,,,,4801,721,,,7251,1,278154988,429,144370,400,Y,2016,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
