z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
108,155,Hs,,,,,,0,,,,,,,,,,A,100,,,,,,,,,,,,,,,,,10733.4999,78.1025,5182.0,363.0,,,1863,218,7295,1,263128479,212,119678,197,Y,2009,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,156,Hs,,,,,,0,,,0+,0.8,AP,,ms,0.0008,,A,50,,SF,50,,,,,,,,,,,,,,10590.7541,20.3083,3605.165,179.341,8186,199,2222,307,7298.3762,0.1094,264128356.33,31.005,119563.165,28.881,N,1986,1-Nov-1998,Y. A. AKOVALI,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,157,Hs,,,,,,0,,,,2.0,,+3-2,ms,0.002,0.00025,A,100,,SF,1,,,,,,,,,,-5724,439,,,10470.3244,15.2303,4505.245,240.198,6734.2386,37.5130,2346,179,7296.2474,0.0904,265129791.744,25.719,120900.245,23.958,N,1984,31-Jul-1999,AGDA ARTNA-COHEN,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,158,Hs,,,,,,0,,,0+,2.97,,+78-51,ms,0.00297,0.000645,A,76,9,SF,24,9,,,,,,,,,-6533.0066,100.2087,-13556,439,10345.6864,15.5994,3035.675,165.238,7831.8882,36.1629,2544,241,7298.2611,0.1019,266130048.783,29.099,121139.675,27.106,N,2001,15-Dec-2021,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,159,Hs,,,,,,0,,,,43,,+9-6,ms,0.043,0.0075,A,100,,,,,,,,,,,,,-5133,512,-13086,136,10037.5052,13.0051,3893.0,279.6,6553,99,2736,189,7295,0,267131678,102,122658,95,Y,1995,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,160,Hs,,,,,,0,,,0+,0.4,,+18-2,s,0.4,1,A,100,,,,,,,,,,,,,-6183,380,-12894,586,9760,100,,,7761,315,3086,399,7297,1,268132011,322,122968,300,Y,2010,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,161,Hs,,,,,,0,,,,13,,+10-4,s,13,7,A,100,,SF,5,,,,,,,,,,-4807,338,-12729,267,9274,167,,,6546,327,3502,404,7294,0,269133649,141,124493,131,Y,1996,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,162,Hs,,,,,,0,,,0+,7.6,,+49-22,s,7.6,3.55,A,50,,SF,50,,,,,,,,,,-5597,313,-12259,398,9069.8978,37.7008,882.0,388.4,7453,280,3654,449,7295,1,270134313,266,125112,248,Y,2003,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,163,Hs,,,,,,0,,,,,,,,,,A,100,,SF,15,,,,,,,,,,-3409,430,-11089,335,9460,87,,,5492,371,3828,406,7288,1,271137082,296,127691,276,Y,2008,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
108,165,Hs,,,,,,0,,,,0.51,,+30-13,s,0.51,0.215,A,100,,SF,12.5,,,,,,,,,,-3015,565,-9786,613,9649.9999,64.0312,,,5309,632,4309,650,7279,1,273141458,401,131767,374,Y,2010,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
