z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,_source,_source_url,_retrieved_at
110,157,Ds,,,,,,0,,,,3,,+13-1,us,0.000003,0.000007,A,100,,,,,,,,,,,,,,,,,11776.7587,50.7619,,,,,1082,225,7248,1,267143726,219,133880,204,Y,1995,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,159,Ds,,,,,,0,,,,0.18,,+21-6,ms,0.00018,0.000135,A,100,,SF,25,,,,,,,,,,,,,,11509.5104,29.5992,,,6885,303,1605,235,7250.1551,0.1167,269144750.965,33.712,134834.671,31.403,N,1995,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,160,Ds,,,,,,0,,,0+,0.20,,+7-4,ms,0.0002,0.000055,A,100,,SF,,,,,,,,,,,,,,,11116.9933,28.4218,3972.584,194.996,8224.4052,50.2767,1907,314,7253.7634,0.1455,270144586.62,42.163,134681.584,39.275,N,2001,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,161,Ds,,,,,,0,,,,1.6,,+4-3,ms,0.0016,0.00035,A,100,,,,,,,,,,,,,,,,,10869.9743,17.6255,,,6800,105,2046,214,7252,0,271145951,104,135952,97,Y,1998,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,163,Ds,,,,,,0,,,,0.19,,+14-6,ms,0.00019,0.0001,A,100,,SF,17,,,,,,,,,,-4600,424,-12559,273,11366.8999,53.9638,,,5869,447,2485,506,7250,1,273148455,152,138285,142,Y,1996,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,167,Ds,,,,,,0,,,,3.5,,+21-10,ms,0.0035,0.00155,A,100,,SF,12.5,,,,,,,,,,-3315,611,-10366,741,10900,119,2084.0,769.3,5519,674,3509,661,7237,1,277155763,421,145092,392,Y,2010,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,169,Ds,,,,,,0,,,,0.216,,+47-33,s,0.216,0.04,SF,88.5,,A,12.5,,,,,,,,,,-2697,737,-9568,719,10107,117,,,5298,791,4032,837,7229,2,279159984,649,149024,605,Y,2004,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,170,Ds,,,,,,0,,,0+,7,,+32-2,ms,0.007,0.017,SF,100,,,,,,,,,,,,,-3566,918,-9472,859,9710,200,,,6775,962,4554,1004,7227,3,280161375,803,150320,748,Y,1999,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,171,Ds,,,,,,0,,,,12,,+4-2,s,12,3,SF,94,,A,6,,,,,,,,,,-2060,918,-8684,725,9473,208,,,5119,896,4526,776,7220,2,281164545,529,153273,493,Y,2004,14-Sep-2021,C. Morse,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
110,172,Ds,,,,,,0,,,0+,1.1,,+53-5,m,66,174,A,100,,SF,50,,,,,,,,,,-2952,660,-8614,830,9145,424,-665.0,538.3,6554,577,4899,671,7217,1,282166174,322,154790,300,Y,2016,31-Jan-2019,BALRAJ SINGH,2023-10-18,IAEA LiveChart,https://nds.iaea.org/relnsd/v1/data?fields=ground_states&nuclides=all,2026-07-10T13:15:02+00:00
