Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3s2.3p4""","=""3P""","=""2""",4,"=""""","=""0.0000""","=""""","=""0.0000""","=""1.500541(24)""","=""  98                                                             ""","=""L7237,L23144"""
"=""3s2.3p4""","=""3P""","=""1""",2,"=""""","=""396.05648""","=""""","=""0.00069""","=""1.501029(42)""","=""  98                                                             ""","=""L23116,L5666,L23144"""
"=""3s2.3p4""","=""3P""","=""0""",1,"=""""","=""573.59573""","=""""","=""0.00068""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p4""","=""1D""","=""2""",4,"=""""","=""9238.6090""","=""""","=""0.0023""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p4""","=""1S""","=""0""",1,"=""""","=""22179.9542""","=""""","=""0.0022""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""",4,"=""""","=""52623.605""","=""""","=""0.004""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""",2,"=""""","=""55330.775""","=""""","=""0.003""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""1""",2,"=""""","=""63446.038""","=""""","=""0.004""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""2""",4,"=""""","=""63457.1166""","=""""","=""0.0039""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""3""",6,"=""""","=""63475.027""","=""""","=""0.004""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""1""",2,"=""""","=""64888.9325""","=""""","=""0.0011""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""0""",1,"=""""","=""64891.3536""","=""""","=""0.0011""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""2""",4,"=""""","=""64892.5514""","=""""","=""0.0011""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""1""",2,"=""""","=""67816.321""","=""""","=""0.004""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""2""",4,"=""""","=""67825.166""","=""""","=""0.004""","=""""","=""  89                             :     9  3s2.3p3.(4S*).3d  5D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""3""",6,"=""""","=""67842.8458""","=""""","=""0.0038""","=""""","=""  75                             :    23  3s2.3p3.(4S*).3d  5D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""4""",8,"=""""","=""67877.620""","=""""","=""0.005""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""0""",1,"=""""","=""67884.126""","=""""","=""0.005""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""1""",2,"=""""","=""67885.508""","=""""","=""0.004""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""2""",4,"=""""","=""67887.782""","=""""","=""0.004""","=""""","=""  89                             :     9  3s2.3p3.(2D*).4s  3D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""3""",6,"=""""","=""67889.998""","=""""","=""0.004""","=""""","=""  75                             :    23  3s2.3p3.(2D*).4s  3D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""",4,"=""""","=""69237.872""","=""""","=""0.006""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""",2,"=""""","=""70164.610""","=""""","=""0.003""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""",4,"=""""","=""70166.1526""","=""""","=""0.0028""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""3""",6,"=""""","=""70173.9334""","=""""","=""0.0034""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).5s""","=""5S*""","=""2""",4,"=""""","=""70702.7652""","=""""","=""0.0041""","=""""","="" 100                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""",2,"=""""","=""71351.3635""","=""""","=""0.0015""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s.3p5""","=""3P*""","=""2""",4,"=""""","=""72023.471""","=""""","=""0.005""","=""""","=""  64                             :    17  3s2.3p3.(2D*).3d  3P*  ""","=""L23116,L5666"""
