obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""191.36661""","=""0.0002""","=""191.36662+""","=""1700""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""6.4788832""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).9s""","=""2[0]""","=""1/2""",4,2,,"=""""","=""L9843""",
"=""195.47059""","=""0.0002""","=""195.47096+""","=""16000""","=""5.86e+07""","=""5.04e-02""","=""1.30e+00""","=""-0.70""",B,"=""0.0000000""","=""6.3428449""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",4,6,,"=""T6498""","=""L9843""",
"=""196.00491""","=""0.0002""","=""196.00506+""","=""4200""","=""1.54e+07""","=""8.9e-03""","=""2.30e-01""","=""-1.45""",C+,"=""0.0000000""","=""6.3255610""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",4,4,,"=""T6498""","=""L9843""",
"=""202.18011""","=""0.0002""","=""202.17986+""","=""3300""","=""5.79e+06""","=""3.55e-03""","=""9.4e-02""","=""-1.85""",C+,"=""0.0000000""","=""6.1323713""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",4,4,,"=""T3401,T3485""","=""L9843""",
"=""206.22928""","=""0.0002""","=""206.22865+""","=""42000""","=""9.62e+07""","=""9.20e-02""","=""2.50e+00""","=""-0.43""",B,"=""0.0000000""","=""6.0119775""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""5/2""",4,6,,"=""T6498""","=""L9843""",
"=""211.08861""","=""0.0002""","=""211.08858+""","=""10000""","=""9.04e+07""","=""3.02e-02""","=""8.39e-01""","=""-0.92""",B,"=""0.0000000""","=""5.8735626""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",4,2,,"=""T3401,T3477""","=""L9843""",
"=""213.42731""","=""0.00020""","=""213.42693+""","=""1900""","=""""","=""""","=""""","=""""",,"=""1.4157804""","=""7.2249911""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<1>).6d""","=""5827""","=""3/2""",4,4,,"=""""","=""L9843""",
"=""217.78948""","=""0.00020""","=""217.78956+""","=""260hfs""","=""2.6e+06""","=""9.2e-04""","=""2.6e-02""","=""-2.43""",D+,"=""0.0000000""","=""5.6928439""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",4,2,,"=""T3401,T3477""","=""L9843""",
"=""222.89020""","=""0.00020""","=""222.89052+""","=""37000""","=""8.8e+07""","=""6.5e-02""","=""1.91e+00""","=""-0.58""",C+,"=""0.0000000""","=""5.5625605""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",4,4,,"=""T6498""","=""L9843""",
"=""223.13021""","=""0.00020""","=""223.13041+""","=""140000""","=""2.34e+08""","=""2.62e-01""","=""7.7e+00""","=""0.02""",C+,"=""0.0000000""","=""5.5565801""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",4,6,,"=""T6498""","=""L9843""",
"=""227.72611""","=""0.00020""","=""227.72624+""","=""31000""","=""2.36e+07""","=""1.83e-02""","=""5.49e-01""","=""-1.14""",B,"=""0.0000000""","=""5.4444405""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",4,4,,"=""T6498""","=""L9843""",
"=""240.1612""","=""0.0010""","=""240.1612+""","=""8000""","=""5.8e+07""","=""5.0e-02""","=""2.39e+00""","=""-0.52""",C+,"=""1.9140062""","=""7.076547""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<1>).6d""","=""5707""","=""5/2""",6,6,,"=""T4088""","=""L9843""",
"=""251.63898""","=""0.00020""","=""251.63908+""","=""500""","=""2.13e+06""","=""3.0e-03""","=""1.00e-01""","=""-1.92""",C,"=""1.4157804""","=""6.3428449""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",4,6,,"=""T6498""","=""L9843""",
"=""252.52500""","=""0.00020""","=""252.52493+""","=""1600""","=""8.6e+06""","=""8.2e-03""","=""2.72e-01""","=""-1.49""",C+,"=""1.4157804""","=""6.3255610""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",4,4,,"=""T6498""","=""L9843""",
"=""262.86881""","=""0.00020""","=""262.86825+""","=""16000""","=""4.56e+07""","=""4.72e-02""","=""1.63e+00""","=""-0.72""",B,"=""1.4157804""","=""6.1323713""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",4,4,,"=""T3401,T3485""","=""L9843""",
