obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""235.15871""","=""0.00010""","=""235.15870""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2723627""","=""7s2""","=""1S""","=""0""","=""7s.52p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.17004""","=""0.00010""","=""235.17004""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2721085""","=""7s2""","=""1S""","=""0""","=""7s.51p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.18275""","=""0.00010""","=""235.18275""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2718236""","=""7s2""","=""1S""","=""0""","=""7s.50p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.19560""","=""0.00010""","=""235.19560""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2715357""","=""7s2""","=""1S""","=""0""","=""7s.49p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.21038""","=""0.00010""","=""235.21038""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2712044""","=""7s2""","=""1S""","=""0""","=""7s.48p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.22626""","=""0.00010""","=""235.22626""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2708485""","=""7s2""","=""1S""","=""0""","=""7s.47p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.24271""","=""0.00010""","=""235.24271""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2704800""","=""7s2""","=""1S""","=""0""","=""7s.46p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.26025""","=""0.00010""","=""235.26025""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2700870""","=""7s2""","=""1S""","=""0""","=""7s.45p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.27986""","=""0.00010""","=""235.27986""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2696477""","=""7s2""","=""1S""","=""0""","=""7s.44p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.30031""","=""0.00010""","=""235.30031""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2691898""","=""7s2""","=""1S""","=""0""","=""7s.43p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.32310""","=""0.00010""","=""235.32310""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2686794""","=""7s2""","=""1S""","=""0""","=""7s.42p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.34742""","=""0.00010""","=""235.34742""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2681351""","=""7s2""","=""1S""","=""0""","=""7s.41p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.37353""","=""0.00010""","=""235.37352""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2675507""","=""7s2""","=""1S""","=""0""","=""7s.40p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.40212""","=""0.00010""","=""235.40212""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2669109""","=""7s2""","=""1S""","=""0""","=""7s.39p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.43307""","=""0.00010""","=""235.43307""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2662185""","=""7s2""","=""1S""","=""0""","=""7s.38p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.46705""","=""0.00010""","=""235.46704""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2654586""","=""7s2""","=""1S""","=""0""","=""7s.37p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.50545""","=""0.00010""","=""235.50545""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2646000""","=""7s2""","=""1S""","=""0""","=""7s.36p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.54620""","=""0.00010""","=""235.54620""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2636891""","=""7s2""","=""1S""","=""0""","=""7s.35p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.59233""","=""0.00010""","=""235.59233""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2626585""","=""7s2""","=""1S""","=""0""","=""7s.34p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.64289""","=""0.00010""","=""235.64289""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2615295""","=""7s2""","=""1S""","=""0""","=""7s.33p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.69869""","=""0.00010""","=""235.69869""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2602838""","=""7s2""","=""1S""","=""0""","=""7s.32p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.76126""","=""0.00010""","=""235.76126""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2588876""","=""7s2""","=""1S""","=""0""","=""7s.31p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.83184""","=""0.00010""","=""235.83184""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2573139""","=""7s2""","=""1S""","=""0""","=""7s.30p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""235.91153""","=""0.00010""","=""235.91152""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2555380""","=""7s2""","=""1S""","=""0""","=""7s.29p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.00061""","=""0.00010""","=""236.00060""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2535543""","=""7s2""","=""1S""","=""0""","=""7s.28p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.10322""","=""0.00010""","=""236.10322""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2512710""","=""7s2""","=""1S""","=""0""","=""7s.27p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.22047""","=""0.00010""","=""236.22046""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2486646""","=""7s2""","=""1S""","=""0""","=""7s.26p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.35455""","=""0.00010""","=""236.35454""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2456871""","=""7s2""","=""1S""","=""0""","=""7s.25p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.51071""","=""0.00010""","=""236.51071""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2422234""","=""7s2""","=""1S""","=""0""","=""7s.24p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.69295""","=""0.00010""","=""236.69295""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2381872""","=""7s2""","=""1S""","=""0""","=""7s.23p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""236.90777""","=""0.00010""","=""236.90777""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2334375""","=""7s2""","=""1S""","=""0""","=""7s.22p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""237.16369""","=""0.00010""","=""237.16369""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2277901""","=""7s2""","=""1S""","=""0""","=""7s.21p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""237.47133""","=""0.00010""","=""237.47133""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2210176""","=""7s2""","=""1S""","=""0""","=""7s.20p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""237.84681""","=""0.00010""","=""237.84681""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2127753""","=""7s2""","=""1S""","=""0""","=""7s.19p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""238.30925""","=""0.00010""","=""238.30926""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.2026598""","=""7s2""","=""1S""","=""0""","=""7s.18p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""238.89018""","=""0.00010""","=""238.89017""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.1900083""","=""7s2""","=""1S""","=""0""","=""7s.17p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""239.63242""","=""0.00010""","=""239.63242""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.1739325""","=""7s2""","=""1S""","=""0""","=""7s.16p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""240.60268""","=""0.00010""","=""240.60268""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.1530680""","=""7s2""","=""1S""","=""0""","=""7s.15p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""241.90267""","=""0.00010""","=""241.90267""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.1253753""","=""7s2""","=""1S""","=""0""","=""7s.14p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""243.69797""","=""0.00010""","=""243.69797""","=""0.00010""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.0876172""","=""7s2""","=""1S""","=""0""","=""7s.13p""","=""1P*""","=""1""",1,3,,"=""""","=""L4979""",
"=""295.651""","=""0.005""","=""295.6513""","=""0.0012""","=""2""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""4.193596""","=""7s2""","=""1S""","=""0""","=""6d.7p""","=""3P*""","=""1""",1,3,,"=""""","=""L15862""",
"=""""","=""""","=""304.3442""","=""0.0008""","=""""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""4.073815""","=""7s2""","=""1S""","=""0""","=""7s.8p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
"=""310.270""","=""0.005""","=""310.2710""","=""0.0005""","=""5""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""3.995997""","=""7s2""","=""1S""","=""0""","=""6d.7p""","=""3D*""","=""1""",1,3,,"=""""","=""L3527,L15862""",
"=""377.264""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""377.307""","=""0.005""","=""377.307""","=""0.005""","=""1""","=""""","=""""","=""""","=""""",,"=""1.7005399""","=""4.98657""","=""7s.6d""","=""3D""","=""1""","=""7s.8f""","=""3F*""","=""2""",3,5,,"=""""","=""L3527""",
"=""381.308""","=""0.005""","=""381.308""","=""0.005""","=""1""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""4.98658""","=""7s.6d""","=""3D""","=""2""","=""7s.8f""","=""3F*""","=""3""",5,7,,"=""""","=""L3527""",
"=""391.785""","=""0.005""","=""391.785""","=""0.005""","=""1""","=""""","=""""","=""""","=""""",,"=""1.823472""","=""4.98807""","=""7s.6d""","=""3D""","=""3""","=""7s.8f""","=""3F*""","=""4""",7,9,,"=""""","=""L3527""",
"=""394.214""","=""0.005""","=""394.214""","=""0.005""","=""1""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""4.88013""","=""7s.6d""","=""3D""","=""2""","=""7s.7f""","=""3F*""","=""3""",5,7,,"=""""","=""L3527""",
"=""401.143""","=""0.005""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""405.522""","=""0.005""","=""405.521""","=""0.005""","=""1""","=""""","=""""","=""""","=""""",,"=""1.823472""","=""4.88087""","=""7s.6d""","=""3D""","=""3""","=""7s.7f""","=""3F*""","=""4""",7,9,,"=""""","=""L3527""",
"=""417.916""","=""0.005""","=""417.916""","=""0.005""","=""4""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""4.70175""","=""7s.6d""","=""3D""","=""2""","=""7s.6f""","=""3F*""","=""3""",5,7,,"=""""","=""L3527""",
"=""426.632""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""430.621""","=""0.005""","=""430.621""","=""0.005""","=""4""","=""""","=""""","=""""","=""""",,"=""1.823472""","=""4.70267""","=""7s.6d""","=""3D""","=""3""","=""7s.6f""","=""3F*""","=""4""",7,9,,"=""""","=""L3527""",
"=""436.753""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""442.759""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""444.572""","=""0.005""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""464.2590""","=""0.0020""","=""464.2584""","=""0.0019""","=""8""","=""""","=""""","=""""","=""""",,"=""1.7005399""","=""4.371126""","=""7s.6d""","=""3D""","=""1""","=""7s.5f""","=""3F*""","=""2""",3,5,,"=""""","=""L3527""",
"=""467.350""","=""0.005""","=""467.348""","=""0.003""","=""1""","=""""","=""""","=""""","=""""",,"=""1.621515""","=""4.274447""","=""7s.7p""","=""3P*""","=""0""","=""7s.9s""","=""3S""","=""1""",1,3,,"=""""","=""L3527""",
"=""470.0595""","=""0.0020""","=""470.0587""","=""0.0018""","=""8""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""4.372660""","=""7s.6d""","=""3D""","=""2""","=""7s.5f""","=""3F*""","=""3""",5,7,,"=""""","=""L3527""",
"=""470.329""","=""0.005""","=""470.3322""","=""0.0020""","=""2""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""4.371126""","=""7s.6d""","=""3D""","=""2""","=""7s.5f""","=""3F*""","=""2""",5,5,,"=""""","=""L3527""",
"=""474.140""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""480.445""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""482.727662""","=""0.000012""","=""482.72766""","=""0.00012""","=""100""","=""1.770e+08""","=""1.855e+00""","=""2.948e+01""","=""0.2684""",AA,"=""0.00000000""","=""2.56840882""","=""7s2""","=""1S""","=""0""","=""7s.7p""","=""1P*""","=""1""",1,3,,"=""T3403""","=""L3527,L18892""",
"=""483.862""","=""0.005""","=""483.8620""","=""0.0017""","=""3""","=""""","=""""","=""""","=""""",,"=""1.7005399""","=""4.262928""","=""7s.6d""","=""3D""","=""1""","=""6d.7p""","=""3P*""","=""2""",3,5,,"=""""","=""L3527""",
"=""485.7427""","=""0.0020""","=""485.7427""","=""0.0020""","=""10""","=""""","=""""","=""""","=""""",,"=""1.823472""","=""4.375938""","=""7s.6d""","=""3D""","=""3""","=""7s.5f""","=""3F*""","=""4""",7,9,,"=""""","=""L3527""",
"=""486.363""","=""0.005""","=""486.3674""","=""0.0021""","=""2""","=""""","=""""","=""""","=""""",,"=""1.823472""","=""4.372660""","=""7s.6d""","=""3D""","=""3""","=""7s.5f""","=""3F*""","=""3""",7,7,,"=""""","=""L3527""",
"=""488.364""","=""0.005""","=""488.367""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""1.73569904""","=""4.274447""","=""7s.7p""","=""3P*""","=""1""","=""7s.9s""","=""3S""","=""1""",3,3,,"=""""","=""L3527""",
