obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""234.60904""","=""0.00006""","=""234.608939""","=""0.000004""","=""69""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""5.28471759""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L3552""",
"=""244.01726""","=""0.00006""","=""244.0172938""","=""0.0000024""","=""210""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""5.08095949""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""248.41678""","=""0.00006""","=""248.416556""","=""0.000003""","=""69""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.99097969""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""249.40020""","=""0.00006""","=""249.4000146""","=""0.0000025""","=""140""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.97129876""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
"=""249.58785""","=""0.00006""","=""249.587774""","=""0.000004""","=""13""","=""""","=""""","=""""","=""""",,"=""0.3171586159""","=""5.28471759""","=""6d2.7s2""","=""3P""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L3552""",
"=""250.08957""","=""0.00006""","=""250.089299""","=""0.000004""","=""13""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.95759711""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""252.45192""","=""0.00006""","=""252.451794""","=""0.000004""","=""34""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.91120292""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""253.73021""","=""0.00006""","=""253.730410""","=""0.000003""","=""34""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.88645403""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L3552""",
"=""254.68164""","=""0.00006""","=""254.681719""","=""0.000003""","=""140""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.86820174""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""256.41704""","=""0.00007""","=""256.417026""","=""0.000005""","=""2""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.83525608""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""257.63704""","=""0.00007""","=""257.637363""","=""0.000005""","=""4""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.81235318""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
"=""257.80597""","=""0.00007""","=""257.806091""","=""0.000003""","=""100""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.80920361""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""258.56246""","=""0.00007""","=""258.562619""","=""0.000005""","=""2""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.79513237""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""258.59976""","=""0.00007""","=""258.599943""","=""0.000004""","=""4""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.79444028""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
"=""260.30676""","=""0.00007""","=""260.306633""","=""0.000003""","=""5""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.76300573""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""261.24059""","=""0.00007""","=""261.240695""","=""0.000005""","=""20""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.74597567""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L3552""",
"=""261.66389""","=""0.00007""","=""261.664026""","=""0.000004""","=""6""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.73829744""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
"=""262.38826""","=""0.00007""","=""262.388387""","=""0.000003""","=""140""","=""""","=""""","=""""","=""""",,"=""0.3557427977""","=""5.08095949""","=""6d2.7s2""","=""3F""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L3552""",
"=""262.54300""","=""0.00007""","=""262.543012""","=""0.000003""","=""140""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""4.72243376""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L3552""",
